Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0146
Start Frequency,100
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
100,-16.0460150786279
1099.9,-16.0687254579386
2099.8,-16.306009767088
3099.7,-16.8064212310761
4099.6,-17.5683936168385
5099.5,-18.5927100409072
6099.4,-19.8809367363469
7099.3,-21.4354230527544
8099.2,-23.2569521066619
9099.1,-25.3556691143328
10099,-27.789159326708
11098.9,-30.4818611112606
12098.8,-33.4322082349261
13098.7,-36.6433331638336
14098.6,-40.0948748681443
15098.5,-43.7547636190948
16098.4,-47.6436244821958
17098.3,-51.897417649329
18098.2,-56.3697003289623
19098.1,-60.7621051223053
20098,-64.621097990245
21097.9,-68.0096776629428
22097.8,-73.086656579189
23097.7,-76.6843283659997
24097.6,-76.6679173564394
25097.5,-77.6468474593791
26097.4,-81.2883737719963
27097.3,-85.1898947733231
28097.2,-86.8258596468273
29097.1,-86.8172798025896
30097,-81.9671534559326
31096.9,-80.0663968658884
32096.8,-78.993394450441
33096.7,-78.8358552612033
34096.6,-78.9672860723689
35096.5,-79.9209892424054
36096.4,-80.8762586455064
37096.3,-81.3311165844945
38096.2,-82.5980663674342
39096.1,-86.6348993249707
40096,-86.9889313147653
41095.9,-86.979419615205
42095.8,-83.5891938458867
43095.7,-84.7363452644716
44095.6,-83.6140249725726
45095.5,-90.6658750443833
46095.4,-85.4635176194198
47095.3,-81.4389674589724
48095.2,-78.3588558364282
49095.1,-76.1934243235615
50095,-74.8359242885174
51094.9,-74.1765705806345
52094.8,-74.0818438925097
53094.7,-74.1413911612398
54094.6,-74.723277156986
55094.5,-75.9676797390224
56094.4,-77.8346599642041
57094.3,-80.1456672631761
58094.2,-82.8670276250513
59094.1,-86.1631955216039
60094,-85.782631299205
61093.9,-85.7591682155156
62093.8,-79.5436027112618
63093.7,-77.8724624437015
64093.6,-77.5529813108187
65093.5,-77.6360220755165
66093.4,-78.7441623809401
67093.3,-80.6918036089443
68093.2,-82.322282641384
69093.1,-82.2737598286625
70093,-82.2777058236022
71092.9,-83.7492121999935
72092.8,-83.2621441292074
73092.7,-83.2316329967278
74092.6,-78.6316368985224
75092.5,-82.0202125458814
76092.4,-78.7358522218696
77092.3,-83.0884443204383
78092.2,-77.1234761065071
79092.1,-75.3215553780597
80092,-73.5063216685639
81091.9,-71.4592854655198
82091.8,-69.6064621624757
83091.7,-68.2039308654799
84091.6,-67.1937409511454
85091.5,-66.3793301698755
86091.4,-65.6518453236861
87091.3,-65.0676708029001
88091.2,-64.7434909708237
89091.1,-64.7082811391505
90091,-64.7646959417515
91090.9,-65.1327911241912
92090.8,-65.7694952771955
93090.7,-66.5824006499578
94090.6,-67.531568299333
95090.5,-68.6083839434663
96090.4,-69.7603787746963
97090.3,-70.9194216547167
98090.2,-71.981358084737
99090.1,-72.8302868179832
100090,-73.7188907943746
101089.9,-75.3401751875562
102089.8,-78.0186668992863
103089.7,-80.274275683597
104089.6,-81.6371316211334
105089.5,-85.2647605699603
106089.4,-87.5117550724161
107089.3,-87.4837960486623
108089.2,-84.0665086732956
109089.1,-85.5108087301869
110089,-84.092817861675
111088.9,-88.9287956197761
112088.8,-93.3951423746512
113088.7,-96.212245712591
114088.6,-84.9473475674662
115088.5,-81.4721095687124
116088.4,-80.5247717360876
117088.3,-81.3511928490273
118088.2,-80.5330692442251
119088.1,-82.1911601144229
120088,-82.5790359692981
121087.9,-83.4681064048184
122087.8,-85.8466644846936
123087.7,-89.4554986367463
124087.6,-87.4556521847667
125087.5,-87.0768569545612
126087.4,-87.17811215863
127087.3,-88.03585793286
128087.2,-86.8520189074933
129087.1,-86.8373728647879
130087,-81.9705367882114
131086.9,-80.059182504377
132086.8,-79.7077963528006
133086.7,-79.947663183079
134086.6,-82.8759690685994
135086.5,-86.2161942500875
136086.4,-82.0181396920595
137086.3,-80.9235759513702
138086.2,-80.8572442175357
139086.1,-81.0704850857174
140086,-81.7034764151893
141085.9,-81.8618991261129
142085.8,-80.4493900733268
143085.7,-79.735420967315
144085.6,-79.3699387181579
145085.5,-79.3239680141621
146085.4,-79.3594414295212
147085.3,-79.6650900485093
148085.2,-80.4507891017716
149085.1,-82.207552655034
150085,-84.5485211413608
151084.9,-84.5354413317199
152084.8,-82.0124730361918
153084.7,-85.0582464015509
154084.6,-82.0661913032003
155084.5,-89.2491693084787
156084.4,-81.868529163354
157084.3,-79.7065775891969
158084.2,-78.8023111658463
159084.1,-78.6286924670925
160084,-78.6336243376935
161083.9,-78.7990950974074
162083.8,-79.002938567202
163083.7,-79.0979288390127
164083.6,-79.1474983519524
165083.5,-79.2526691386824
166083.4,-79.0751348572673
167083.3,-78.7354954536748
168083.2,-78.6605494379855
169083.1,-78.7312630972962
170083,-79.4770232074133
171082.9,-81.031742695353
172082.8,-82.6420634570831
173082.7,-83.2938495833293
174082.6,-83.3739606410271
175082.5,-83.9247247346119
176082.4,-85.9837712693259
177082.3,-91.078177483072
178082.2,-89.4119386738343
179082.1,-89.3800640674192
180082,-83.0104273654396
181081.9,-81.5250884751535
182081.8,-81.26141137519
183081.7,-81.3470042486136
184081.6,-82.436552516392
185081.5,-84.8527001898156
186081.4,-89.7896999805779
187081.3,-98.4183111044048
188081.2,-90.0744376246026
189081.1,-86.5169723899616
190081,-83.9759924141917
191080.9,-82.458545746083
192080.8,-82.1423998384582
193080.7,-82.2444381590592
194080.6,-83.8735537175635
195080.5,-88.1738797676
196080.4,-92.8007654115881
197080.3,-92.7806375531569
198080.2,-86.0679958100482
199080.1,-83.9475494121008
200080,-83.4263525730244
201079.9,-84.533133014448
202079.8,-83.4644157292587
203079.7,-86.3809784767307
204079.6,-86.3600711117027
205079.5,-86.3532598442553
206079.4,-85.6103190364853
207079.3,-85.9410309944412
208079.2,-87.5615358810261
209079.1,-90.1899117446271
210079,-93.3985769586313
211078.9,-95.170223335942
212078.8,-91.8743226330108
213078.7,-93.4580210425795
214078.6,-91.8231105045677
215078.5,-96.0200687822816
216078.4,-87.2447017031406
217078.3,-84.0122334393223
218078.2,-82.3585281045362
219078.1,-82.1324442080566
220078,-82.3292432389963
221077.9,-84.0899259848554
222077.8,-87.7394858065209
223077.7,-91.6216312382671
224077.6,-91.4480161494487
225077.5,-91.4286750174852
226077.4,-86.0034804633443
227077.3,-84.1735739088002
228077.2,-83.4368980332883
229077.1,-84.0064605335829
230077,-83.4334560133129
231076.9,-86.0054474865913
232076.8,-88.9000829711601
233076.7,-90.8886526279063
234076.6,-87.7117856378783
235076.5,-85.3665884051083
236076.4,-84.1827529896771
237076.3,-84.9339985254555
238076.2,-84.1558174737339
239076.1,-88.7615625812866
240076,-98.1192588065811
241075.9,-100.912872258489
242075.8,-99.618617412009
243075.7,-99.6024087461745
244075.6,-97.7153346847755
245075.5,-100.237206699989
246075.4,-93.7978762365743
247075.3,-93.7495597929173
248075.2,-83.8512036065183
249075.1,-81.3039623084257
250075,-80.3253034244461
251074.9,-80.7155322388536
252074.8,-80.3054159572933
253074.7,-81.9721247192814
254074.6,-83.1611323965921
255074.5,-84.0188817807576
256074.4,-85.5673399463748
257074.3,-89.6006268688468
258074.2,-90.9564383675284
259074.1,-90.9441452843552
260074,-90.3680082979562
261073.9,-97.344247148654
262073.8,-92.3309718904809
263073.7,-92.2991008940012
264073.6,-86.2403650652635
265073.5,-83.8693249869291
266073.4,-82.0613456952881
267073.3,-81.2463581665504
268073.2,-81.2160534031353
269073.1,-81.4895978542363
270073,-82.3888524146115
271072.9,-83.2207589532126
272072.8,-83.5373748135878
273072.7,-83.5947791017856
274072.6,-84.0813312496608
275072.5,-85.7284620983424
276072.4,-89.0733895889596
277072.3,-94.4692992775606
278072.2,-96.69828570971
279072.1,-96.6538848487142
280072,-88.1212838945733
281071.9,-88.1058583452711
282071.8,-87.5853226326624
283071.7,-92.3633533773118
284071.6,-87.7635636481709
285071.5,-85.4543897758848
286071.4,-84.3794075584375
287071.3,-83.6403823333288
288071.2,-82.7823233953169
289071.1,-82.0848033464179
290071,-81.8242623225189
291070.9,-81.8244991038619
292070.8,-82.0667188936726
293070.7,-82.8790475189671
294070.6,-84.4408186656327
295070.5,-86.778658295766
296070.4,-89.2582420182379
297070.3,-90.6633898584519
298070.2,-90.8233824123754
299070.1,-91.07734895017
300070,-92.7815507057065
301069.9,-93.5415968944043
302069.8,-88.8159117746343
303069.7,-87.4920848709934
304069.6,-87.019505637917
305069.5,-86.6440328548406
306069.4,-86.1785016705545
307069.3,-85.9933262048168
308069.2,-86.0133272705308
309069.1,-86.7984331882608
310069,-90.1153548547812
311068.9,-95.2906120523499
312068.8,-87.8561268474993
313068.7,-86.0804417047455
314068.6,-86.0605038273143
315068.5,-87.6788457353669
316068.4,-90.8179999490647
317068.3,-90.7847490905851
318068.2,-84.2618115292828
319068.1,-83.3538195042709
320068,-83.3518933070816
321067.9,-84.0281460268278
322067.8,-85.7678709973804
323067.7,-87.7644581905137
324067.6,-89.5997233780018
325067.5,-91.5226976171028
326067.4,-90.35079532072
327067.3,-90.3198938118371
328067.2,-82.8423371977123
329067.1,-80.534132813023
330067,-79.3998201101886
331066.9,-79.1621758367896
332066.8,-79.1719963875841
333066.7,-79.4715700553142
334066.6,-79.99511505127
335066.5,-80.7152222968227
336066.4,-81.8785734996333
337066.3,-83.6120335379279
338066.2,-84.5882198895289
339066.1,-84.5768962939525
340066,-81.3806377616826
341065.9,-80.5885469834449
342065.8,-80.5646935233523
343065.7,-81.0459502265663
344065.6,-83.3886749269576
345065.5,-89.0948851333973
346065.4,-89.6364418095951
347065.3,-89.6149376990993
348065.2,-85.7107418216681
349065.1,-84.5357070591562
350065,-83.8328915655959
351064.9,-83.6484992163905
352064.8,-83.6528379514593
353064.7,-83.9257856570925
354064.6,-84.5002332276452
355064.5,-85.2822066792462
356064.4,-86.4729669606859
357064.3,-88.8109929618837
358064.2,-93.869565796146
359064.1,-105.807817366295
360064,-96.5322251941061
361063.9,-91.4885947622394
362063.8,-88.2868544142436
363063.7,-86.4258095694737
364063.6,-85.1834267851876
365063.5,-84.2652542452563
366063.4,-83.7002672613735
367063.3,-83.4618398714422
368063.2,-83.1568475762691
369063.1,-82.4845736274668
370063,-81.7676620363259
371062.9,-81.3279736976043
372062.8,-80.9423203996086
373062.7,-80.2473360713709
374062.6,-79.5053647511977
375062.5,-79.2818165753794
376062.4,-79.325311137061
377062.3,-80.2944494398717
378062.2,-83.1485492358276
379062.1,-88.7208465152512
380062,-87.4299105059651
381061.9,-87.4076232789371
382061.8,-84.1604621720704
383061.7,-83.5304765160101
384061.6,-83.1158479063208
385061.5,-83.048923036954
386061.4,-83.1268747260551
387061.3,-83.8101754945915
388061.2,-85.4167706546603
389061.1,-88.8519429175517
390061,-85.1294300756043
391060.9,-81.7969092667214
392060.8,-79.6257502751773
393060.7,-78.7827569223428
394060.6,-78.7361930828148
395060.5,-78.8548668315932
396060.4,-79.1677534803716
397060.3,-79.3655219989082
398060.2,-79.7856956126059
399060.1,-81.2380168158198
400060,-84.6857405432273
401059.9,-90.923263722538
402059.8,-95.2860059236229
403059.7,-95.2445007472884
404059.6,-84.3278562874862
405059.5,-81.9722417583292
406059.4,-81.9370015142528
407059.3,-83.3669723020312
408059.2,-76.8255999079548
409059.1,-72.4910499017816
410059,-69.2685253714149
411058.9,-67.0319445551611
412058.8,-65.6246841465685
413058.7,-64.9582519774921
414058.6,-64.8799403241415
415058.5,-64.9613844433716
416058.4,-65.5596854738919
417058.3,-66.6701447165091
418058.2,-68.2778829571101
419058.1,-70.5536195997272
420058,-73.8246973548444
421057.9,-77.3534204490744
422057.8,-79.0668794215303
423057.7,-80.0081854931797
424057.6,-81.9041106176517
425057.5,-84.6160431687366
426057.4,-86.4054644448214
427057.3,-86.6380500547773
428057.2,-86.6693747159428
429057.1,-87.6639327117858
430057,-90.7736884612578
431056.9,-95.0690826405685
