Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0146
Start Frequency,100
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
100,-6.86938964546164
1099.9,-6.46921709779237
2099.8,-6.33843663721991
3099.7,-6.34078598713128
4099.6,-6.58903392817173
5099.5,-7.28679075872827
6099.4,-8.4199603812203
7099.3,-9.86637661661556
8099.2,-11.5234511991883
9099.1,-13.4712442835083
10099,-15.8757457043874
11098.9,-18.3280172337342
12098.8,-20.5954732614682
13098.7,-23.4635796694441
14098.6,-28.1751423943555
15098.5,-33.8429432707454
16098.4,-34.1976176892858
17098.3,-34.2171182320198
18098.2,-33.0666426755602
19098.1,-33.8543805364394
20098,-33.9594635307862
21097.9,-33.9549168939234
22097.8,-29.7215409828671
23097.7,-29.0842361879398
24097.6,-29.1016168139802
25097.5,-30.0673515605851
26097.4,-32.5578141954965
27097.3,-35.6559752594402
28097.2,-35.1870405189484
29097.1,-35.1864094647468
30097,-33.9708904855453
31096.9,-34.2616435027954
32096.8,-35.2885260603681
33096.7,-35.3960298090698
34096.6,-34.0571173226909
35096.5,-33.9054094992152
36096.4,-33.9095418656588
37096.3,-34.1000559667799
38096.2,-34.5858050005623
39096.1,-35.2837786145866
40096,-35.9991439923205
41095.9,-37.0825445371513
42095.8,-40.7408322400465
43095.7,-45.5432531965708
44095.6,-37.8385200164016
45095.5,-36.1575192023613
46095.4,-36.139074786305
47095.3,-37.344641510168
48095.2,-37.5204099941117
49095.1,-37.4933512962005
50095,-30.740581919257
51094.9,-29.1581665764103
52094.8,-28.9399402327572
53094.7,-29.1030916403138
54094.6,-30.5278437813381
55094.5,-33.3238329703462
56094.4,-37.0164905887899
57094.3,-40.2416276374755
58094.2,-42.1902847385804
59094.1,-43.0198683150886
60094,-41.3912490968387
61093.9,-40.7250800967339
62093.8,-40.7175121002582
63093.7,-41.3317386303954
64093.6,-43.6633397157746
65093.5,-47.4531037842182
66093.4,-48.8684585268554
67093.3,-48.8554087146539
68093.2,-45.6480265673718
69093.1,-44.6412018757347
70093,-44.4057469683719
71092.9,-44.4545633622188
72092.8,-45.4204092153399
73092.7,-47.9313439866061
74092.6,-52.2356156167433
75092.5,-55.3041293589773
76092.4,-52.0967472116951
77092.3,-50.6748707579614
78092.2,-50.601520972776
79092.1,-51.2188799690422
80092,-50.0765761173246
81091.9,-50.0556951398005
82091.8,-47.2069803642925
83091.7,-47.9746977347523
84091.6,-47.2122054011798
85091.5,-48.5476822575267
86091.4,-45.2846988364542
87091.3,-43.3796394823172
88091.2,-42.1441447632609
89091.1,-41.7152600724303
90091,-41.7147401247449
91090.9,-42.1684277657692
92090.8,-43.7043824543742
93090.7,-46.6233209389469
94090.6,-49.8993605622292
95090.5,-50.3342534064793
96090.4,-47.4714425333907
97090.3,-46.8146709316731
98090.2,-46.7992717698748
99090.1,-47.1574191939636
100090,-48.4404227426492
101089.9,-50.2112623959315
102089.8,-52.0901721306655
103089.7,-54.6660555791092
104089.6,-58.3030619287625
105089.5,-58.2805647231739
106089.4,-51.9398833353272
107089.3,-50.446693282158
108089.2,-50.2801026346339
109089.1,-50.4079638032388
110089,-51.0542481161986
111088.9,-51.3622260872229
112088.8,-49.6411491231665
113088.7,-49.1597456296747
114088.6,-49.1599588035216
115088.5,-49.7177509483362
116088.4,-50.1894002746024
117088.3,-50.1794329335299
118088.2,-47.940715941651
119088.1,-47.8579187630785
120088,-48.1142110429738
121087.9,-49.365844435369
122087.8,-50.7725349011514
123087.7,-51.1196686987886
124087.6,-48.0148248222322
125087.5,-46.1206791045469
126087.4,-44.9313382658937
127087.3,-44.5227646099019
128087.2,-44.4830388406036
129087.1,-44.484818247515
130087,-44.6330404459586
131086.9,-45.6395583637572
132086.8,-49.2522881009105
133086.7,-56.355368222338
134086.6,-49.37957932683
135086.5,-46.4619003014834
136086.4,-44.768232416056
137086.3,-43.8655122282094
138086.2,-43.4545892226208
139086.1,-43.3835387920322
140086,-43.3876675485403
141085.9,-43.2735457086775
142085.8,-43.0732810502663
143085.7,-43.0131942511293
144085.6,-43.022021706831
145085.5,-43.2140984310811
146085.4,-43.6974945053312
147085.3,-44.6468449162749
148085.2,-46.3613001792347
149085.1,-49.0311576115493
150085,-52.2585940148317
151084.9,-55.3051304991624
152084.8,-59.036893949219
153084.7,-66.7508049658078
154084.6,-70.7809358146546
155084.5,-70.7733178231789
156084.4,-67.8681686623484
157084.3,-67.8362740583727
158084.2,-65.1010611850421
159084.1,-61.9609770645342
160084,-61.0700036246714
161083.9,-61.600386690857
162083.8,-58.9802919477684
163083.7,-55.3421457127443
164083.6,-52.3297095869944
165083.5,-50.3791794789864
166083.4,-49.4576644943655
167083.3,-49.2887244972447
168083.2,-49.3006844190754
169083.1,-49.4927611433255
170083,-49.3935185175756
171082.9,-49.0820513115838
172082.8,-49.0360606100274
173082.7,-49.1709698274227
174082.6,-50.2816422440115
175082.5,-52.9514996763261
176082.4,-55.6150921763827
177082.3,-55.6051248353102
178082.2,-53.6303181148022
179082.1,-53.6039053265523
180082,-53.9588702895121
181081.9,-55.4744139532783
182081.8,-57.9657208162381
183081.7,-59.7702344804076
184081.6,-59.5018386836899
185081.5,-59.4957869252788
186081.4,-59.8781609668676
187081.3,-61.4540046036177
188081.2,-64.5678891097226
189081.1,-69.5448078460695
190081,-70.0156740558034
191080.9,-69.9955261998116
192080.8,-66.8429122147875
193080.7,-66.7045137624247
194080.6,-66.8558684269974
195080.5,-67.9422642310862
196080.4,-69.4789520412234
197080.3,-70.2896908259574
198080.2,-67.7424259203688
199080.1,-65.4802154325221
200080,-63.465600968869
201079.9,-62.2246480420223
202079.8,-62.0189751708208
203079.7,-62.1422112431677
204079.6,-63.3124741191436
205079.5,-65.118627619313
206079.4,-65.7704673509341
207079.3,-65.7613567293294
208079.2,-61.9713594899827
209079.1,-60.439087213136
210079,-60.0783572685474
211078.9,-60.152256999362
212078.8,-61.5707678160637
213078.7,-64.7826154916364
214078.6,-66.9842428405962
215078.5,-66.9782646851205
216078.4,-66.0286311082738
217078.3,-66.107229538282
218078.2,-66.7183472102256
219078.1,-67.4931362374112
220078,-68.4034044246774
221077.9,-69.760832151863
222077.8,-71.2913286326776
223077.7,-71.8358813993794
224077.6,-68.6128605293875
225077.5,-66.5151781162505
226077.4,-64.8489929123877
227077.3,-63.5649685762669
228077.2,-62.5628661917589
229077.1,-61.9648519378961
230077,-61.875863430001
231076.9,-61.9622930253318
232076.8,-62.8396703182432
233076.7,-65.3944832232513
234076.6,-69.9807004129369
235076.5,-70.3529675425419
236076.4,-67.9091476221468
237076.3,-69.6456037509453
238076.2,-67.9966471107922
239076.1,-71.9649853565261
240076,-74.2410087760505
241075.9,-79.5696204383167
242075.8,-73.257987965099
243075.7,-69.9879801031717
244075.6,-68.2380014303573
245075.5,-67.2218029482687
246075.4,-65.9714526230349
247075.3,-64.4634569586883
248075.2,-63.120698882648
249075.1,-62.2642561731401
250075,-62.1525572858095
251074.9,-62.3415751468661
252074.8,-63.5971977248581
253074.7,-64.9303488395437
254074.6,-64.2273969703583
255074.5,-64.2182863487536
256074.4,-62.4949336380359
257074.3,-63.9886236418344
258074.2,-62.5158682214393
259074.1,-71.0873654437862
260074,-70.7939835209718
261073.9,-70.7629456364639
262073.8,-64.0542730813914
263073.7,-61.8853270638189
264073.6,-60.6858793131819
265073.5,-60.4073766044804
266073.4,-60.4241088284402
267073.3,-60.9342044677225
268073.2,-62.0050115441016
269073.1,-63.6694209519324
270073,-66.8186193049245
271072.9,-75.7276397526745
272072.8,-67.4746613959892
273072.7,-63.6087018530135
274072.6,-61.7185453209249
275072.5,-61.5097399835943
276072.4,-61.8068279261025
277072.3,-63.9536371178042
278072.2,-67.278253574022
279072.1,-67.9285270725786
280072,-64.31473105299
281071.9,-63.7112349834014
282071.8,-63.7506775867966
283071.7,-65.5403856397887
284071.6,-71.6388008532646
285071.5,-72.4394327260147
286071.4,-66.9547713108615
287071.3,-66.1343519618374
288071.2,-66.1330725055553
289071.1,-66.7222629145957
290071,-68.17288150912
291070.9,-69.3729028133217
292070.8,-69.7028816501847
293070.7,-69.9114774245477
294070.6,-70.8859611674591
295070.5,-72.9622898712576
296070.4,-74.5538694415884
297070.3,-74.5439757034514
298070.2,-72.9936917463628
299070.1,-73.2860809896774
300070,-74.0169125910565
301069.9,-73.9961516015324
302069.8,-68.9023617160406
303069.7,-67.5252428926455
304069.6,-67.0001548563472
305069.5,-66.9817432164199
306069.4,-67.1262198152023
307069.3,-67.6332793684201
308069.2,-68.6705088139767
309069.1,-70.5448898325171
310069,-72.6408928296866
311068.9,-73.5355950663721
312068.8,-71.718364751848
313068.7,-70.247271944582
314068.6,-69.064366021187
315068.5,-68.5807831610984
316068.4,-68.5811663179452
317068.3,-69.3576179582598
318068.2,-72.9329280848648
319068.1,-80.6783337457439
320068,-71.9477506844456
321067.9,-69.4875816969377
322067.8,-69.3180285662845
323067.7,-70.4899540553895
324067.6,-72.7237855622364
325067.5,-72.6677843287607
326067.4,-61.6920061694785
327067.3,-58.9084100541479
328067.2,-57.6511080601884
329067.1,-57.432218588003
330067,-57.441999143237
331066.9,-57.3069031400032
332066.8,-56.6040476508823
333066.7,-56.2614257666002
334066.6,-56.3479517419954
335066.5,-58.9036441436004
336066.4,-49.7815028161731
337066.3,-43.5592420076974
338066.2,-38.6894234504313
339066.1,-35.1391562500201
340066,-32.7486846338831
341065.9,-31.4209021520203
342065.8,-31.104906229835
343065.7,-31.1319153487786
344065.6,-31.9177643874803
345065.5,-33.7850973572304
346065.4,-36.4543416560128
347065.3,-39.1666573640693
348065.2,-41.5257875160775
349065.1,-44.2631629531663
350065,-48.475146820497
351064.9,-55.5580358950859
352064.8,-61.5993799817714
353064.7,-63.7924894289409
354064.6,-61.9776084640136
355064.5,-61.9325708619895
356064.4,-52.6467581793203
357064.3,-49.5295544212478
358064.2,-46.7561388208366
359064.1,-43.830015496635
360064,-40.7441363998529
361063.9,-37.7827728316998
362063.8,-35.2114012966112
363063.7,-33.172549003458
364063.6,-31.7210341094985
365063.5,-30.864687780055
366063.4,-30.5886308010148
367063.3,-30.5890139578617
368063.2,-30.879150231644
369063.1,-31.7182511945393
370063,-33.0773415348539
371062.9,-34.8796758324266
372062.8,-37.0023047916928
373062.7,-39.3927596049913
374062.6,-42.3000713295801
375062.5,-46.4392253594109
376062.4,-53.4187430517416
377062.3,-60.6425931021369
378062.2,-63.3008737694676
379062.1,-68.5035000501048
380062,-67.5719745335646
381061.9,-69.0226895081534
382061.8,-64.6650291629842
383061.7,-66.8604879597504
384061.6,-63.5662998653876
385061.5,-63.5212622633635
386061.4,-55.2769945685975
387061.3,-51.5215508367347
388061.2,-46.780163390759
389061.1,-41.9886564867187
390061,-37.6309961415495
391060.9,-33.8465770979931
392060.8,-30.6346162395174
393060.7,-28.0131252463643
394060.6,-26.0337898096628
395060.5,-24.7443800378806
396060.4,-24.1558595624695
397060.3,-24.1131713100421
398060.2,-24.2529492096309
399060.1,-25.0012086547843
400060,-26.348576247115
401059.9,-28.2210078760587
402059.8,-30.4701185570185
403059.7,-32.7865772597524
404059.6,-34.7357543088573
405059.5,-36.1148225224784
406059.4,-37.079622090535
407059.3,-37.8415944767367
408059.2,-38.5409175403577
409059.1,-39.3992132600272
410059,-40.7579204438096
411058.9,-42.8739013142855
412058.8,-45.6986026464549
413058.7,-48.9070310794308
414058.6,-52.4764762337777
415058.5,-56.7789184623181
416058.4,-61.5770734557779
417058.3,-64.9687511573022
418058.2,-67.852186229391
419058.1,-68.448137910754
420058,-64.9429083126816
421057.9,-63.4479388529155
422057.8,-63.2756532161334
423057.7,-64.2717774454803
424057.6,-71.0097120893433
425057.5,-70.9658575638514
426057.4,-62.2646497742467
427057.3,-58.0037127225452
428057.2,-52.9737552361662
429057.1,-47.8897627090615
430057,-43.2450985565535
431056.9,-39.254336708481
