Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-111.892532997196
10990,-111.758368010308
11980,-110.619527340408
12970,-111.104175949126
13960,-111.694876784177
14950,-108.611270158551
15940,-109.656289457795
16930,-110.515698990616
17920,-107.315844090899
18910,-109.482781071967
19900,-111.511217442857
20890,-110.40415926169
21880,-108.695559539695
22870,-111.425847249393
23860,-110.808741187844
24850,-112.04653497934
25840,-106.363625217358
26830,-110.964816805717
27820,-106.593012680048
28810,-108.21024238041
29800,-108.921583280653
30790,-108.838597858313
31780,-110.186169788228
32770,-107.956479143368
33760,-111.369819572851
34750,-107.700784429544
35740,-106.806467245772
36730,-108.593926975094
37720,-107.633918668371
38710,-104.929295553759
39700,-107.718387190683
40690,-107.072884434039
41680,-107.393587546183
42670,-109.358515986878
43660,-108.766836554905
44650,-107.337332164406
45640,-107.6410506793
46630,-104.478953102665
47620,-107.173577957198
48610,-107.571268341511
49600,-108.284856460811
50590,-106.131283957812
51580,-107.168362985368
52570,-107.161551393422
53560,-109.82184205933
54550,-108.758001787327
55540,-107.344033422038
56530,-108.683972437338
57520,-107.601954604661
58510,-107.929802467634
59500,-108.304012135482
60490,-107.364944112588
61480,-106.08462745131
62470,-105.745052274494
63460,-105.705976193239
64450,-106.671073516966
65440,-107.589749203494
66430,-107.523601780898
67420,-107.256451304327
68410,-107.607242596063
69400,-108.564125527055
70390,-108.792071546886
71380,-107.117934431431
72370,-106.195987433858
73360,-105.154101068436
74350,-107.489097313223
75340,-107.605657833117
76330,-105.834659528376
77320,-107.581167896711
78310,-108.444872884979
79300,-107.834569740219
80290,-106.776353820431
81280,-107.213764423829
82270,-107.366734225524
83260,-107.521952173304
84250,-105.494079935356
85240,-107.734516278333
86230,-109.219033576708
87220,-106.938513602359
88210,-105.803576254035
89200,-108.600616891271
90190,-107.014914012912
91180,-107.380738619143
92170,-109.802446292186
93160,-105.776364875237
94150,-105.22794615363
95140,-110.42230955769
96130,-108.407851876022
97120,-109.329439380454
98110,-106.185300691629
99100,-108.424717688489
100090,-108.84303095322
101080,-106.575849868962
102070,-106.454278807753
103060,-108.352642492651
104050,-107.703198678124
105040,-110.434243808196
106030,-106.809656952577
107020,-108.191467240721
108010,-108.314604084074
109000,-107.881455112021
109990,-106.555878267997
110980,-106.711800455865
111970,-107.096229693277
112960,-110.987559901833
113950,-106.166314603732
114940,-106.639364526083
115930,-109.254968537303
116920,-107.718238971943
117910,-106.108046288228
118900,-110.728886683839
119890,-106.48643807864
120880,-109.179370096367
121870,-107.880360337104
122860,-110.506685281252
123850,-109.916317800077
124840,-109.765867356098
125830,-108.120371207442
126820,-108.246578276927
127810,-106.599420139245
128800,-110.513198828265
129790,-105.920130580283
130780,-109.753226281795
131770,-110.128513966164
132760,-109.5375092569
133750,-106.769829319307
134740,-108.765961935209
135730,-109.387642660594
136720,-110.758027635611
137710,-107.609695603575
138700,-109.172199280576
139690,-106.477298006928
140680,-109.231104608025
141670,-109.750645526038
142660,-108.929379819681
143650,-110.235581847808
144640,-110.37343480057
145630,-109.299956454189
146620,-110.212282640297
147610,-107.932825684201
148600,-109.893137796761
149590,-109.231838705955
150580,-110.109761864465
151570,-108.944405878973
152560,-111.030029577139
153550,-108.861882676209
154540,-107.970230575213
155530,-107.330741138678
156520,-112.541690948397
157510,-112.330063984194
158500,-109.079431447378
159490,-110.561467934632
160480,-107.525937974584
161470,-109.989740586597
162460,-112.702402815002
163450,-109.557696515567
164440,-109.170790141205
165430,-108.506167693855
166420,-109.446488363762
167410,-109.04789224599
168400,-108.713329325474
169390,-109.431679202986
170380,-111.421778669622
171370,-110.270387456701
172360,-111.466195912067
173350,-108.765642198573
174340,-111.014245101086
175330,-109.107527852078
176320,-107.866751686362
177310,-110.837710807389
178300,-108.770913225073
179290,-113.136550740219
180280,-109.459874796435
181270,-109.935070727302
182260,-109.146830990148
183250,-111.724282554346
184240,-110.573898724794
185230,-111.030852023427
186220,-110.581679913711
187210,-111.166810368035
188200,-111.514943610621
189190,-108.967853290895
190180,-109.235641236887
191170,-111.284755689167
192160,-112.760469869186
193150,-111.132533030717
194140,-113.427963924692
195130,-111.134872773282
196120,-112.191466384583
197110,-114.150218561051
198100,-110.79423284032
199090,-109.721705815944
200080,-112.236340713829
201070,-112.162311112257
202060,-115.266564212531
203050,-110.458099481436
204040,-112.232677982465
205030,-110.719401091521
206020,-112.899289006983
207010,-111.746892823458
208000,-113.207514773885
208990,-111.330211999244
209980,-112.42474578639
210970,-113.51968530539
211960,-110.407929884555
212950,-113.429517640816
213940,-112.436642928173
214930,-113.292170304193
215920,-110.959847461997
216910,-110.055443241725
217900,-110.921830722425
218890,-111.488754096904
219880,-111.295360465393
220870,-112.531534494574
221860,-110.718616386025
222850,-110.932511703531
223840,-111.00407203051
224830,-110.82337703399
225820,-111.774114960885
226810,-113.438621302912
227800,-111.661434773611
228790,-111.912165274096
229780,-112.733305217991
230770,-113.214072747165
231760,-114.515704933445
232750,-113.978107640544
233740,-112.863486413515
234730,-112.744060321415
235720,-113.593427326473
236710,-111.788866721155
237700,-111.938532034398
238690,-110.935760899955
239680,-112.666110543653
240670,-113.293549501069
241660,-113.746934954075
242650,-113.380115718684
243640,-113.987949710698
244630,-112.816096118824
245620,-112.72411745917
246610,-112.098033812052
247600,-113.069734026869
248590,-113.52619791158
249580,-113.957707900516
250570,-112.533200620934
251560,-112.086593487924
252550,-113.428472298096
253540,-112.636388615291
254530,-114.525639882002
255520,-112.950193318774
256510,-112.739392896104
257500,-112.136403999056
258490,-109.353048567245
259480,-114.801716988943
260470,-113.838092527328
261460,-112.564304352526
262450,-112.416036949985
263440,-114.420993582329
264430,-111.614850667003
265420,-112.963756980836
266410,-113.537322421176
267400,-113.591471846729
268390,-112.814535583865
269380,-113.970626483763
270370,-111.417324554981
271360,-112.519238606246
272350,-112.560637644386
273340,-114.119958940612
274330,-113.427510888628
275320,-113.67094213877
276310,-113.360748892018
277300,-113.840260443863
278290,-111.243521601059
279280,-114.095104101772
280270,-114.963052694286
281260,-114.475766621754
282250,-113.862404303583
283240,-113.343339134102
284230,-113.296458910058
285220,-113.757582255025
286210,-113.067794298792
287200,-115.324413691333
288190,-112.464500052612
289180,-114.301581805144
290170,-113.462199773139
291160,-115.606061126453
292150,-114.305418361017
293140,-112.405699888806
294130,-110.858605118327
295120,-114.161093779289
296110,-114.011643177947
297100,-114.807868908
298090,-115.186921112919
299080,-115.225624414507
300070,-112.926316428456
301060,-113.301441846522
302050,-112.742454599032
303040,-114.465185864715
304030,-116.654495225798
305020,-114.983666639642
306010,-111.516827643133
307000,-114.094807545187
307990,-113.064118095884
308980,-114.099317903987
309970,-111.852308208534
310960,-113.333328463804
311950,-115.509152080238
312940,-114.875286713221
313930,-113.734826489495
314920,-113.521121401621
315910,-113.492568360105
316900,-114.390436781383
317890,-114.537138401054
318880,-113.910241849156
319870,-113.692057498588
320860,-114.115260193649
321850,-115.127827515955
322840,-110.248915705466
323830,-116.931066155159
324820,-114.187529574609
325810,-114.210408595115
326800,-112.796055814624
327790,-114.283165086753
328780,-115.589175117298
329770,-111.580216832781
330760,-112.296750271957
331750,-114.08758984961
332740,-114.32367750911
333730,-114.4516094225
334720,-110.728916515892
335710,-111.550193240567
336700,-111.935191233375
337690,-113.044026800351
338680,-114.2786135379
339670,-111.996009919221
340660,-113.488967221853
341650,-113.119759032929
342640,-111.770242201794
343630,-113.896784834983
344620,-112.020417469402
345610,-114.003585410238
346600,-112.811263285047
347590,-113.91175196719
348580,-113.916294030612
349570,-114.513622133395
350560,-112.220622389942
351550,-113.90383163979
352540,-114.960045550335
353530,-113.890345663903
354520,-112.870552022869
355510,-111.88849102145
356500,-113.701974105992
357490,-112.067214967459
358480,-111.50680619474
359470,-113.585616892011
360460,-115.166530607903
361450,-111.837819141069
362440,-118.817682378411
363430,-116.205909354779
364420,-112.394666021195
365410,-113.689161458058
366400,-113.147366479593
367390,-114.461173517653
368380,-114.203550345895
369370,-114.300180148023
370360,-112.744329986453
371350,-114.217341886843
372340,-114.028994759221
373330,-113.219029427981
374320,-113.896285847089
375310,-114.980424797389
376300,-110.884133180925
377290,-111.965099066343
378280,-113.036070838871
379270,-113.065652322903
380260,-113.122833824033
381250,-112.506613117264
382240,-113.809441230113
383230,-113.418851708845
384220,-111.906253965887
385210,-112.25676236867
386200,-109.902756405958
387190,-115.310696920995
388180,-112.338400646382
389170,-112.844205155665
390160,-112.853371632001
391150,-114.155847749537
392140,-114.300261171162
393130,-112.263797870179
394120,-108.924757417418
395110,-113.364662914391
396100,-111.686330729333
397090,-113.4063079845
398080,-112.026989668052
399070,-110.967159040098
400060,-113.263328979424
401050,-111.569846129413
402040,-112.344861479991
403030,-112.635213062811
404020,-109.777171481201
405010,-109.313571872125
406000,-113.295777793184
406990,-116.504863173629
407980,-107.794367728747
408970,-112.937518047326
409960,-115.06752554326
410950,-112.856303303184
411940,-111.435751431478
412930,-117.34214054778
413920,-112.651971063039
414910,-113.044328845817
415900,-112.856966875182
416890,-113.862918506617
417880,-113.200507403939
418870,-114.31671193496
419860,-114.106175219678
420850,-112.410508074522
421840,-112.324580532815
422830,-116.154987148684
423820,-113.372829577325
424810,-114.771617744995
425800,-114.829572792138
426790,-115.111314186923
427780,-114.461955721665
428770,-114.365720875494
429760,-114.364480172827
430750,-115.671212544377
431740,-114.923125140466
432730,-114.548612899496
433720,-113.887987618567
434710,-114.481733201972
435700,-112.839756453778
436690,-113.208841192257
437680,-116.059122067914
438670,-114.399171544981
439660,-117.86502163932
440650,-112.362254959262
441640,-118.376793120069
442630,-115.098961674929
443620,-115.167027008922
444610,-115.728835167907
445600,-114.9772175418
446590,-114.450706090882
447580,-115.094564413312
448570,-115.717820630743
449560,-114.564397877017
450550,-115.59417336873
451540,-116.600956826204
452530,-115.516129332646
453520,-118.582228499994
454510,-117.646294911186
455500,-116.609366510586
456490,-118.23209563155
457480,-115.337914147263
458470,-116.789129586449
459460,-115.605083527731
460450,-114.672051197469
461440,-114.113419845073
462430,-113.578054783487
463420,-115.69131099558
464410,-118.062439829485
465400,-115.938799946396
466390,-115.205386636016
467380,-116.856657978489
468370,-116.604172476875
469360,-117.34780330069
470350,-119.936496351647
471340,-118.518562062113
472330,-119.236527898236
473320,-118.1608068749
474310,-116.917694645343
475300,-117.0223462581
476290,-117.365922319178
477280,-116.860045451
478270,-116.594639134163
479260,-116.877655119399
480250,-117.719360643233
481240,-118.734472665234
482230,-118.500385828471
483220,-116.85887678518
484210,-121.055373424321
485200,-118.769694557426
486190,-117.216122165833
487180,-119.810408130772
488170,-119.989744389601
489160,-119.306844064324
490150,-117.163323388337
491140,-117.750757341262
492130,-117.296131437686
493120,-116.923621841536
494110,-118.762676633572
495100,-120.280287757521
496090,-118.047754488072
497080,-118.10263242725
498070,-121.415321453135
499060,-120.068154244978
500050,-120.623290446868
501040,-118.562538628633
502030,-117.621158602329
503020,-117.326006918534
504010,-118.851506122592
505000,-118.783506954418
505990,-119.082058736832
506980,-120.618901345725
507970,-121.35867899371
508960,-119.129000517103
509950,-123.362038864088
510940,-122.773326929723
511930,-118.598056420507
512920,-120.80841952855
513910,-120.577489568377
514900,-120.003157733954
515890,-121.903287197125
516880,-120.265385249946
517870,-119.23868602359
518860,-120.115024097425
519850,-120.802623780822
520840,-118.035229677069
521830,-121.506751823815
522820,-119.726952127856
523810,-120.105286624498
524800,-118.946135573811
525790,-119.061482760019
526780,-119.469434904703
527770,-120.956290270815
528760,-120.018208584915
529750,-120.976308431134
530740,-119.453165635033
531730,-119.471654940683
532720,-120.027653349221
533710,-124.448612941967
534700,-120.737623461472
535690,-120.253569048584
536680,-121.087597457638
537670,-118.735174946784
538660,-120.754947539072
539650,-120.679795939852
540640,-120.233963603295
541630,-119.714241674934
