Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-109.875641576251
10990,-108.847799976398
11980,-110.869538286856
12970,-108.873040720299
13960,-110.407614682479
14950,-109.853416873013
15940,-109.312508682832
16930,-110.290793627204
17920,-109.742323168557
18910,-109.147159624151
19900,-109.736106296954
20890,-112.43998740338
21880,-109.964314709735
22870,-109.36228514696
23860,-109.349632549962
24850,-108.475090361377
25840,-108.538048924051
26830,-109.754736573898
27820,-109.050213047387
28810,-100.414679307928
29800,-109.398154685306
30790,-108.849242376527
31780,-107.783430221397
32770,-108.324522599367
33760,-106.952042618698
34750,-108.881948010748
35740,-107.334750831135
36730,-107.968433394641
37720,-108.354330922092
38710,-104.937475862912
39700,-108.489379428665
40690,-109.788982816665
41680,-107.743696416045
42670,-109.100233763444
43660,-108.178113391399
44650,-108.061219549225
45640,-108.030680294035
46630,-107.926696000264
47620,-107.311059036227
48610,-107.643093616535
49600,-107.844734040925
50590,-107.025357845743
51580,-108.407320478858
52570,-108.441478397809
53560,-108.846325748073
54550,-106.686228060551
55540,-108.516061926891
56530,-106.867683886705
57520,-107.300213658031
58510,-107.525740469085
59500,-107.577107332414
60490,-106.742300747586
61480,-105.81774028804
62470,-106.26790517497
63460,-106.854556400236
64450,-108.104450843759
65440,-107.126646818118
66430,-108.016732095638
67420,-107.659732190967
68410,-103.286944769207
69400,-108.590511085604
70390,-105.589182003268
71380,-107.967949489895
72370,-107.293529494513
73360,-108.855375672956
74350,-106.976010964786
75340,-106.592449474611
76330,-107.393563950554
77320,-108.201794603007
78310,-106.652658075468
79300,-107.702564671529
80290,-107.539442720921
81280,-107.002550746908
82270,-108.040130153948
83260,-108.022564323074
84250,-108.306013146345
85240,-107.386388873954
86230,-106.707503740839
87220,-106.557241694588
88210,-107.71439989806
89200,-107.091129732254
90190,-107.860634586034
91180,-106.128728129057
92170,-106.176051458248
93160,-108.331450959681
94150,-106.93905958947
95140,-108.028970747878
96130,-108.793672019995
97120,-106.563829213858
98110,-107.576979962441
99100,-107.429703645307
100090,-108.108027364101
101080,-109.038637525857
102070,-107.255741598903
103060,-108.773594310227
104050,-108.647977589099
105040,-107.973404426647
106030,-108.031829607442
107020,-109.506606767139
108010,-108.14866301086
109000,-107.766955454298
109990,-107.363868341471
110980,-108.338076305791
111970,-107.375504411144
112960,-108.701168546341
113950,-108.520630505706
114940,-109.142952586661
115930,-107.872837776642
116920,-107.188638151267
117910,-108.318575198329
118900,-107.445413599769
119890,-108.292622912426
120880,-108.032168496203
121870,-106.922018790244
122860,-107.733580063072
123850,-108.627409859641
124840,-109.962051908157
125830,-107.253206447274
126820,-108.22940779428
127810,-108.463948403895
128800,-108.294920596847
129790,-109.889198634852
130780,-110.142269352398
131770,-109.079011780181
132760,-108.416969581581
133750,-108.49058020971
134740,-107.363876484647
135730,-108.210508133255
136720,-109.184055544433
137710,-108.978853959625
138700,-108.570575868212
139690,-107.375988072425
140680,-108.366542171148
141670,-109.514798668938
142660,-108.730445816714
143650,-109.850085406685
144640,-109.794328001758
145630,-109.365716936841
146620,-111.422046827585
147610,-110.009675888556
148600,-111.132661085149
149590,-108.088285417535
150580,-108.767069836947
151570,-110.345795294902
152560,-109.802539752756
153550,-109.725957296456
154540,-109.390012015091
155530,-109.640719587515
156520,-110.792729677871
157510,-111.099901373982
158500,-110.282952662458
159490,-109.878346190203
160480,-108.095849456325
161470,-109.30296447558
162460,-109.978102709521
163450,-109.301826708397
164440,-110.569464554604
165430,-110.261406867176
166420,-112.107231098329
167410,-109.857278655086
168400,-109.412519210835
169390,-109.813797101026
170380,-109.541386881737
171370,-110.844795382148
172360,-110.548409632605
173350,-108.318038973597
174340,-110.401680884198
175330,-108.692661298624
176320,-109.878859326392
177310,-108.75846026338
178300,-108.473085412308
179290,-110.262197307943
180280,-109.903583512565
181270,-109.925628595792
182260,-110.03934729853
183250,-109.244212217339
184240,-108.54417350425
185230,-109.840380308314
186220,-111.041622164145
187210,-110.837163819772
188200,-111.137628432785
189190,-111.671245086497
190180,-110.921834877638
191170,-110.605951247088
192160,-110.694290234045
193150,-111.861508075481
194140,-111.75757969204
195130,-110.744151189638
196120,-112.007092770114
197110,-110.782780380395
198100,-110.895462755414
199090,-111.831380149313
200080,-112.024630780771
201070,-111.045356176453
202060,-111.439515800106
203050,-110.123702390237
204040,-110.620987931106
205030,-111.822452513416
206020,-110.991994544584
207010,-111.741981049161
208000,-111.893030206573
208990,-111.719102607933
209980,-111.475891826194
210970,-112.049293555048
211960,-112.348951960564
212950,-112.161569691283
213940,-111.625308746204
214930,-111.326137967177
215920,-112.13145741944
216910,-113.058716786201
217900,-113.496744147883
218890,-110.680343894861
219880,-112.202407556781
220870,-112.338879747283
221860,-112.030979774554
222850,-111.29039811436
223840,-112.412513282039
224830,-111.567934393058
225820,-112.000495130991
226810,-112.433288364618
227800,-112.710969943954
228790,-113.163150395392
229780,-113.315415910384
230770,-113.796662583445
231760,-112.079160087235
232750,-111.977913499796
233740,-112.185791397162
234730,-114.101048914497
235720,-114.511203030465
236710,-114.244997479661
237700,-112.250821383449
238690,-111.471876756015
239680,-112.132508354696
240670,-113.563848408979
241660,-114.34761656321
242650,-113.127326427765
243640,-111.495516512675
244630,-113.895734227257
245620,-112.172652608031
246610,-112.137883313342
247600,-111.749800553985
248590,-112.690403634618
249580,-111.478798860712
250570,-112.424178161135
251560,-111.470910940101
252550,-112.545050732886
253540,-112.541889749859
254530,-111.152772143478
255520,-114.00217798847
256510,-112.911365921846
257500,-112.821496669783
258490,-114.191952082129
259480,-113.305377641042
260470,-113.205799562224
261460,-113.079827573325
262450,-113.971845650737
263440,-114.116008537067
264430,-113.527481673032
265420,-113.393253239337
266410,-111.708820730909
267400,-111.738580122083
268390,-113.716702844166
269380,-111.534288519524
270370,-114.574726841765
271360,-112.147069905919
272350,-112.932270178736
273340,-114.219301352246
274330,-114.065124858664
275320,-113.276897908777
276310,-113.800304728323
277300,-112.852601401297
278290,-114.167913738408
279280,-112.077247410554
280270,-113.2027615735
281260,-115.132831376371
282250,-113.504557846099
283240,-113.511407822614
284230,-115.163587687908
285220,-112.382329414333
286210,-114.261912092281
287200,-113.308325864835
288190,-115.101642872852
289180,-112.81456021282
290170,-113.300582393291
291160,-114.062956647432
292150,-113.509161577554
293140,-114.784059912413
294130,-115.399294621928
295120,-114.382841644507
296110,-113.968703456184
297100,-114.055047961708
298090,-115.254070880841
299080,-114.122961807297
300070,-114.853886059734
301060,-113.480135385235
302050,-115.9234156872
303040,-112.624522831742
304030,-112.774894667091
305020,-113.690974561925
306010,-115.449418088377
307000,-114.870557601271
307990,-113.331612568363
308980,-112.652029551611
309970,-112.445337027096
310960,-113.882662167585
311950,-111.915296182668
312940,-112.578235003641
313930,-112.694384797034
314920,-114.224117190473
315910,-113.280153457119
316900,-112.698191909812
317890,-113.500090411482
318880,-112.400788541245
319870,-112.765305425768
320860,-113.308363114333
321850,-112.22244349165
322840,-112.629335486905
323830,-113.57355120343
324820,-112.345850650333
325810,-112.97611805056
326800,-113.563597259302
327790,-113.151161027869
328780,-113.790618204655
329770,-115.314610849747
330760,-114.111976892746
331750,-112.917920176946
332740,-112.438787458116
333730,-113.399434299969
334720,-113.432539649992
335710,-113.734231661076
336700,-112.467712654505
337690,-111.507980669903
338680,-114.291910430211
339670,-111.843680411364
340660,-113.228404752668
341650,-113.964077919729
342640,-112.481842739647
343630,-112.738039128926
344620,-112.925170001813
345610,-112.856818765108
346600,-111.199722991445
347590,-113.093594953636
348580,-112.746568721776
349570,-112.939688361351
350560,-114.142990807874
351550,-113.318480911284
352540,-112.971939493649
353530,-113.959488368815
354520,-112.301724942329
355510,-114.11949763434
356500,-113.08415874777
357490,-113.794566530016
358480,-113.945767624016
359470,-113.834618642781
360460,-112.160979432231
361450,-112.875767865984
362440,-113.748229072986
363430,-113.510126220566
364420,-112.271210407583
365410,-111.282487552256
366400,-111.273596467431
367390,-113.638741624076
368380,-113.485409752475
369370,-112.286946926373
370360,-111.805586564969
371350,-112.38294948708
372340,-113.171650507909
373330,-113.372035312002
374320,-112.880860493745
375310,-111.948925011782
376300,-113.614170156291
377290,-111.890067960844
378280,-114.980764003519
379270,-111.999419720295
380260,-113.582953050909
381250,-115.279643853578
382240,-110.928635250762
383230,-112.496176171349
384220,-111.672697125118
385210,-111.84935111868
386200,-112.24309062363
387190,-110.684971248301
388180,-112.44212966733
389170,-113.500643045368
390160,-113.031961195297
391150,-112.583090919866
392140,-113.561418472269
393130,-111.83916005055
394120,-112.271016527962
395110,-111.975456645773
396100,-111.351827904275
397090,-112.579094201141
398080,-112.295079923856
399070,-113.171515505544
400060,-112.32157896032
401050,-111.415775027965
402040,-111.639675744176
403030,-113.770011793277
404020,-112.698859305134
405010,-109.340018184865
406000,-114.062708489603
406990,-112.990351010111
407980,-108.707375905086
408970,-113.719774058971
409960,-114.179911496801
410950,-113.791481487934
411940,-112.403300221748
412930,-114.226269203677
413920,-114.989904520339
414910,-114.133319465183
415900,-114.730139221501
416890,-113.247497730566
417880,-114.82819495025
418870,-114.681296501388
419860,-114.417111013664
420850,-113.422259712353
421840,-114.412059303682
422830,-114.393951316635
423820,-114.99971954638
424810,-113.560869619958
425800,-114.08217646516
426790,-115.23795159738
427780,-114.776373017088
428770,-114.521019341533
429760,-114.790950517838
430750,-113.462147582746
431740,-113.907181826884
432730,-115.507316301627
433720,-113.300905784578
434710,-114.764495162465
435700,-113.901621332592
436690,-116.165543246111
437680,-113.416363671537
438670,-114.713053390779
439660,-117.479751963071
440650,-115.230103416087
441640,-115.057778388188
442630,-115.505292010785
443620,-115.502171068968
444610,-114.843556721581
445600,-115.716481519425
446590,-117.517127901613
447580,-116.204646921332
448570,-116.28315444395
449560,-117.78559220262
450550,-117.145111508741
451540,-117.266157363979
452530,-114.844391495612
453520,-117.009182313282
454510,-117.871315702186
455500,-117.16762406301
456490,-118.247403204934
457480,-115.79819603752
458470,-117.652408444687
459460,-116.699248873689
460450,-117.086637982974
461440,-117.158646953612
462430,-115.513383265904
463420,-117.321721274321
464410,-116.779320167132
465400,-115.302035158641
466390,-115.088922829045
467380,-117.744379016029
468370,-118.771685891216
469360,-118.019287152734
470350,-118.282991406936
471340,-117.383879296176
472330,-117.973776422868
473320,-118.850219299308
474310,-119.90092328309
475300,-117.946796834944
476290,-117.988171935703
477280,-120.129602728586
478270,-117.311831076967
479260,-119.823733984263
480250,-118.011625063232
481240,-117.99971175981
482230,-118.830517282545
483220,-118.170828088726
484210,-118.385761682584
485200,-118.841745916874
486190,-118.201887242902
487180,-118.986282355258
488170,-118.795256735675
489160,-119.531364590845
490150,-118.313308715846
491140,-119.14034103266
492130,-117.169716246648
493120,-118.458752581983
494110,-117.698602463995
495100,-119.455052867897
496090,-119.248990489767
497080,-117.957169455399
498070,-118.017599489959
499060,-119.010878855214
500050,-118.099740829469
501040,-118.372013041381
502030,-117.351598451173
503020,-120.479665744477
504010,-119.846525674992
505000,-118.376076146176
505990,-119.842595522784
506980,-119.119594824775
507970,-119.919940354319
508960,-119.66469107272
509950,-118.60987171805
510940,-119.133824189648
511930,-119.60883982088
512920,-120.330487167309
513910,-121.239654573384
514900,-119.264992662823
515890,-121.10304002307
516880,-119.752735358202
517870,-121.733045688061
518860,-119.279581732479
519850,-120.10849422983
520840,-119.590472004755
521830,-121.060542092626
522820,-120.70884138285
523810,-120.533343216255
524800,-119.08751735167
525790,-121.466852521825
526780,-121.027567820915
527770,-120.030852102218
528760,-121.892538686435
529750,-119.919339784095
530740,-120.567333561601
531730,-120.416774529596
532720,-120.680080229479
533710,-119.993756396548
534700,-120.184999533262
535690,-121.203827768084
536680,-120.295790405402
537670,-121.03473969352
538660,-121.692590146218
539650,-120.839936321285
540640,-119.991903628056
541630,-119.667833144407
