Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-112.01847591685
10990,-110.90359611139
11980,-111.09171874015
12970,-109.876166932616
13960,-109.120767528866
14950,-112.116789260402
15940,-112.999991196955
16930,-110.06115272628
17920,-106.446323308957
18910,-111.010987762529
19900,-109.348182449343
20890,-111.453615463094
21880,-109.231694157551
22870,-108.969599399668
23860,-108.544643149047
24850,-108.898734285281
25840,-109.499285861712
26830,-109.31989903006
27820,-106.486159303759
28810,-108.090577326315
29800,-108.872412395461
30790,-110.297248098778
31780,-108.593550793391
32770,-109.92317648678
33760,-108.535419726771
34750,-109.153084029355
35740,-107.762663807566
36730,-108.257502265199
37720,-108.828720513061
38710,-109.202724183361
39700,-110.016792647139
40690,-107.738610490139
41680,-106.825109514247
42670,-106.793244664274
43660,-108.242370203479
44650,-107.364383082905
45640,-107.069433206078
46630,-99.8395181443168
47620,-107.738646549413
48610,-106.662094362631
49600,-108.984593269922
50590,-108.370795750596
51580,-106.053819622989
52570,-107.34465275535
53560,-106.303627874242
54550,-109.66752356998
55540,-107.326601363887
56530,-106.94321343664
57520,-106.04019291932
58510,-106.864124812965
59500,-106.677894357639
60490,-106.243868154274
61480,-107.319551635147
62470,-107.245664660541
63460,-109.280052460307
64450,-106.054516264088
65440,-107.818826085506
66430,-107.896056467926
67420,-107.382232688724
68410,-105.23334483502
69400,-108.550454220642
70390,-106.251687894841
71380,-107.671738230044
72370,-109.088678272293
73360,-108.073492670688
74350,-107.495936833359
75340,-106.789407653372
76330,-107.528241303773
77320,-108.26923322966
78310,-108.182382456313
79300,-107.139272017466
80290,-107.0822834896
81280,-107.879097828889
82270,-105.297825676297
83260,-107.443002259994
84250,-106.942038431121
85240,-107.070250366238
86230,-107.547157269219
87220,-105.483906013978
88210,-108.063786357981
89200,-106.200922724561
90190,-107.865538693956
91180,-108.538647257577
92170,-109.450749214752
93160,-106.77937355222
94150,-106.018125149262
95140,-108.001483311119
96130,-106.681565061494
97120,-108.00198731765
98110,-108.345597022027
99100,-107.59432933725
100090,-106.643683802222
101080,-109.643421508836
102070,-107.612594452926
103060,-108.994838515256
104050,-109.747028405595
105040,-108.082635593262
106030,-107.54951594198
107020,-109.584261666274
108010,-107.941318835938
109000,-108.736572641274
109990,-110.030161892447
110980,-107.809878608565
111970,-108.30962946196
112960,-108.73747298297
113950,-108.308980834628
114940,-108.127754826709
115930,-107.807051751687
116920,-107.325191901898
117910,-107.280672415179
118900,-106.763470135205
119890,-109.335533827808
120880,-107.780812534936
121870,-108.71537221072
122860,-109.56817436346
123850,-111.371405665037
124840,-108.105803224758
125830,-109.257894620071
126820,-109.911113914723
127810,-108.753746808707
128800,-107.688374087179
129790,-108.2960075106
130780,-108.131963846245
131770,-106.67585204364
132760,-108.766728133198
133750,-109.336049404879
134740,-107.965277686047
135730,-108.000343717116
136720,-108.500949245009
137710,-108.300620537892
138700,-110.214827046364
139690,-108.911600703581
140680,-108.525132110679
141670,-108.943897835356
142660,-108.739560934602
143650,-110.253806124644
144640,-109.229118390301
145630,-110.129227787712
146620,-109.464016302521
147610,-109.677641614595
148600,-108.611219030104
149590,-109.041730819649
150580,-107.633164311699
151570,-108.744499832093
152560,-110.331554409427
153550,-109.436583041835
154540,-109.980629712763
155530,-107.943061052185
156520,-109.915148634849
157510,-111.19152714288
158500,-108.777606144469
159490,-110.389728046029
160480,-109.918358678698
161470,-109.498188870252
162460,-109.46291312064
163450,-111.206984180573
164440,-109.632118954785
165430,-109.508769520601
166420,-109.637850275034
167410,-108.824908216241
168400,-111.766459364652
169390,-110.118997016274
170380,-109.753677531965
171370,-109.084485535888
172360,-110.017925719648
173350,-108.300120887342
174340,-108.169838574929
175330,-108.95894253284
176320,-110.033813054175
177310,-107.789913509089
178300,-110.127271994636
179290,-112.903936283423
180280,-108.804793912683
181270,-108.252650941588
182260,-110.542414609102
183250,-110.620343258958
184240,-111.23460446143
185230,-110.58535738839
186220,-109.714906545671
187210,-110.400524551272
188200,-110.365702985428
189190,-109.961229120244
190180,-110.006125465169
191170,-109.314542229357
192160,-111.752068503863
193150,-112.023501718405
194140,-112.254100103992
195130,-112.184738542574
196120,-111.154112337468
197110,-112.459427917544
198100,-111.245400247946
199090,-109.844118499892
200080,-110.786039866232
201070,-111.119247222277
202060,-112.225777594005
203050,-112.326770068723
204040,-112.315339350781
205030,-110.669994264198
206020,-111.840360329821
207010,-110.673462085244
208000,-112.600599422717
208990,-111.999708957266
209980,-112.757083783953
210970,-111.172983525663
211960,-113.578527049484
212950,-112.103530375738
213940,-112.819124400782
214930,-111.862431489804
215920,-110.633994758073
216910,-112.673141975185
217900,-112.187277749263
218890,-110.92718908985
219880,-110.200284307897
220870,-111.851234114019
221860,-111.433095177431
222850,-112.921885334277
223840,-111.345407267242
224830,-111.125050482381
225820,-111.759868681191
226810,-111.488896460222
227800,-113.137661730639
228790,-112.749597625499
229780,-112.977837364102
230770,-111.807171919814
231760,-109.445862382924
232750,-111.014693791072
233740,-113.080548850886
234730,-111.840464775065
235720,-111.975911337007
236710,-112.895457179137
237700,-113.090436865184
238690,-111.655442492132
239680,-112.475113953303
240670,-112.01450533567
241660,-111.633552520292
242650,-113.047531734679
243640,-113.687886993767
244630,-111.938552058243
245620,-113.487078005779
246610,-111.956895055607
247600,-112.594669260841
248590,-112.186922866791
249580,-112.63512357738
250570,-111.86650057751
251560,-112.491126349154
252550,-112.999925258528
253540,-112.535428576178
254530,-112.976149313126
255520,-111.842314498186
256510,-112.152320412508
257500,-112.190141629174
258490,-112.337655932286
259480,-112.620064942134
260470,-112.604447884423
261460,-116.535932828621
262450,-112.186967318683
263440,-111.904063754112
264430,-112.129504184933
265420,-112.209149992858
266410,-112.811750371227
267400,-113.631884346757
268390,-111.952320629774
269380,-112.544595757331
270370,-113.218534630681
271360,-113.743475844817
272350,-111.928214251631
273340,-113.605313910559
274330,-114.096856521506
275320,-113.276798648064
276310,-113.615233723759
277300,-113.800863707473
278290,-112.029950873204
279280,-112.848232862652
280270,-114.51695043019
281260,-115.212805700284
282250,-113.166260369416
283240,-113.924504351262
284230,-113.921684102333
285220,-113.805931841591
286210,-112.641550358093
287200,-114.355937779482
288190,-114.358118733604
289180,-114.237975185752
290170,-113.577071737472
291160,-115.804152794408
292150,-114.222071310289
293140,-114.199029997059
294130,-113.36895887034
295120,-113.297346410789
296110,-114.223039457876
297100,-113.768709804517
298090,-115.061615658101
299080,-114.759711963119
300070,-114.316223049801
301060,-113.392737693048
302050,-113.554309196336
303040,-114.477226308597
304030,-114.44578583703
305020,-115.125920995447
306010,-116.311235981446
307000,-113.572624334765
307990,-113.703551023665
308980,-113.899659735618
309970,-113.253614762478
310960,-114.247704299118
311950,-115.10039173333
312940,-114.821073309038
313930,-113.218208011252
314920,-114.892432311972
315910,-112.315819307749
316900,-114.310483534673
317890,-112.597532053429
318880,-113.791183042267
319870,-113.84361117393
320860,-113.00075214296
321850,-112.405825610499
322840,-115.541331860862
323830,-113.98185078837
324820,-113.250180949384
325810,-113.670227429484
326800,-114.281675472338
327790,-112.810009776276
328780,-114.269042749138
329770,-112.781612735299
330760,-114.107751576113
331750,-114.33712562773
332740,-114.661848871199
333730,-112.674915241628
334720,-111.613401438569
335710,-115.704236842599
336700,-113.145722718235
337690,-112.509744143914
338680,-114.138957178552
339670,-113.42116323049
340660,-113.957296632435
341650,-113.238024722636
342640,-113.480817882237
343630,-113.827548916938
344620,-112.575574964661
345610,-111.092290811476
346600,-113.854467573795
347590,-113.769946387532
348580,-112.927303726749
349570,-112.969520212552
350560,-113.846953149631
351550,-112.366201053565
352540,-113.789226697194
353530,-113.074667554966
354520,-114.536788103117
355510,-113.119719817452
356500,-111.770412179582
357490,-114.075599414504
358480,-113.28560144949
359470,-112.894943422335
360460,-114.602492194533
361450,-110.702940107472
362440,-112.605235513724
363430,-111.389699980434
364420,-113.915220690324
365410,-111.4375838608
366400,-112.409839445158
367390,-113.353235071281
368380,-112.475540862998
369370,-113.538480828562
370360,-113.297642419396
371350,-113.957241675585
372340,-112.257133235196
373330,-111.869783475615
374320,-114.974181935489
375310,-112.720495082401
376300,-111.360857413619
377290,-111.664649021063
378280,-112.642413792112
379270,-111.991884846919
380260,-112.781894970445
381250,-112.726048335606
382240,-113.584595510461
383230,-112.140345137397
384220,-113.643401340583
385210,-113.633738151145
386200,-110.887280210394
387190,-113.877620753069
388180,-112.019269498445
389170,-112.917930675324
390160,-113.526434995128
391150,-111.892792302363
392140,-111.612417026863
393130,-112.086745851292
394120,-111.08615770809
395110,-113.32104863843
396100,-113.311735126588
397090,-113.021629723884
398080,-113.026949569154
399070,-111.603448520423
400060,-112.370663437788
401050,-112.923361950359
402040,-114.818574401919
403030,-112.190033747774
404020,-114.210860483567
405010,-110.535776010549
406000,-112.772747108929
406990,-111.861208800682
407980,-109.379068083004
408970,-113.420529403596
409960,-112.535994082014
410950,-112.744578932414
411940,-112.922516978287
412930,-112.654975301528
413920,-112.113449045697
414910,-111.337749499324
415900,-112.952127351467
416890,-112.727981236684
417880,-112.774817305215
418870,-113.321092776722
419860,-113.219455211085
420850,-113.318350676742
421840,-114.935909213793
422830,-114.036564656592
423820,-113.587321191726
424810,-115.241199658585
425800,-115.396660935516
426790,-114.186794465444
427780,-113.901986318149
428770,-115.415906875068
429760,-114.872851068828
430750,-113.737257743042
431740,-114.233626844962
432730,-116.812029477445
433720,-114.349470743061
434710,-113.5322812319
435700,-115.02282025816
436690,-115.283571854295
437680,-113.686990244034
438670,-115.919545145382
439660,-114.911433507141
440650,-114.191287808399
441640,-115.889545604519
442630,-116.189114100993
443620,-115.046248926018
444610,-116.089448138156
445600,-116.193237712526
446590,-116.414557867449
447580,-115.081626746954
448570,-115.858726576438
449560,-117.131051947533
450550,-114.562973640407
451540,-115.778791287569
452530,-116.661668783275
453520,-116.675027744875
454510,-116.489270988277
455500,-116.665586535646
456490,-117.89584737199
457480,-118.261874546638
458470,-118.057366228096
459460,-117.531514298524
460450,-117.966077090214
461440,-117.793559514878
462430,-117.80734985601
463420,-114.662807864442
464410,-117.625446134291
465400,-117.865960015335
466390,-115.779800762805
467380,-116.785944951459
468370,-116.806233612188
469360,-117.027383303678
470350,-116.626161910267
471340,-118.935558569292
472330,-119.618392983087
473320,-118.100825398337
474310,-117.923225176174
475300,-116.991307434887
476290,-118.474810833583
477280,-120.554978825712
478270,-117.856133225514
479260,-118.706093181731
480250,-118.626029368332
481240,-118.23546020841
482230,-117.983516895881
483220,-118.107062878264
484210,-118.785614893261
485200,-118.007919412627
486190,-119.19097240489
487180,-117.870724516151
488170,-118.651201861307
489160,-119.282009584178
490150,-118.867331305505
491140,-117.913937044978
492130,-118.17013979497
493120,-120.933452468452
494110,-117.263218665855
495100,-117.63982948878
496090,-118.536280371556
497080,-119.362263176386
498070,-118.63119464876
499060,-119.730591478193
500050,-120.367115968021
501040,-120.185473598747
502030,-120.133558861802
503020,-118.713437291062
504010,-118.479556278122
505000,-119.734426852635
505990,-118.585128072962
506980,-119.292399059633
507970,-120.220552789158
508960,-119.881829358411
509950,-119.764283275727
510940,-120.53302526821
511930,-120.006728658668
512920,-120.5343662326
513910,-121.36217511837
514900,-120.423355563615
515890,-119.987001073599
516880,-119.301519334222
517870,-119.076711043466
518860,-120.757783341433
519850,-122.011174657287
520840,-120.104776657003
521830,-119.703281663836
522820,-119.593292273292
523810,-120.100303523238
524800,-120.730472149783
525790,-120.894537232407
526780,-122.204412872237
527770,-119.54658974822
528760,-121.336494689461
529750,-119.446815070132
530740,-118.834431613112
531730,-120.703621984948
532720,-119.883382987192
533710,-121.218228758849
534700,-120.378663714336
535690,-119.51171685231
536680,-120.121773133733
537670,-121.259280850853
538660,-120.642751681296
539650,-120.36347904272
540640,-121.487303739841
541630,-119.878089836268
