Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-110.788667378782
10990,-111.127502272214
11980,-110.140918983863
12970,-111.230031633258
13960,-111.444730315576
14950,-109.400364663132
15940,-110.947949509694
16930,-110.467777489486
17920,-109.59276517504
18910,-110.534227305334
19900,-109.602773543522
20890,-110.115796742994
21880,-109.615819086423
22870,-110.190028740853
23860,-110.260590227368
24850,-108.518678517862
25840,-108.731719886807
26830,-109.11104020103
27820,-107.775011767841
28810,-108.635992942793
29800,-109.404966359714
30790,-108.453928761344
31780,-108.684650230301
32770,-108.666958832595
33760,-109.280596315685
34750,-108.54953730805
35740,-108.903574808201
36730,-107.865894828766
37720,-107.908688178615
38710,-108.831901552635
39700,-107.538859245516
40690,-107.208794356788
41680,-108.160521206751
42670,-107.823334044779
43660,-104.863022427554
44650,-106.464965130628
45640,-106.602769525613
46630,-106.663176295393
47620,-108.042967507577
48610,-107.684765197642
49600,-107.757656386694
50590,-108.311169908272
51580,-107.83724116373
52570,-107.143651618575
53560,-101.009547114344
54550,-107.192659076907
55540,-108.223098423664
56530,-107.090883334348
57520,-107.123750518479
58510,-107.835454725886
59500,-107.890590277721
60490,-107.478337928537
61480,-107.448209212333
62470,-107.720157620719
63460,-108.009607557032
64450,-106.630942946083
65440,-106.779653101896
66430,-107.735656616647
67420,-106.940599062862
68410,-107.100271861804
69400,-107.013973749678
70390,-107.886839383875
71380,-108.844018225867
72370,-107.849165953339
73360,-107.495751496127
74350,-106.753617176218
75340,-108.204970969795
76330,-107.846620577734
77320,-106.77455090567
78310,-107.378157975551
79300,-108.530466959913
80290,-106.579454034387
81280,-107.674033505129
82270,-108.070748389706
83260,-106.569843819028
84250,-106.647317210626
85240,-107.083280496223
86230,-103.420397723536
87220,-88.5876817212161
88210,-90.4698637494446
89200,-99.1354585242205
90190,-97.7076106630274
91180,-100.766412678153
92170,-103.367708567212
93160,-104.000026101892
94150,-105.275744766579
95140,-105.205881420375
96130,-106.017050359339
97120,-106.568976838418
98110,-107.616063612763
99100,-107.058235198063
100090,-108.303872347822
101080,-107.964440062461
102070,-108.420941552504
103060,-107.215871271596
104050,-108.003713745207
105040,-108.130648292955
106030,-108.122889414849
107020,-108.671751710695
108010,-108.024627585383
109000,-107.749036544622
109990,-108.137448681358
110980,-107.941685760857
111970,-108.433992810869
112960,-108.850458519039
113950,-108.372981411716
114940,-108.426998364563
115930,-108.139899962809
116920,-108.589331842157
117910,-108.284515904537
118900,-108.94783957794
119890,-108.604555498413
120880,-108.429671583837
121870,-109.535377657099
122860,-109.134725859906
123850,-109.325225413494
124840,-108.024092074261
125830,-108.689756387501
126820,-108.119354128456
127810,-108.667517664496
128800,-108.108865460258
129790,-107.428273379701
130780,-103.083627597
131770,-106.335967179592
132760,-105.493127299043
133750,-106.579595042459
134740,-106.23028162869
135730,-107.03631660834
136720,-107.506462028747
137710,-107.755547161307
138700,-108.165221965641
139690,-108.52395364294
140680,-108.144678505511
141670,-108.741260746974
142660,-108.284370640831
143650,-108.955220245912
144640,-108.653229908299
145630,-109.621764281939
146620,-109.266258708333
147610,-109.544378103011
148600,-109.669742727392
149590,-109.66092855539
150580,-110.127683886946
151570,-109.628398037298
152560,-110.459210084745
153550,-109.421360252598
154540,-109.455890978738
155530,-109.606987847187
156520,-109.415867723916
157510,-109.897696739871
158500,-109.416403987715
159490,-109.853887807822
160480,-110.081801517008
161470,-109.188056329951
162460,-109.447507393801
163450,-110.843067496368
164440,-109.462830750422
165430,-109.75050446015
166420,-109.849460199091
167410,-109.424162341721
168400,-110.855611479091
169390,-109.754226985563
170380,-110.3370741593
171370,-110.132064618676
172360,-109.970378547817
173350,-105.813938058222
174340,-96.7909641533263
175330,-102.745155001955
176320,-102.622885743883
177310,-103.478405479432
178300,-106.528851915551
179290,-107.277328397165
180280,-107.386426040874
181270,-107.323423304312
182260,-108.403008126631
183250,-108.958787238007
184240,-108.342852064979
185230,-109.06922367665
186220,-108.860355003925
187210,-110.559129005688
188200,-110.996281575783
189190,-111.27148399436
190180,-110.745174191031
191170,-110.734211177954
192160,-110.555978688433
193150,-110.74725487162
194140,-111.196312038697
195130,-111.559776598029
196120,-111.179501729592
197110,-111.053393812884
198100,-111.991008030194
199090,-110.627313720737
200080,-111.859302841704
201070,-111.228040703688
202060,-111.623661919434
203050,-111.196876998479
204040,-111.694941376833
205030,-111.167770004448
206020,-110.831643587198
207010,-111.766020800335
208000,-111.88677441919
208990,-112.048421235721
209980,-112.348268909743
210970,-112.20208360332
211960,-111.91039060868
212950,-112.78368278248
213940,-112.419900326431
214930,-111.631101796474
215920,-112.007757092382
216910,-110.636053592702
217900,-104.474620665158
218890,-107.50754210992
219880,-107.304457817716
220870,-105.998121325448
221860,-108.005561095975
222850,-108.983883628436
223840,-110.477563056095
224830,-110.126220896861
225820,-110.621486598471
226810,-110.29313858378
227800,-110.803153630787
228790,-111.958294962574
229780,-111.628648252802
230770,-112.318715777408
231760,-110.931154278954
232750,-112.156091615184
233740,-112.331764110971
234730,-111.934303148988
235720,-112.62169343697
236710,-112.97064702045
237700,-112.906515881379
238690,-112.214081760982
239680,-112.254810722317
240670,-112.196960911749
241660,-113.51551534212
242650,-113.073181877292
243640,-113.47995835788
244630,-111.539302155602
245620,-112.266082453808
246610,-112.971394708258
247600,-112.331936094504
248590,-112.052755208927
249580,-112.614425053939
250570,-112.80257980666
251560,-112.448876675282
252550,-112.304203317823
253540,-112.187743514504
254530,-112.761906293698
255520,-113.248871609432
256510,-113.502219086366
257500,-113.128923368549
258490,-113.139119705545
259480,-112.532028681312
260470,-109.33682728982
261460,-105.402929123872
262450,-107.288085012902
263440,-108.97674031365
264430,-108.77545711527
265420,-109.133050079828
266410,-110.669932605746
267400,-110.907715063144
268390,-110.728829295679
269380,-111.583025167405
270370,-112.520579628105
271360,-112.73700565664
272350,-112.398743087338
273340,-113.185111862681
274330,-113.157057803543
275320,-113.202532669008
276310,-112.484979961329
277300,-113.032734826526
278290,-114.193233058256
279280,-113.339305499902
280270,-113.652799263332
281260,-114.45873177899
282250,-113.724131917528
283240,-113.829164918821
284230,-113.63210394824
285220,-113.8473322278
286210,-113.817861246841
287200,-114.220754604071
288190,-113.696277779329
289180,-113.402641406689
290170,-113.698486966846
291160,-113.895898923116
292150,-113.732668882317
293140,-114.398780123378
294130,-114.410585164362
295120,-114.021091103473
296110,-114.146383724328
297100,-114.471142056578
298090,-114.157519367403
299080,-114.353504965901
300070,-114.021621625476
301060,-114.172710328653
302050,-113.669168052416
303040,-113.30590500065
304030,-108.953157479926
305020,-107.460577606749
306010,-109.836541189112
307000,-110.32651333029
307990,-110.673055258332
308980,-109.266460149103
309970,-110.465398819086
310960,-110.558156503658
311950,-111.045172703022
312940,-112.018065836342
313930,-112.108796588128
314920,-112.352540124316
315910,-112.256367107673
316900,-112.65249889509
317890,-112.335780073354
318880,-112.297490374278
319870,-113.426059443582
320860,-113.225062490431
321850,-113.346685609972
322840,-113.092987144508
323830,-113.386982486116
324820,-113.400825590372
325810,-113.146656655822
326800,-113.043945529656
327790,-113.463350039351
328780,-114.485864125355
329770,-113.014749597574
330760,-113.675327550636
331750,-114.96481128038
332740,-113.587743830751
333730,-113.694506437246
334720,-113.660012460157
335710,-114.290864462434
336700,-113.447815488244
337690,-113.017029562177
338680,-113.879661983471
339670,-112.563344255427
340660,-112.506634974864
341650,-113.306298082975
342640,-114.375215672264
343630,-113.44789337107
344620,-113.160574633264
345610,-113.641510614991
346600,-112.794537693629
347590,-110.433589176277
348580,-108.920956466332
349570,-108.997065805311
350560,-111.11166465317
351550,-111.064865957636
352540,-109.992611030143
353530,-111.443129739021
354520,-112.536378403862
355510,-112.556591992277
356500,-112.149859683873
357490,-111.880311265766
358480,-112.131602926074
359470,-112.853483882154
360460,-113.899582846684
361450,-113.897543121393
362440,-113.183761608634
363430,-112.924141224244
364420,-112.874970422398
365410,-112.885063310922
366400,-112.343376056687
367390,-113.28964189366
368380,-113.457200366898
369370,-113.443291298324
370360,-113.351605395095
371350,-113.023133317609
372340,-113.031411307456
373330,-113.626289135529
374320,-113.46654986882
375310,-112.068821817546
376300,-113.506321011097
377290,-113.130874213027
378280,-113.236943231056
379270,-112.875682874369
380260,-112.68597110111
381250,-113.491024803949
382240,-112.053722886991
383230,-113.08162613766
384220,-112.810018454118
385210,-112.776905861753
386200,-111.345542366251
387190,-113.11713367979
388180,-113.416202802916
389170,-113.556996878335
390160,-112.620142029458
391150,-109.701241198703
392140,-108.365817326044
393130,-110.321296306772
394120,-110.54232764627
395110,-111.899229146848
396100,-110.886028515138
397090,-109.646444145837
398080,-109.958516050225
399070,-110.811716981854
400060,-111.15253610232
401050,-111.182626319305
402040,-111.812914938188
403030,-111.55008139094
404020,-111.942572112877
405010,-109.12657169278
406000,-111.656779039817
406990,-112.990600434443
407980,-109.910286056115
408970,-113.000898373504
409960,-112.686347414859
410950,-112.375670303453
411940,-113.257443234713
412930,-114.200693609443
413920,-113.346755351741
414910,-113.734269517454
415900,-113.57015107951
416890,-112.824659050385
417880,-113.366803054172
418870,-113.537262961952
419860,-113.027312579841
420850,-114.137039564946
421840,-114.892516961264
422830,-114.328926558249
423820,-114.223398263953
424810,-114.473793247065
425800,-114.017982459478
426790,-114.070628290651
427780,-114.501087879936
428770,-114.818055085698
429760,-113.800981983758
430750,-114.99387778249
431740,-114.811331436655
432730,-115.559478038227
433720,-112.472644172984
434710,-112.971140715579
435700,-113.904568068423
436690,-113.72786930744
437680,-113.041993408899
438670,-114.811710246121
439660,-113.74310638502
440650,-114.538472734799
441640,-114.386206404678
442630,-114.379497624445
443620,-115.917982537654
444610,-115.110756306622
445600,-115.513673972051
446590,-114.936644844851
447580,-115.247275010651
448570,-115.651499154519
449560,-115.873623527427
450550,-115.388347005029
451540,-116.333261098175
452530,-116.594451043015
453520,-116.671516502173
454510,-115.886470294082
455500,-117.559681603991
456490,-117.89708590533
457480,-116.570803872153
458470,-116.281332951986
459460,-116.583927344329
460450,-117.29024107378
461440,-117.360324345619
462430,-117.288112465763
463420,-116.688368991421
464410,-118.301957366373
465400,-117.950137274359
466390,-116.336271377907
467380,-118.553642636999
468370,-118.26073434967
469360,-117.18917527322
470350,-117.713107799862
471340,-117.303416425209
472330,-117.825438822408
473320,-118.405969065125
474310,-119.28473131099
475300,-117.608831964721
476290,-118.356305681751
477280,-116.540586178746
478270,-113.911793466999
479260,-113.732025631106
480250,-115.257536991931
481240,-115.108326128497
482230,-115.816217964569
483220,-115.683636839212
484210,-115.883335885728
485200,-114.990454763803
486190,-113.371937298431
487180,-115.999871800902
488170,-116.486317701198
489160,-116.960706323853
490150,-117.270189770486
491140,-117.35098123612
492130,-117.516677458348
493120,-117.51829435868
494110,-117.845010596748
495100,-117.441739826681
496090,-118.255126989653
497080,-118.246764106253
498070,-118.409630348007
499060,-118.217929436786
500050,-118.114620399945
501040,-118.809201152229
502030,-119.160041763798
503020,-118.63234948134
504010,-119.255591566117
505000,-118.548172460555
505990,-119.847129774223
506980,-119.556476408246
507970,-118.794458263516
508960,-118.775699667591
509950,-120.957711596947
510940,-120.045199425929
511930,-119.494891681346
512920,-120.343063665488
513910,-119.788686758389
514900,-120.173173207059
515890,-120.106303986816
516880,-120.559262323662
517870,-119.850525341053
518860,-120.839646902562
519850,-119.390204084657
520840,-117.780096251416
521830,-116.975268700996
522820,-117.511796242437
523810,-116.334033706879
524800,-117.746750962333
525790,-117.81906112604
526780,-118.207899172877
527770,-118.355930852289
528760,-118.05645063842
529750,-119.377593974328
530740,-119.00293731631
531730,-119.270135483582
532720,-119.196536640444
533710,-118.936839536437
534700,-119.512188276445
535690,-120.393868170633
536680,-120.494736526888
537670,-120.233390144318
538660,-120.239724701056
539650,-120.380477950688
540640,-120.818018625646
541630,-120.73613593128
