Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-110.444723623016
10990,-110.52631695683
11980,-109.396520876625
12970,-109.095080179446
13960,-109.62419746086
14950,-110.408980277122
15940,-109.978865366667
16930,-110.543124189968
17920,-109.970573475848
18910,-109.280777051962
19900,-110.917597205254
20890,-109.985570484014
21880,-109.73358409421
22870,-110.143133147727
23860,-109.67920659359
24850,-109.023960308101
25840,-109.910673720754
26830,-107.510848918498
27820,-107.675142573531
28810,-108.6406289323
29800,-107.734662923267
30790,-108.157803952846
31780,-106.76609792892
32770,-107.774374917257
33760,-108.38510847425
34750,-107.762727416187
35740,-108.944878797689
36730,-109.114491040878
37720,-107.598707744514
38710,-107.761878713692
39700,-108.760250433976
40690,-106.61021909455
41680,-109.628865381358
42670,-106.961238469726
43660,-108.273082736904
44650,-107.843902572342
45640,-107.338812429041
46630,-106.279971945831
47620,-107.795773012026
48610,-109.525647184438
49600,-107.715371257332
50590,-107.754875980927
51580,-106.521497633138
52570,-107.86148340702
53560,-106.773541727856
54550,-105.098845585749
55540,-106.453577686867
56530,-106.461644569327
57520,-103.772171780236
58510,-107.113986815814
59500,-107.333573807966
60490,-107.886716306227
61480,-104.231839608571
62470,-106.140016271466
63460,-106.752697888905
64450,-107.264040029081
65440,-107.191723039542
66430,-107.30576998698
67420,-106.751286925043
68410,-107.519301653047
69400,-107.743780440145
70390,-106.999627278202
71380,-108.48558126448
72370,-108.36703769674
73360,-107.731621317239
74350,-107.188851873729
75340,-107.264822677463
76330,-107.687435018358
77320,-107.888233713235
78310,-107.611343685339
79300,-106.685698214552
80290,-107.662404039302
81280,-108.184586652252
82270,-107.270767332751
83260,-106.917134876864
84250,-108.338991382836
85240,-108.573648225943
86230,-107.838678788463
87220,-107.407937696404
88210,-109.093262904497
89200,-105.886324159024
90190,-106.991646004284
91180,-106.279181485837
92170,-106.059850967505
93160,-108.27835996742
94150,-107.690138628663
95140,-106.785627778395
96130,-108.829151924151
97120,-108.113418965677
98110,-106.591097836241
99100,-107.28509418914
100090,-107.778994826537
101080,-106.70817795068
102070,-106.953287389816
103060,-106.117032567039
104050,-106.886049714791
105040,-107.251351323597
106030,-108.706088098657
107020,-107.994223105102
108010,-110.329680408814
109000,-109.110895089121
109990,-109.355185711129
110980,-107.669672205315
111970,-107.140462742528
112960,-107.810388834315
113950,-107.579291190301
114940,-106.575262766589
115930,-108.420606988752
116920,-108.894422482802
117910,-107.417373703215
118900,-108.71403260613
119890,-108.019180828452
120880,-108.481301409111
121870,-108.043822830037
122860,-107.817178777568
123850,-108.654587419392
124840,-108.408833170156
125830,-108.296325221175
126820,-107.874936756456
127810,-108.138383286166
128800,-108.42060659428
129790,-109.071108523142
130780,-108.584929317986
131770,-108.912076870943
132760,-108.026812228707
133750,-108.507907139967
134740,-109.616663099523
135730,-109.463489434402
136720,-107.56490226828
137710,-109.141937208618
138700,-109.456653445809
139690,-108.550028434458
140680,-109.184371302594
141670,-108.810929855039
142660,-109.941718878301
143650,-108.924339494838
144640,-107.422105373874
145630,-110.821403686379
146620,-110.022631401727
147610,-110.680060617176
148600,-109.054567946082
149590,-109.052753316834
150580,-107.96547412164
151570,-109.337269536146
152560,-110.343297873281
153550,-109.571252705596
154540,-110.10561049349
155530,-110.135229810411
156520,-110.320580059136
157510,-110.434201576221
158500,-108.837288318991
159490,-110.109443594822
160480,-110.301381435999
161470,-108.651265886575
162460,-109.593463851128
163450,-110.382520890616
164440,-110.816724026014
165430,-109.885850345041
166420,-109.470628036921
167410,-110.255318767052
168400,-109.867906589562
169390,-111.40938299531
170380,-111.427725623989
171370,-110.679047092483
172360,-110.118432487506
173350,-107.670132946245
174340,-109.98699261424
175330,-108.389782785484
176320,-108.909914725857
177310,-107.865756233066
178300,-109.135525269577
179290,-109.334956078852
180280,-109.415177248481
181270,-109.430208772251
182260,-110.601074694842
183250,-110.266440139646
184240,-110.185106705959
185230,-111.370446136321
186220,-110.39103446521
187210,-111.035756804387
188200,-110.522057675707
189190,-110.817821349816
190180,-110.53179972069
191170,-110.737103554118
192160,-111.316696221645
193150,-111.79236996676
194140,-111.579192085863
195130,-111.145435897677
196120,-111.98297984777
197110,-110.517879151944
198100,-110.66458361974
199090,-111.525418057559
200080,-111.789188601037
201070,-111.764141136739
202060,-111.494642934912
203050,-112.301263071727
204040,-110.613890819921
205030,-111.47380450803
206020,-111.599775332454
207010,-111.58792288611
208000,-112.462635479442
208990,-109.899082203489
209980,-111.655671483319
210970,-111.687723620841
211960,-111.272087593183
212950,-111.888543628138
213940,-110.310444229832
214930,-111.645567637598
215920,-112.617161990834
216910,-110.85578750424
217900,-112.039570086474
218890,-111.910545138245
219880,-112.343653133295
220870,-112.410240186525
221860,-111.647431778571
222850,-112.730237978417
223840,-112.595405267603
224830,-110.863878576182
225820,-111.831988188564
226810,-112.055994021163
227800,-112.437166199854
228790,-111.36623877668
229780,-111.820666495421
230770,-112.6115183396
231760,-112.962200504923
232750,-113.436498472783
233740,-113.140234681868
234730,-112.192779735528
235720,-112.922699761593
236710,-112.541685990986
237700,-112.799612307517
238690,-111.239088050725
239680,-113.464372339464
240670,-111.997443563865
241660,-112.281442472038
242650,-113.079331066435
243640,-112.601646902215
244630,-113.646549316925
245620,-111.932462993826
246610,-112.23439159043
247600,-111.654772057624
248590,-113.829820359245
249580,-113.35247844611
250570,-112.501281822245
251560,-111.657042908087
252550,-112.264961191718
253540,-113.727161683062
254530,-113.659698365367
255520,-112.74332939519
256510,-113.730706985699
257500,-113.777837645062
258490,-113.232138602531
259480,-112.66597898851
260470,-114.02265811022
261460,-114.567005346975
262450,-111.922571520593
263440,-113.122470953044
264430,-113.084352392171
265420,-112.383097634777
266410,-113.831394177988
267400,-113.316613443421
268390,-112.430201334345
269380,-112.736182621192
270370,-112.039574838869
271360,-112.573139043465
272350,-112.292501012877
273340,-112.786042461237
274330,-114.620634875578
275320,-113.284870406387
276310,-112.955466895626
277300,-112.841526339268
278290,-113.346187866603
279280,-113.423382254453
280270,-114.528586408668
281260,-113.156322383931
282250,-114.098997767021
283240,-113.520618431844
284230,-113.155930116118
285220,-113.824099376339
286210,-114.109240450549
287200,-113.094822343545
288190,-113.752948059756
289180,-113.259356870101
290170,-114.169977172457
291160,-114.26295693119
292150,-112.390136522457
293140,-113.481042161948
294130,-115.21437927146
295120,-113.779876937302
296110,-114.737335464081
297100,-114.471033153577
298090,-113.399439237569
299080,-114.093811009072
300070,-113.404794260897
301060,-113.705587526365
302050,-114.406680721406
303040,-114.495663521556
304030,-114.135163118465
305020,-113.618378724411
306010,-114.71832846278
307000,-114.580666703854
307990,-114.770843125386
308980,-113.6575439058
309970,-113.062362907369
310960,-114.142324073277
311950,-114.39042687995
312940,-115.323084880805
313930,-113.929694725585
314920,-113.165652774576
315910,-113.234780774588
316900,-113.600056588019
317890,-112.957211125601
318880,-113.95981200253
319870,-114.672330502104
320860,-113.905148393146
321850,-111.719842887992
322840,-114.013289481186
323830,-113.907443670458
324820,-113.44982932763
325810,-113.978577843874
326800,-114.460246094931
327790,-112.72455594429
328780,-113.478566949074
329770,-113.123732513022
330760,-112.79266682967
331750,-113.887189110247
332740,-112.923524094093
333730,-113.93102450514
334720,-114.632251702007
335710,-114.392206245069
336700,-114.538614069069
337690,-113.36186170086
338680,-114.499202015529
339670,-112.240907503354
340660,-114.839193064791
341650,-113.902955944891
342640,-114.378862076051
343630,-114.138760706535
344620,-114.88378795665
345610,-113.21127938502
346600,-112.972104258646
347590,-112.491648699918
348580,-114.522688418255
349570,-112.318464956267
350560,-112.673026157258
351550,-112.832245500949
352540,-113.867602247845
353530,-114.341929949545
354520,-114.365579022176
355510,-113.888120495352
356500,-112.920836089714
357490,-114.466746704116
358480,-113.23087388408
359470,-113.226625072611
360460,-111.786472063709
361450,-112.50238907985
362440,-112.899145310305
363430,-113.829901249871
364420,-112.450181164578
365410,-112.638926207055
366400,-114.872263128266
367390,-111.89523950954
368380,-114.020928240191
369370,-112.728478221698
370360,-113.118903652047
371350,-111.615724961085
372340,-112.939712030586
373330,-113.775153740742
374320,-112.526219229353
375310,-114.438224762834
376300,-112.168832875502
377290,-113.667047889763
378280,-112.721595751923
379270,-113.727867175593
380260,-113.178075292593
381250,-111.508489686739
382240,-113.193123607596
383230,-110.746406579038
384220,-113.282661628957
385210,-112.700009847796
386200,-111.30706364404
387190,-112.533412192896
388180,-111.444570459855
389170,-111.400699641101
390160,-110.867873865116
391150,-112.246586534347
392140,-113.116897841113
393130,-113.083523724165
394120,-110.804678154527
395110,-112.111359163777
396100,-112.775502944839
397090,-112.862708964823
398080,-113.129862925374
399070,-113.877998013054
400060,-112.627674770819
401050,-112.729105041187
402040,-113.666522699818
403030,-112.161905888588
404020,-112.963424394499
405010,-109.007808936535
406000,-113.706521963287
406990,-112.507376145186
407980,-110.507160451428
408970,-113.240242017831
409960,-112.867007430129
410950,-112.075069603675
411940,-113.123727106498
412930,-113.58711604701
413920,-114.8313979356
414910,-115.28664761003
415900,-113.559060034053
416890,-112.938159705699
417880,-114.15407402492
418870,-112.933332739853
419860,-113.66403294628
420850,-114.865633175924
421840,-114.674549870177
422830,-114.10622659627
423820,-113.416394317171
424810,-113.745016194609
425800,-115.09720659265
426790,-113.58061484318
427780,-113.738680248144
428770,-114.424987956324
429760,-115.795042880819
430750,-115.419365468426
431740,-114.787687908203
432730,-113.855563138024
433720,-113.433546740616
434710,-114.16583461794
435700,-115.692262693198
436690,-113.984520521498
437680,-113.911236731355
438670,-115.66540787966
439660,-115.389771703076
440650,-115.481349623593
441640,-114.850552643679
442630,-115.130098732702
443620,-116.03083599114
444610,-116.421679566918
445600,-115.390910656215
446590,-115.697610464711
447580,-116.222308509209
448570,-116.797142155394
449560,-115.200140194943
450550,-117.134110171887
451540,-116.408581608049
452530,-115.907387248347
453520,-117.384014875128
454510,-116.655771074823
455500,-116.932215295215
456490,-116.657779366768
457480,-117.889004667229
458470,-116.826878195561
459460,-116.512203289826
460450,-116.581615070033
461440,-117.331627546005
462430,-116.506255461077
463420,-117.233006240068
464410,-118.136663488592
465400,-117.209079493597
466390,-116.28412173841
467380,-118.940295401766
468370,-118.629204580146
469360,-117.313230418812
470350,-116.648118867971
471340,-118.719871198085
472330,-117.505037654782
473320,-118.898557953081
474310,-117.83047963055
475300,-118.143160234559
476290,-118.189219296243
477280,-117.50350568951
478270,-119.051026773755
479260,-118.378214812562
480250,-118.76503141144
481240,-118.278162354164
482230,-116.533895267298
483220,-117.754022951594
484210,-117.807518410077
485200,-120.425248996229
486190,-120.203103127452
487180,-119.893003503239
488170,-119.318991077793
489160,-118.324607526947
490150,-119.978333591532
491140,-119.395963026309
492130,-117.478969664061
493120,-118.462359086411
494110,-118.194291769438
495100,-118.877894516464
496090,-120.047868674085
497080,-118.647746220891
498070,-119.104242332516
499060,-118.708528646326
500050,-118.881985217329
501040,-121.560525187816
502030,-118.590492045288
503020,-119.506416458855
504010,-119.892419003273
505000,-120.855456719032
505990,-118.901215740341
506980,-120.258507006718
507970,-118.738977565659
508960,-119.308346619763
509950,-119.296426435248
510940,-119.53058229282
511930,-118.523378522929
512920,-119.239625074633
513910,-120.258928444121
514900,-120.033735365732
515890,-120.250905936106
516880,-119.941273649486
517870,-119.7437410724
518860,-119.746084435844
519850,-120.76650693143
520840,-121.281638858407
521830,-119.620977263432
522820,-121.020724524391
523810,-119.804966429242
524800,-119.443475857184
525790,-120.706833433377
526780,-120.148411851828
527770,-120.770899298658
528760,-121.706820400741
529750,-120.616681506266
530740,-120.210688913481
531730,-121.614479547519
532720,-120.240476360308
533710,-120.167345895666
534700,-121.09400303798
535690,-120.816976599954
536680,-119.272093509414
537670,-120.17914864109
538660,-121.029222127828
539650,-121.818888308523
540640,-120.489971832591
541630,-120.850814688102
