Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-110.406409627257
10990,-110.699669859953
11980,-110.610911093738
12970,-110.752922641588
13960,-110.783716399003
14950,-109.878996411098
15940,-109.690820586536
16930,-109.872717036557
17920,-105.808355552746
18910,-110.33770499336
19900,-110.128160730445
20890,-110.112962336802
21880,-109.406797257571
22870,-109.301408269568
23860,-109.736428262819
24850,-109.622400749533
25840,-109.635606215397
26830,-109.231301318031
27820,-109.332270364356
28810,-108.75562587112
29800,-109.639530693218
30790,-108.524169931239
31780,-108.672936176128
32770,-107.813431071983
33760,-108.384036003513
34750,-108.68605463358
35740,-109.663706318363
36730,-107.062925515459
37720,-106.981979201947
38710,-108.739664550462
39700,-107.111773104087
40690,-108.814949621921
41680,-106.648340152242
42670,-107.653156360247
43660,-104.981963443308
44650,-106.168454397112
45640,-107.704111182199
46630,-101.867446593716
47620,-106.797479127697
48610,-108.19393984808
49600,-107.680923091562
50590,-107.123331983148
51580,-107.610014749073
52570,-106.791070430862
53560,-106.5460097165
54550,-106.580003325102
55540,-107.428921178877
56530,-107.157848027126
57520,-106.922822981179
58510,-108.294734807251
59500,-107.197010848238
60490,-107.604241744159
61480,-106.927028739602
62470,-106.170194694311
63460,-107.610403881154
64450,-107.600297529554
65440,-107.529316225111
66430,-107.162308308058
67420,-108.317999369561
68410,-104.715578124115
69400,-107.733663218115
70390,-106.676241554418
71380,-107.688356258179
72370,-107.814040048914
73360,-107.132757822737
74350,-107.074837726665
75340,-107.86862888791
76330,-107.25342268029
77320,-107.777441856058
78310,-108.319058761108
79300,-107.966479004778
80290,-107.302654273802
81280,-107.738089687047
82270,-106.333923891607
83260,-107.032549698738
84250,-105.393328784573
85240,-107.906178860038
86230,-100.302633606661
87220,-92.5746660506549
88210,-90.0664649519582
89200,-97.2656114622169
90190,-101.744273369467
91180,-103.638688526066
92170,-102.479858942532
93160,-105.916324788497
94150,-107.068478080293
95140,-106.538610260611
96130,-106.163334476891
97120,-107.251014959272
98110,-105.852576849467
99100,-107.427636063717
100090,-108.69785687042
101080,-108.782316714979
102070,-107.590407875441
103060,-107.846796413525
104050,-106.84969780209
105040,-108.152629416155
106030,-108.675816088614
107020,-107.820256020259
108010,-108.047550667523
109000,-108.489412309761
109990,-107.976980734501
110980,-108.83354048791
111970,-107.142493719004
112960,-108.209913905224
113950,-107.657331287846
114940,-107.133872951943
115930,-108.869681136465
116920,-109.125161196913
117910,-109.236430594246
118900,-107.687717403338
119890,-108.657757999043
120880,-108.145654471541
121870,-108.284441070266
122860,-108.532035468793
123850,-107.294009857038
124840,-108.873556661937
125830,-107.928750856972
126820,-109.262647673487
127810,-108.594331454313
128800,-110.408330904829
129790,-106.992058091122
130780,-106.204663317991
131770,-104.150228252016
132760,-106.005141913839
133750,-107.836596051864
134740,-107.817845485288
135730,-107.364188759717
136720,-108.066811774822
137710,-107.908112502471
138700,-108.790974638405
139690,-108.367604770572
140680,-109.23287763211
141670,-109.602085127084
142660,-109.70173499758
143650,-109.258243045958
144640,-110.201537797443
145630,-108.103795290899
146620,-109.711792273212
147610,-109.600367192751
148600,-109.436821771993
149590,-108.507647906209
150580,-109.77981762053
151570,-108.834000308045
152560,-110.606364416588
153550,-109.453685990335
154540,-109.52473305972
155530,-109.164865408725
156520,-109.755169955883
157510,-109.54363298159
158500,-109.667712706928
159490,-110.644383657469
160480,-110.190231904212
161470,-110.18709002503
162460,-109.085840940114
163450,-110.896432855281
164440,-110.427796575873
165430,-110.210265204529
166420,-110.800642719903
167410,-110.001592028895
168400,-109.364801032317
169390,-110.124945610781
170380,-111.071427130909
171370,-109.872884433044
172360,-110.038810428915
173350,-99.3419819222416
174340,-101.248106120371
175330,-105.653261361905
176320,-105.580088621671
177310,-107.204265600011
178300,-107.331923328543
179290,-106.855705906885
180280,-108.089241356665
181270,-107.872936251421
182260,-107.955794984698
183250,-109.104253886759
184240,-110.809093258867
185230,-111.03543828926
186220,-110.036375409315
187210,-110.012073342938
188200,-111.507855485873
189190,-110.797110306325
190180,-110.415058450804
191170,-110.881220410031
192160,-110.372897494953
193150,-112.300405950407
194140,-110.854428283092
195130,-109.800571058597
196120,-111.380463801272
197110,-110.387791546003
198100,-111.443214101982
199090,-111.182102808616
200080,-110.906126624353
201070,-110.839577634948
202060,-111.654594436646
203050,-111.136197754324
204040,-111.966979391272
205030,-112.936799798472
206020,-111.747310150624
207010,-111.566611291503
208000,-111.656708374616
208990,-111.198751402922
209980,-111.396738464907
210970,-111.427226718731
211960,-111.085558816219
212950,-111.910766437028
213940,-111.519682759856
214930,-112.197960066435
215920,-111.936149622731
216910,-107.661078387243
217900,-109.638914181793
218890,-110.432979368449
219880,-108.618808890651
220870,-109.304886712968
221860,-110.166663385984
222850,-110.245274852687
223840,-110.335599548381
224830,-110.783000160271
225820,-111.035425682501
226810,-113.6459510875
227800,-112.215566784234
228790,-111.433221887887
229780,-111.830304934487
230770,-113.289491269016
231760,-111.525140171643
232750,-111.987855925319
233740,-112.246254129732
234730,-112.300822882753
235720,-113.035328990214
236710,-112.635335782524
237700,-112.779680613701
238690,-112.154056717841
239680,-114.211249086104
240670,-112.37579107483
241660,-112.530906037528
242650,-113.465274257243
243640,-113.155353184723
244630,-111.745637435527
245620,-112.718774371875
246610,-112.722860998877
247600,-112.493748136409
248590,-113.532204343286
249580,-111.849496289298
250570,-112.954613624092
251560,-112.396682969164
252550,-111.785755575657
253540,-113.108933565126
254530,-112.658017226711
255520,-112.266489203331
256510,-113.295140265606
257500,-113.453327531739
258490,-114.068908365473
259480,-112.672978813196
260470,-104.031763986313
261460,-110.620710957317
262450,-111.679075690991
263440,-111.618026762649
264430,-111.871682537031
265420,-113.049059305942
266410,-112.669852011005
267400,-112.31976456004
268390,-111.48791551015
269380,-112.182027274893
270370,-113.736762405719
271360,-112.162128383308
272350,-111.418021135468
273340,-113.704183470486
274330,-113.452366665239
275320,-113.200275063866
276310,-113.615710005428
277300,-112.834683733009
278290,-114.203550412825
279280,-113.446411122
280270,-113.986133022415
281260,-113.056458531939
282250,-113.577827474839
283240,-113.958974931164
284230,-113.803682157807
285220,-113.714249868801
286210,-113.336464686932
287200,-112.517011144316
288190,-112.909278978347
289180,-112.908116829799
290170,-114.795393606738
291160,-114.348014643735
292150,-113.859159169484
293140,-113.642953671692
294130,-114.268459233407
295120,-114.100053871159
296110,-114.374900054531
297100,-113.044576090348
298090,-114.593659622407
299080,-114.90426406152
300070,-112.685775564973
301060,-113.882956984423
302050,-114.511673402767
303040,-113.176702843196
304030,-108.584700391642
305020,-113.275413431012
306010,-114.526452612298
307000,-112.935334083561
307990,-112.643420439927
308980,-113.160610644555
309970,-113.161847058691
310960,-113.512564773322
311950,-112.191732673586
312940,-113.071518766853
313930,-113.130330711564
314920,-113.035256728166
315910,-114.013633723957
316900,-113.12971020477
317890,-113.345703868026
318880,-113.239724138876
319870,-113.477200759508
320860,-113.808272514969
321850,-114.132979448412
322840,-113.530591892669
323830,-113.412488190435
324820,-113.643331918148
325810,-114.140538244983
326800,-113.348801808448
327790,-113.981164749464
328780,-113.360103849922
329770,-112.907101929239
330760,-113.761252646761
331750,-113.247887760072
332740,-114.207395446716
333730,-113.449752191422
334720,-113.377878352974
335710,-114.120480058122
336700,-114.050967986696
337690,-112.901369743969
338680,-115.09025299219
339670,-114.018458198245
340660,-113.528736667265
341650,-114.861951067063
342640,-114.785912294476
343630,-113.860051034426
344620,-113.698351112746
345610,-113.845618461839
346600,-112.441055961084
347590,-114.001213864713
348580,-113.292716345851
349570,-112.51547338143
350560,-112.658446808601
351550,-113.092677825012
352540,-114.155404408181
353530,-113.351959727633
354520,-112.997871376365
355510,-111.944588870127
356500,-113.463290991304
357490,-113.165324246397
358480,-112.167931807866
359470,-112.892698475019
360460,-114.288787769746
361450,-112.725266507845
362440,-112.686684607252
363430,-112.853516281562
364420,-112.092628277815
365410,-111.73505866137
366400,-112.397677822236
367390,-112.869468667313
368380,-112.30146482512
369370,-113.331222792491
370360,-112.761760482058
371350,-112.600751615882
372340,-113.567586382254
373330,-112.108851855935
374320,-112.303034514408
375310,-113.6708418012
376300,-113.234535200475
377290,-113.243068992565
378280,-111.505495349987
379270,-112.115808947995
380260,-112.513077571964
381250,-113.69072229445
382240,-111.908706058317
383230,-112.581143497649
384220,-113.511065110621
385210,-112.697376977771
386200,-112.052666624341
387190,-112.771112466375
388180,-112.656013468809
389170,-113.16143860536
390160,-112.55997426024
391150,-112.767340273344
392140,-111.480025819468
393130,-113.571579328796
394120,-111.636247341735
395110,-111.771495460111
396100,-112.692500802835
397090,-111.329589407434
398080,-112.229383335085
399070,-113.27045625324
400060,-112.986316918652
401050,-112.713727897212
402040,-112.998429130695
403030,-112.217817870624
404020,-112.634143652333
405010,-111.145301016347
406000,-112.72417251246
406990,-112.883039400624
407980,-109.865251313712
408970,-113.266321097909
409960,-112.28561848045
410950,-112.970769408229
411940,-112.543856308457
412930,-114.526168477758
413920,-113.830091758263
414910,-113.575201581169
415900,-114.09686180119
416890,-112.904320319783
417880,-113.950167032258
418870,-114.31965611278
419860,-114.312635121506
420850,-114.191493688268
421840,-114.058676359708
422830,-113.995079457871
423820,-114.099856251241
424810,-113.195373835834
425800,-113.384158150418
426790,-113.993223578171
427780,-113.113107674009
428770,-114.749469363139
429760,-114.905470861496
430750,-115.538646782944
431740,-114.491975259133
432730,-115.885472323185
433720,-114.126951715989
434710,-114.175007856621
435700,-114.977697172861
436690,-115.505119451817
437680,-113.558531020781
438670,-115.740798145879
439660,-115.023771022555
440650,-116.526212603143
441640,-115.786700108853
442630,-116.090002232242
443620,-116.123295142595
444610,-116.347205839685
445600,-115.368395197085
446590,-115.441611410869
447580,-116.072569704944
448570,-116.396637879933
449560,-117.075968744249
450550,-116.343912825979
451540,-114.917509023005
452530,-116.15566352402
453520,-116.916599656802
454510,-116.672077154523
455500,-117.061452458631
456490,-116.462651239505
457480,-116.304121565952
458470,-116.558756697547
459460,-117.462202023697
460450,-117.49034828708
461440,-117.300750555516
462430,-117.330289452694
463420,-117.237239063159
464410,-119.029227381607
465400,-116.428041436965
466390,-117.93672206348
467380,-118.21488131758
468370,-117.799685111982
469360,-117.496340584474
470350,-119.307129623799
471340,-118.516048706229
472330,-117.536482345335
473320,-118.569519267182
474310,-118.39292326598
475300,-117.678194165274
476290,-117.865632765731
477280,-118.124396625622
478270,-118.074011356108
479260,-118.320578836214
480250,-117.969547176145
481240,-117.794617618685
482230,-118.170375394308
483220,-118.982091738325
484210,-117.979680150492
485200,-118.699286629842
486190,-118.422844917104
487180,-118.524831222531
488170,-119.010350980666
489160,-118.801067697212
490150,-118.484167492977
491140,-118.830921677064
492130,-117.492807091289
493120,-118.140757710559
494110,-118.789637921598
495100,-120.46784828753
496090,-118.63681316187
497080,-119.528459073469
498070,-118.740871545095
499060,-118.662402916281
500050,-119.386514216818
501040,-119.002546409948
502030,-120.898161956999
503020,-118.928721199531
504010,-119.411909550601
505000,-119.504705058995
505990,-119.363667382976
506980,-119.834532169603
507970,-121.095710920658
508960,-118.996333058812
509950,-119.257872214083
510940,-120.005021695518
511930,-120.497916340456
512920,-120.531599127439
513910,-118.96620027919
514900,-119.917240911403
515890,-119.761733592686
516880,-121.1065475301
517870,-119.812960801404
518860,-119.776902826147
519850,-119.886842837263
520840,-118.251412711527
521830,-120.010431656157
522820,-118.745643213677
523810,-120.330504709691
524800,-119.768270525233
525790,-120.848657185624
526780,-119.527734940298
527770,-119.970533071567
528760,-120.530910890683
529750,-120.612310256704
530740,-120.840709911588
531730,-119.499412875959
532720,-120.372941540593
533710,-121.453549030365
534700,-120.670439617451
535690,-120.33963775527
536680,-120.747311803303
537670,-121.837111404492
538660,-119.755895398154
539650,-120.159698800955
540640,-121.106351873895
541630,-120.071108223634
