Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-111.383002182378
10990,-110.239650341732
11980,-111.10568761958
12970,-110.971540976645
13960,-110.138446731685
14950,-110.517955447851
15940,-110.654016658486
16930,-110.355616501591
17920,-110.279840280637
18910,-110.185671167645
19900,-109.92458045221
20890,-109.75590947141
21880,-110.086941296814
22870,-109.504385820503
23860,-109.665245796179
24850,-108.14190575749
25840,-109.101617792993
26830,-109.44261210044
27820,-108.892702938908
28810,-107.829285224272
29800,-107.779650318331
30790,-108.909105269322
31780,-107.443505463509
32770,-108.756995757165
33760,-108.596063612956
34750,-108.237545546219
35740,-108.522606938927
36730,-108.607939348448
37720,-107.670494375886
38710,-108.773591176534
39700,-108.066847964201
40690,-107.853912782442
41680,-107.865791976234
42670,-107.938698860294
43660,-107.163416577198
44650,-107.533911619391
45640,-107.380022434819
46630,-108.253155917793
47620,-108.00046869307
48610,-107.588551839516
49600,-107.526983353411
50590,-106.60519072185
51580,-107.403962992177
52570,-107.922435771158
53560,-106.087786830125
54550,-107.111008512612
55540,-107.332718451747
56530,-108.135191735826
57520,-106.403731080929
58510,-107.504027225835
59500,-107.880084641767
60490,-107.001887219146
61480,-107.681324983191
62470,-107.129184976399
63460,-107.404568280678
64450,-107.593070801112
65440,-107.275257095365
66430,-108.340925688458
67420,-106.563880655651
68410,-107.137184840516
69400,-106.653613338383
70390,-108.043334250617
71380,-106.891101255003
72370,-108.110512276617
73360,-107.436538179143
74350,-107.843121594399
75340,-107.574999676281
76330,-107.229396708926
77320,-107.171684460654
78310,-107.659590781198
79300,-107.713288859918
80290,-107.662469791652
81280,-107.694792838757
82270,-107.537623936007
83260,-107.036335346811
84250,-107.798276843179
85240,-107.468381097721
86230,-106.924957818821
87220,-107.529254022753
88210,-106.854663721302
89200,-106.859412781431
90190,-107.011450128106
91180,-107.16173005179
92170,-107.130731284066
93160,-107.701171921554
94150,-107.553745002336
95140,-107.907727954564
96130,-107.301601101776
97120,-107.496228527711
98110,-108.002126783066
99100,-108.034913162094
100090,-108.304060160089
101080,-107.595836271464
102070,-106.986942850499
103060,-108.768124132545
104050,-107.229553938456
105040,-107.631489859663
106030,-108.049868697265
107020,-108.190562933569
108010,-107.587970994456
109000,-107.474278537704
109990,-108.917037699531
110980,-108.28623462812
111970,-107.168848563636
112960,-106.705688129718
113950,-108.072835694296
114940,-108.501698039877
115930,-108.567529992479
116920,-108.13679096888
117910,-108.469402497224
118900,-108.948791087532
119890,-109.160478357202
120880,-108.58231182582
121870,-107.605212234901
122860,-109.098113379959
123850,-108.557956067156
124840,-108.238825050839
125830,-108.32215378753
126820,-108.586942767829
127810,-107.916754144542
128800,-108.62663570553
129790,-108.069086765685
130780,-108.74708739596
131770,-108.009684212715
132760,-108.883858627956
133750,-108.935383541658
134740,-108.330754069414
135730,-108.535302908091
136720,-109.617142678533
137710,-108.669222396831
138700,-109.342271738729
139690,-109.685598606743
140680,-109.087970828228
141670,-109.16524302966
142660,-108.536602919601
143650,-109.754189273595
144640,-108.970438215079
145630,-109.900546266888
146620,-108.520038238759
147610,-109.62608122256
148600,-108.471556028525
149590,-109.317710275245
150580,-109.574076836547
151570,-108.712441231132
152560,-110.042989161442
153550,-110.193052436645
154540,-108.935996341025
155530,-109.855069151016
156520,-109.003537499415
157510,-109.691267162615
158500,-109.595628769802
159490,-109.456306073587
160480,-110.233314828562
161470,-109.883685864065
162460,-109.472432461927
163450,-109.207602154155
164440,-109.384081932462
165430,-110.145506369844
166420,-110.213120841483
167410,-110.096953809112
168400,-109.67610352632
169390,-110.130809294918
170380,-110.314127047583
171370,-110.557073403386
172360,-110.293753230458
173350,-108.728190008484
174340,-108.091870936329
175330,-109.262918044759
176320,-109.276673126358
177310,-109.588591230418
178300,-109.541420312995
179290,-110.093305163549
180280,-110.569615337724
181270,-109.436577517045
182260,-109.755851301102
183250,-110.625449730781
184240,-109.608082378287
185230,-110.148180608957
186220,-111.024159383567
187210,-111.229753696251
188200,-110.633260535416
189190,-109.406237397931
190180,-111.670549666069
191170,-111.371364627311
192160,-111.861203737878
193150,-110.831689655757
194140,-112.039801101225
195130,-110.952266900435
196120,-111.625589025731
197110,-111.722296218204
198100,-111.050626216978
199090,-111.233616810137
200080,-110.97486757634
201070,-111.098415238351
202060,-111.808544526244
203050,-112.062888613859
204040,-111.508452572828
205030,-111.397118945036
206020,-112.214537431805
207010,-111.610740029399
208000,-112.026157223807
208990,-111.47772381507
209980,-111.284641113083
210970,-112.070254288257
211960,-111.15136964954
212950,-110.959716559509
213940,-112.289968314942
214930,-111.385379670524
215920,-111.899458679486
216910,-111.456806037531
217900,-111.702312426577
218890,-111.388384915773
219880,-111.582085038939
220870,-111.529221175039
221860,-112.05571129012
222850,-111.032533329258
223840,-111.640057530517
224830,-111.396493056402
225820,-112.41554333902
226810,-112.251956306942
227800,-111.806034918313
228790,-112.352045138863
229780,-111.891663316281
230770,-112.003767342524
231760,-112.790648349411
232750,-111.999033406352
233740,-111.943054384295
234730,-112.672394358929
235720,-112.161331608139
236710,-112.203779388877
237700,-113.251327931665
238690,-113.291664541681
239680,-113.106374837008
240670,-112.465584425925
241660,-112.076672774262
242650,-112.818789337534
243640,-112.125848646821
244630,-112.820455735201
245620,-112.184674905226
246610,-112.69968503348
247600,-112.562785261286
248590,-112.405960609461
249580,-112.370054096406
250570,-111.870784105115
251560,-112.110489504547
252550,-111.430819528221
253540,-112.502571623984
254530,-113.323272493307
255520,-113.798921734418
256510,-112.835676942706
257500,-112.627728079012
258490,-112.764615264812
259480,-112.851240633083
260470,-112.022931770512
261460,-112.721680288546
262450,-112.716268720186
263440,-113.052345338037
264430,-113.12952383088
265420,-112.392034892926
266410,-113.620801730354
267400,-112.943018916146
268390,-113.658557907842
269380,-112.715752247966
270370,-112.752438345438
271360,-113.35805277755
272350,-112.722603338738
273340,-112.96428651539
274330,-113.10112926108
275320,-112.961136383221
276310,-113.673985003144
277300,-113.385743116629
278290,-114.069089706703
279280,-113.543057458769
280270,-113.433201164193
281260,-113.63446029896
282250,-114.196044264728
283240,-113.816197809652
284230,-113.797626129503
285220,-112.925907949339
286210,-113.249309690054
287200,-114.206501246
288190,-113.312785736914
289180,-114.766680826087
290170,-114.118231335416
291160,-114.741702416127
292150,-113.380573909442
293140,-113.731791544371
294130,-113.26778579776
295120,-113.830533668262
296110,-112.980725840536
297100,-113.84105106867
298090,-113.822158674521
299080,-113.24771884066
300070,-114.106828644428
301060,-112.584123626629
302050,-113.547763381799
303040,-112.547357971558
304030,-113.288015898071
305020,-112.995061168575
306010,-112.956060840918
307000,-112.846487645148
307990,-112.777079752912
308980,-113.645768264281
309970,-112.768152658421
310960,-113.242475045983
311950,-113.610308638797
312940,-113.185349832243
313930,-112.913901914411
314920,-112.060612707231
315910,-113.230058602706
316900,-112.824662912665
317890,-112.049574255266
318880,-112.544483307471
319870,-112.79871038071
320860,-113.839163988746
321850,-112.44460177924
322840,-113.874577415635
323830,-113.159894441425
324820,-113.601841154727
325810,-113.475758754158
326800,-113.940536474299
327790,-112.57037936613
328780,-112.811339583095
329770,-112.837231548944
330760,-112.928709715452
331750,-111.979931198889
332740,-113.337887332858
333730,-113.71281710573
334720,-112.215119695445
335710,-113.069847751423
336700,-112.744861658921
337690,-112.599479785036
338680,-113.391854792913
339670,-112.313594017611
340660,-112.637098207745
341650,-113.068788067229
342640,-112.465260616093
343630,-112.602159810225
344620,-112.948366963887
345610,-113.540894487326
346600,-112.808032521067
347590,-113.085179702316
348580,-112.687083302813
349570,-112.187114637157
350560,-112.671909870552
351550,-112.20212722814
352540,-112.604193854461
353530,-112.89223196789
354520,-113.859484832535
355510,-113.973749874064
356500,-112.055042873197
357490,-113.119449667688
358480,-112.840982547632
359470,-112.687279786569
360460,-112.743814372353
361450,-113.099812509207
362440,-111.979534825003
363430,-112.012108332386
364420,-112.479643976067
365410,-113.064483831422
366400,-113.672669257855
367390,-112.920992351434
368380,-113.257055246461
369370,-113.006746212678
370360,-112.348000795646
371350,-112.426349482464
372340,-112.475754770611
373330,-112.775763014014
374320,-111.509329808284
375310,-111.025427777541
376300,-112.312909412879
377290,-111.462749046046
378280,-111.558578029442
379270,-111.206584405305
380260,-111.725911231428
381250,-111.582363659174
382240,-110.516378070351
383230,-110.971524365124
384220,-111.716992024647
385210,-111.781821631747
386200,-110.481177463525
387190,-111.610901320868
388180,-111.961194610485
389170,-110.591844708477
390160,-112.021501846431
391150,-111.024993944988
392140,-112.071061469277
393130,-111.563568959068
394120,-111.578718117438
395110,-111.452451970646
396100,-111.647832511165
397090,-111.525443979765
398080,-113.077650597302
399070,-111.416368946532
400060,-112.357511324286
401050,-111.457383808126
402040,-111.997051642953
403030,-113.002958234589
404020,-111.859738831815
405010,-111.158510980811
406000,-112.379718486859
406990,-112.370916049107
407980,-108.580501027029
408970,-112.94565584511
409960,-112.47585835584
410950,-112.676022280652
411940,-112.152030022373
412930,-112.799142818219
413920,-112.731753502562
414910,-111.78840619225
415900,-113.283623787241
416890,-113.016938840744
417880,-113.438056922165
418870,-113.884708067434
419860,-112.128967718542
420850,-111.913771003955
421840,-112.398746918644
422830,-112.555772835225
423820,-112.561626273165
424810,-111.9510859616
425800,-112.741952820849
426790,-113.154342447426
427780,-112.423739365605
428770,-112.457036646341
429760,-113.015531996423
430750,-113.523741574141
431740,-113.269896226379
432730,-113.189835396947
433720,-112.656305041208
434710,-113.181443329622
435700,-112.555473140889
436690,-113.221687850769
437680,-112.159957721028
438670,-113.713140760018
439660,-112.627848199441
440650,-113.675129298207
441640,-113.35054377336
442630,-114.163954487901
443620,-114.174906129296
444610,-114.582845480852
445600,-114.49394084667
446590,-115.216576490129
447580,-114.580597150552
448570,-114.954143895682
449560,-114.615627276248
450550,-113.86259256791
451540,-114.436462541204
452530,-114.559268530275
453520,-115.257756154769
454510,-114.915159819267
455500,-114.932180666708
456490,-115.10115792376
457480,-114.034699052883
458470,-114.867977348455
459460,-115.003806739026
460450,-114.632549178172
461440,-114.918470281612
462430,-113.498008235464
463420,-114.937189272201
464410,-114.779935620261
465400,-114.689731528898
466390,-113.323381398706
467380,-114.493750268814
468370,-114.912065989975
469360,-114.722163828646
470350,-114.016766908435
471340,-115.770962142938
472330,-114.902606185978
473320,-114.844684115426
474310,-114.889486928111
475300,-114.797375654228
476290,-115.06547811201
477280,-114.763199804335
478270,-114.70241100204
479260,-115.996097125341
480250,-116.12974456009
481240,-115.716831461474
482230,-116.293391413072
483220,-115.96567152199
484210,-115.876760778164
485200,-115.86516402248
486190,-115.952230023945
487180,-116.355441461278
488170,-116.296791630192
489160,-116.980636627517
490150,-116.65117035324
491140,-116.98418135598
492130,-116.7555373659
493120,-116.857229882358
494110,-115.573151541341
495100,-117.007722390298
496090,-116.102352561752
497080,-116.539179572431
498070,-116.372841263766
499060,-116.042486627937
500050,-116.125288876866
501040,-116.372271986005
502030,-116.165346066364
503020,-115.887027054007
504010,-115.553346017656
505000,-116.247283101328
505990,-115.095637356811
506980,-115.443092401498
507970,-117.029577834851
508960,-115.781592804547
509950,-116.433622648691
510940,-117.638419142599
511930,-117.012494611875
512920,-117.300611461044
513910,-116.981706432168
514900,-117.209452961633
515890,-116.981378844463
516880,-116.682375088917
517870,-117.152748137655
518860,-116.607929784342
519850,-117.012388220221
520840,-116.369086658821
521830,-117.693355666439
522820,-117.844444686615
523810,-117.807634778327
524800,-117.297416929702
525790,-117.334983123102
526780,-118.551125913839
527770,-117.09841186542
528760,-118.838222137226
529750,-117.779958764347
530740,-118.06047821259
531730,-117.69191140557
532720,-118.739187479726
533710,-119.350233007287
534700,-118.761800514764
535690,-118.552652555797
536680,-118.066192861195
537670,-118.809214175953
538660,-118.599176097129
539650,-117.983900072512
540640,-118.934289420997
541630,-118.687189085314
