Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-111.103159419173
10990,-110.358995299662
11980,-110.435842612753
12970,-110.275131860666
13960,-108.949614119592
14950,-111.366289034527
15940,-110.267673929662
16930,-110.454313560199
17920,-110.316458088789
18910,-109.716472085805
19900,-110.348449387877
20890,-109.335830760857
21880,-109.326802406211
22870,-109.844552106821
23860,-110.130823386613
24850,-109.69678858225
25840,-108.051103403624
26830,-108.726663490087
27820,-109.365201634474
28810,-105.019511699938
29800,-108.790448214952
30790,-108.536205479277
31780,-107.902080437314
32770,-108.516603958782
33760,-107.956575657637
34750,-107.945944273562
35740,-107.923681453904
36730,-107.878798138642
37720,-108.34449397674
38710,-107.43945951213
39700,-108.217105598217
40690,-108.715973040671
41680,-107.851376074766
42670,-107.626990950783
43660,-107.440646294168
44650,-107.79676086604
45640,-107.803788586068
46630,-108.151828238629
47620,-108.399127876944
48610,-107.602452829536
49600,-106.65168938049
50590,-108.344284896916
51580,-108.036775252668
52570,-107.559626076374
53560,-107.246994802968
54550,-107.193284551669
55540,-107.639423737411
56530,-108.211375368748
57520,-106.880674421763
58510,-107.56739141766
59500,-107.125180319902
60490,-107.393660928479
61480,-105.998712696114
62470,-108.098523704336
63460,-107.313508020132
64450,-107.933180418722
65440,-107.283243156657
66430,-107.732639155088
67420,-107.441015943029
68410,-106.651685918044
69400,-107.119081671407
70390,-107.041586089311
71380,-106.848375572201
72370,-107.932688991596
73360,-106.834566264845
74350,-107.043284843094
75340,-107.04314496991
76330,-106.200869394645
77320,-107.650237681871
78310,-107.734543988282
79300,-107.239241250569
80290,-107.412587476051
81280,-107.39485582677
82270,-108.239875177172
83260,-107.500159171109
84250,-107.336586045133
85240,-107.852237183252
86230,-107.942062470733
87220,-107.891503243775
88210,-108.038494940392
89200,-105.885508616924
90190,-107.451104512633
91180,-107.618649231417
92170,-106.590544184927
93160,-108.046480978672
94150,-108.025450549364
95140,-107.959215639364
96130,-109.21312581173
97120,-107.930675994568
98110,-108.887675238081
99100,-107.67289683484
100090,-107.412027788744
101080,-108.860719064131
102070,-107.739343321645
103060,-107.985457090173
104050,-108.190426624953
105040,-107.152167981961
106030,-108.262689235112
107020,-107.592728665764
108010,-107.944836432922
109000,-108.379282372205
109990,-107.488617541632
110980,-107.904368984661
111970,-108.784045123634
112960,-108.402251683456
113950,-108.347545655645
114940,-108.210475012799
115930,-108.256454000554
116920,-108.271921583157
117910,-108.482375687412
118900,-107.613905015147
119890,-108.274920709407
120880,-108.407321364779
121870,-107.827670405313
122860,-108.101898934311
123850,-108.736471959338
124840,-108.528183881849
125830,-108.921845870368
126820,-108.150664475736
127810,-108.867724737508
128800,-108.985746857796
129790,-108.935048227856
130780,-108.369169898949
131770,-109.003372426197
132760,-108.551599455523
133750,-108.188451750962
134740,-107.943103536692
135730,-109.193625736276
136720,-108.304134092405
137710,-108.974184207914
138700,-109.23528087761
139690,-108.281687678545
140680,-110.015859852578
141670,-109.197847402662
142660,-110.049160286145
143650,-109.642762562918
144640,-108.925716360714
145630,-109.209780309918
146620,-108.003477633004
147610,-108.59020782559
148600,-109.865977852656
149590,-109.229091099456
150580,-108.982273070781
151570,-109.581261564387
152560,-109.728141158443
153550,-109.788885152659
154540,-109.644651914854
155530,-109.896775723618
156520,-109.626435222611
157510,-110.054212136344
158500,-109.84447957047
159490,-110.589710728572
160480,-109.424095067581
161470,-109.703112194401
162460,-109.505795335444
163450,-109.850431690554
164440,-110.168944789844
165430,-110.790795910712
166420,-109.666847640761
167410,-110.505076150866
168400,-110.305104361751
169390,-109.687025386212
170380,-110.796372927479
171370,-110.063842149126
172360,-110.097302467155
173350,-109.69072032829
174340,-107.774362108932
175330,-109.618330336701
176320,-109.289126758269
177310,-109.626762915158
178300,-109.260148289232
179290,-110.369185740423
180280,-109.69505836283
181270,-109.061033640953
182260,-109.697274566929
183250,-109.975278976238
184240,-109.975509836869
185230,-109.29149678101
186220,-110.503086919607
187210,-110.726349438767
188200,-111.1579546178
189190,-111.530675150323
190180,-111.497723462338
191170,-110.892677445792
192160,-110.904533789038
193150,-111.880825550564
194140,-111.252857645652
195130,-111.032819633123
196120,-110.944863673579
197110,-112.00822311098
198100,-111.312130501605
199090,-112.133221502003
200080,-112.061586267342
201070,-111.137401820538
202060,-110.499981402185
203050,-110.604026261348
204040,-110.904185432046
205030,-111.594603862206
206020,-111.029223623919
207010,-112.229243902544
208000,-111.812751098477
208990,-112.639863026235
209980,-110.880227702731
210970,-111.932799055065
211960,-111.362737306576
212950,-111.837772897482
213940,-111.697124317743
214930,-111.814643148094
215920,-111.771115541596
216910,-111.833705722748
217900,-111.624073229552
218890,-111.571211710929
219880,-111.393933364523
220870,-111.363093800761
221860,-113.40305712213
222850,-112.991182789721
223840,-111.716482125191
224830,-112.257122720482
225820,-112.94735992128
226810,-112.165438789919
227800,-111.66742073874
228790,-112.158987018525
229780,-112.966925327739
230770,-113.029947008701
231760,-112.577015225236
232750,-112.397843781542
233740,-112.1382336486
234730,-111.934864826937
235720,-112.7610635802
236710,-113.007612006164
237700,-113.437280739831
238690,-111.356238914891
239680,-112.32277748644
240670,-112.346945133667
241660,-113.228172513843
242650,-113.163254324484
243640,-111.943999820622
244630,-112.724341847784
245620,-113.294559474898
246610,-112.604917101275
247600,-111.989185357733
248590,-112.00328273545
249580,-113.369817292452
250570,-113.009971772053
251560,-111.984171408662
252550,-112.395690861706
253540,-113.528700213831
254530,-112.623794275158
255520,-113.246117246596
256510,-113.236608720721
257500,-112.592253014163
258490,-114.530102366939
259480,-112.859085888257
260470,-113.848679875919
261460,-112.728031591066
262450,-113.095852509149
263440,-113.321826646684
264430,-113.174471756384
265420,-112.564865918342
266410,-111.879809239909
267400,-113.397471424709
268390,-113.699232251428
269380,-113.150325984517
270370,-113.141871478382
271360,-112.27634016014
272350,-112.430024053529
273340,-112.714579047596
274330,-113.12231235968
275320,-113.469302156929
276310,-113.907184870517
277300,-112.800113797606
278290,-113.955263143201
279280,-113.387329955202
280270,-113.548654205503
281260,-113.030433809185
282250,-114.173197627141
283240,-114.037034889935
284230,-114.012624472187
285220,-113.097404202602
286210,-114.674243734797
287200,-113.801110267323
288190,-113.537591583899
289180,-113.064800842643
290170,-114.145092083227
291160,-113.769167994752
292150,-113.791900072575
293140,-114.340531469709
294130,-114.065196620657
295120,-114.021911208682
296110,-113.697634840892
297100,-113.611839535154
298090,-114.008025946526
299080,-114.537577388147
300070,-114.052447511362
301060,-114.350795153001
302050,-114.60838465968
303040,-115.159932707149
304030,-113.19937278951
305020,-113.648278510283
306010,-113.825180240915
307000,-113.708948215312
307990,-113.89785938342
308980,-113.395195377254
309970,-112.72086405851
310960,-113.730037754169
311950,-112.892386605937
312940,-114.100333630559
313930,-113.303131761344
314920,-113.118090589987
315910,-113.490032731359
316900,-112.782131064334
317890,-112.948550687131
318880,-112.925471530264
319870,-112.627787989904
320860,-113.181580056968
321850,-113.670960370871
322840,-113.95847145894
323830,-113.245330466511
324820,-113.682565017143
325810,-113.1048899489
326800,-113.949997762924
327790,-113.717902622988
328780,-113.223081930087
329770,-113.481501535935
330760,-113.084524041255
331750,-114.639692939686
332740,-114.042730656978
333730,-114.584025853153
334720,-113.384981515336
335710,-114.091944450584
336700,-112.834060365543
337690,-112.484642716408
338680,-113.434047273928
339670,-113.103276200972
340660,-113.899921857029
341650,-113.484826846839
342640,-113.892467276378
343630,-113.52021564164
344620,-112.980308674229
345610,-113.970334792978
346600,-112.698097508199
347590,-113.792671198783
348580,-113.365804825426
349570,-113.00526619577
350560,-113.817974981071
351550,-113.181013421437
352540,-113.117942148075
353530,-113.429012481368
354520,-113.185818598444
355510,-113.162551467493
356500,-112.837918296919
357490,-113.270885926527
358480,-112.567855862342
359470,-112.825369098109
360460,-112.089896690398
361450,-112.597520355901
362440,-112.881402587161
363430,-113.008278961868
364420,-112.144012812896
365410,-113.859522922545
366400,-113.584123233891
367390,-112.735672233061
368380,-113.474897979601
369370,-112.785156732431
370360,-113.519311043808
371350,-112.404925851976
372340,-112.678258121149
373330,-113.003333136239
374320,-113.35353754139
375310,-112.741096853109
376300,-112.555851732274
377290,-112.902431340571
378280,-112.821255808531
379270,-111.424039040497
380260,-112.760205638394
381250,-112.476506321291
382240,-112.756059141229
383230,-111.133483428749
384220,-112.524945254622
385210,-112.255815530033
386200,-110.99876204628
387190,-112.610277824979
388180,-113.077497856327
389170,-112.639926980287
390160,-112.449672008941
391150,-113.170963357766
392140,-112.514484789193
393130,-111.901408539074
394120,-110.782236959694
395110,-112.874031554943
396100,-112.811276651597
397090,-113.386128233451
398080,-112.773177036174
399070,-112.553739463974
400060,-112.927850925805
401050,-113.360402976783
402040,-111.878621010824
403030,-112.950246074084
404020,-111.803432330264
405010,-110.350077231884
406000,-112.670099636319
406990,-111.974970448825
407980,-107.996225706147
408970,-112.772096243272
409960,-112.262965917106
410950,-113.716103342746
411940,-112.625413652041
412930,-113.39872696812
413920,-112.89152323478
414910,-113.002019387745
415900,-113.606014316308
416890,-113.897304527596
417880,-113.933193727185
418870,-114.74411513303
419860,-114.695465493715
420850,-113.336962817109
421840,-113.228565991981
422830,-113.676745627609
423820,-113.763729481857
424810,-113.65452431696
425800,-115.630003603723
426790,-114.004472515362
427780,-114.757267856877
428770,-114.590115982949
429760,-113.620831558994
430750,-115.233377916686
431740,-114.026201665209
432730,-114.448352804146
433720,-113.157500092966
434710,-115.316463068234
435700,-115.164458531779
436690,-115.063267153156
437680,-114.436666163827
438670,-116.066367245341
439660,-115.621991205449
440650,-114.937545836857
441640,-115.392317056831
442630,-116.081167401663
443620,-115.912669105
444610,-115.893515781813
445600,-116.685722565263
446590,-115.841570085536
447580,-115.649196818672
448570,-116.415796582927
449560,-116.525687861545
450550,-115.53956596841
451540,-116.865446703435
452530,-115.60625644461
453520,-116.903658265316
454510,-116.640308758602
455500,-116.370866217206
456490,-117.329307826569
457480,-117.278430597958
458470,-117.449766598229
459460,-117.381706565258
460450,-117.712205393946
461440,-117.318051941856
462430,-115.688599688452
463420,-117.653954057452
464410,-117.344496864722
465400,-117.582034493541
466390,-116.233579915935
467380,-118.345853465769
468370,-117.535459440337
469360,-117.848665784856
470350,-118.190623393442
471340,-118.642822179081
472330,-118.364584703817
473320,-118.468714680929
474310,-118.792454400914
475300,-117.76170982457
476290,-118.283364587216
477280,-117.959207321477
478270,-118.615657881859
479260,-118.459581181954
480250,-118.740349073443
481240,-118.630547057847
482230,-117.869534096355
483220,-118.094707743437
484210,-118.066399278083
485200,-119.269042532286
486190,-118.690757382664
487180,-118.163346153116
488170,-119.233538748865
489160,-119.286222282815
490150,-118.033035083131
491140,-118.58594800975
492130,-118.467299491769
493120,-118.827318682031
494110,-117.75363954198
495100,-118.425208463838
496090,-119.009242118917
497080,-119.153442914549
498070,-119.35436698657
499060,-119.063639597359
500050,-118.847673415695
501040,-119.015872091681
502030,-119.260288182874
503020,-118.833317196613
504010,-119.645054222727
505000,-119.827149034183
505990,-119.942275185352
506980,-119.768149037776
507970,-119.710620542445
508960,-119.49138431491
509950,-119.635315580776
510940,-119.909311451219
511930,-120.994342806517
512920,-119.633171284591
513910,-119.852798620414
514900,-119.39775219404
515890,-120.803777898589
516880,-119.860356828993
517870,-120.955767438519
518860,-120.136831317072
519850,-120.031318579
520840,-120.354760375455
521830,-120.286947406069
522820,-120.375433693173
523810,-120.015513858596
524800,-120.418121280795
525790,-119.996524438001
526780,-120.441349672602
527770,-120.188037534995
528760,-119.497446314178
529750,-120.467950302928
530740,-120.842205359795
531730,-121.741381448671
532720,-120.281913976616
533710,-120.810583320532
534700,-120.313641343832
535690,-120.497423344678
536680,-120.373862186435
537670,-120.683148953206
538660,-120.846290863522
539650,-120.625969144493
540640,-121.098734828666
541630,-121.028758663167
