Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-111.847840441706
10990,-111.216619865383
11980,-109.755582229939
12970,-109.304233422038
13960,-110.173609716098
14950,-110.670779202394
15940,-111.552352894175
16930,-110.937754553484
17920,-109.775978545632
18910,-110.35474976855
19900,-109.885183244134
20890,-109.825129976026
21880,-108.168421050678
22870,-110.027520980144
23860,-109.694335144601
24850,-108.834714011379
25840,-109.588703917094
26830,-109.887609146575
27820,-109.396480412284
28810,-107.343477524508
29800,-108.876942026096
30790,-109.005808745634
31780,-107.865592890088
32770,-108.113532359358
33760,-108.383315307297
34750,-108.383611520514
35740,-109.946810918227
36730,-109.311369130423
37720,-107.79931524821
38710,-108.979571517103
39700,-107.908107782361
40690,-108.113712655023
41680,-107.202915675582
42670,-108.552590163689
43660,-108.480394306932
44650,-107.728438440863
45640,-106.962348099088
46630,-108.022618970922
47620,-108.333657023195
48610,-107.668551047183
49600,-107.831570509841
50590,-108.41972840367
51580,-108.518654045187
52570,-107.785739109065
53560,-106.674159815887
54550,-107.357863258624
55540,-108.192226769293
56530,-106.740457939928
57520,-106.399114372162
58510,-107.466547110187
59500,-108.107319926523
60490,-107.776454850109
61480,-106.038056806985
62470,-106.466415349596
63460,-106.795447937887
64450,-107.580570000932
65440,-107.706306161445
66430,-108.035474092884
67420,-108.059023126606
68410,-107.607613415369
69400,-108.008649966517
70390,-107.025700856954
71380,-106.941669506982
72370,-107.118665573347
73360,-108.410247824817
74350,-106.913858906846
75340,-107.50102373247
76330,-106.628955895611
77320,-108.323302973489
78310,-107.825910966488
79300,-105.208542142097
80290,-107.336224824637
81280,-108.38777351491
82270,-106.233116965642
83260,-106.32731081758
84250,-108.15951485993
85240,-107.575426455936
86230,-107.588194446287
87220,-108.901375746171
88210,-107.735250347301
89200,-105.629598245316
90190,-106.133486856558
91180,-105.89013716659
92170,-106.941047997792
93160,-107.133055817142
94150,-106.551468772271
95140,-107.374709138639
96130,-107.780681368591
97120,-106.540022374378
98110,-107.364295425679
99100,-108.021168443555
100090,-108.765695718749
101080,-107.023199041542
102070,-106.897492095616
103060,-107.557686413338
104050,-108.369835773753
105040,-108.071260293844
106030,-107.694818365374
107020,-108.700365623232
108010,-110.275195896435
109000,-108.53617484711
109990,-107.412052217248
110980,-107.8321310782
111970,-106.641148433556
112960,-107.360961410022
113950,-108.676374070544
114940,-109.585167876319
115930,-110.364230916293
116920,-108.75047196777
117910,-107.889251056773
118900,-108.427558005192
119890,-108.610559272508
120880,-109.341418147249
121870,-108.812415621833
122860,-108.317831030081
123850,-108.544346091232
124840,-108.437051868518
125830,-108.382218196214
126820,-109.601177653819
127810,-110.119575039222
128800,-108.108263776237
129790,-108.153889417221
130780,-108.876071376846
131770,-108.783210679705
132760,-108.017510444618
133750,-108.827874271328
134740,-109.999506676491
135730,-109.70273056326
136720,-108.639631325536
137710,-108.583459940514
138700,-109.762282310187
139690,-108.934460468187
140680,-109.391766576907
141670,-109.709086189869
142660,-108.074310526574
143650,-107.999255855589
144640,-109.398480703631
145630,-109.817364606093
146620,-109.899448601305
147610,-108.954465744767
148600,-108.309109001445
149590,-109.747567060699
150580,-109.401225023404
151570,-109.836418877543
152560,-110.799362567582
153550,-110.174846157508
154540,-110.461829064196
155530,-108.980702577887
156520,-108.434881463221
157510,-110.457372448047
158500,-109.936443983019
159490,-109.054024674161
160480,-109.044247848554
161470,-110.134934768388
162460,-110.136100443584
163450,-110.269147524972
164440,-110.626181255242
165430,-110.981546358228
166420,-110.567758538553
167410,-111.041958934228
168400,-110.164947277581
169390,-109.975499249234
170380,-110.810311733431
171370,-110.87021788251
172360,-109.683676155161
173350,-106.192264625848
174340,-109.986275666503
175330,-110.851697837355
176320,-110.245135621308
177310,-108.389676599709
178300,-110.074742528426
179290,-109.717669621095
180280,-109.002466607007
181270,-109.63557858925
182260,-111.046392744934
183250,-110.127161873221
184240,-109.629108687073
185230,-110.663251523431
186220,-110.426226451691
187210,-109.811758594416
188200,-110.56526778574
189190,-110.790476770499
190180,-111.078372927964
191170,-111.986630750092
192160,-111.709370051359
193150,-111.963723631813
194140,-110.771100683703
195130,-112.767845281196
196120,-111.388353963512
197110,-110.966998029896
198100,-111.368667052355
199090,-111.329226343943
200080,-111.063364009993
201070,-110.80687363168
202060,-113.228996545732
203050,-110.993803296416
204040,-112.483175219994
205030,-111.437113192218
206020,-112.450675634364
207010,-110.417381430134
208000,-111.049548840588
208990,-110.902235372035
209980,-112.10949600612
210970,-113.355942619916
211960,-112.048503027484
212950,-113.775328562995
213940,-112.605783506958
214930,-111.59713937507
215920,-111.463564645514
216910,-111.354976231603
217900,-111.5879737805
218890,-111.398985917577
219880,-111.833438833036
220870,-112.534617445933
221860,-112.133024474656
222850,-112.644371570734
223840,-111.079004952528
224830,-112.55028722915
225820,-111.30446305928
226810,-111.941636833439
227800,-111.534041164081
228790,-111.65041211297
229780,-112.252184988365
230770,-111.407719249219
231760,-113.311939535336
232750,-111.688047165634
233740,-111.778659817808
234730,-111.280691409162
235720,-113.723187298332
236710,-112.020495847012
237700,-114.450013491605
238690,-112.650081985002
239680,-112.970879919389
240670,-111.840743014544
241660,-113.597582790133
242650,-111.009156894139
243640,-112.255076397194
244630,-112.775785318667
245620,-111.930662500665
246610,-111.75890704815
247600,-111.878045432995
248590,-112.07358446134
249580,-111.028304076683
250570,-111.857802475474
251560,-112.191287529883
252550,-112.543617495663
253540,-114.597252716466
254530,-112.453122760883
255520,-113.478289999284
256510,-111.569891408619
257500,-113.57909559617
258490,-113.020447707076
259480,-112.372919702104
260470,-112.512520673013
261460,-112.592727854309
262450,-112.320168926809
263440,-112.77906318376
264430,-112.676062315813
265420,-112.841234353342
266410,-112.951550212591
267400,-113.288863793297
268390,-113.353454216131
269380,-112.650930177364
270370,-114.29744080121
271360,-113.673623045091
272350,-112.329889276576
273340,-112.906902081555
274330,-113.228581652796
275320,-112.536347244079
276310,-112.589735294086
277300,-112.139251587137
278290,-112.50043532736
279280,-114.982983763717
280270,-113.877428177148
281260,-114.497479502015
282250,-114.499805628402
283240,-112.860451636781
284230,-112.422149754314
285220,-114.251670055988
286210,-112.92454675587
287200,-113.679350037641
288190,-114.179556886392
289180,-113.779068993091
290170,-114.004589474036
291160,-113.763329920581
292150,-113.664310730114
293140,-113.895165561839
294130,-113.245259693562
295120,-112.863173670735
296110,-113.897732621787
297100,-114.983148424036
298090,-114.745494065488
299080,-113.347396006961
300070,-114.040578719139
301060,-113.322724396814
302050,-114.299367562488
303040,-114.228448657439
304030,-113.738378248409
305020,-113.931810707333
306010,-113.342605092126
307000,-113.964393595182
307990,-112.903820815857
308980,-114.885296392132
309970,-113.032177262843
310960,-114.114394959369
311950,-112.987188783851
312940,-113.546881434493
313930,-113.144121283295
314920,-112.558578628668
315910,-112.109757245052
316900,-113.939736531439
317890,-114.343749263308
318880,-113.278490215425
319870,-114.233376095515
320860,-112.651177901536
321850,-114.098041249449
322840,-114.517374197853
323830,-113.934710093994
324820,-112.808403170505
325810,-114.475399545475
326800,-114.218375239229
327790,-113.582421857555
328780,-113.539958550088
329770,-114.326880730518
330760,-112.536796562749
331750,-114.098911614334
332740,-114.230563900136
333730,-113.908659797141
334720,-113.366552405322
335710,-114.113315643183
336700,-113.191937853199
337690,-112.009746584393
338680,-113.979521004763
339670,-114.621464202954
340660,-115.503691841291
341650,-115.527639205636
342640,-113.614171539116
343630,-113.510215844688
344620,-112.813812306483
345610,-114.357773033004
346600,-113.991231903168
347590,-113.375490828649
348580,-113.491882206166
349570,-112.460797963377
350560,-113.326872290076
351550,-113.762263379278
352540,-115.007846150335
353530,-112.353161434204
354520,-114.017996545341
355510,-111.89904881879
356500,-113.144956173292
357490,-113.178016807709
358480,-114.525178769503
359470,-114.226486516708
360460,-113.110044979917
361450,-112.168531210596
362440,-111.822723014946
363430,-111.880543172937
364420,-112.735672686555
365410,-112.86983539786
366400,-113.360419836796
367390,-111.98372211503
368380,-114.224331788393
369370,-114.391370641727
370360,-113.272110525089
371350,-113.419858190874
372340,-112.116663662118
373330,-112.370697515477
374320,-112.888516348507
375310,-111.526455620268
376300,-112.855445335881
377290,-114.430793413976
378280,-112.443970931931
379270,-112.821763442141
380260,-113.125132845978
381250,-111.77139941514
382240,-112.613453750218
383230,-111.434300764972
384220,-113.632947420647
385210,-111.169640268759
386200,-110.562896262186
387190,-112.754182204762
388180,-111.048433166369
389170,-112.627762330504
390160,-112.931910991471
391150,-112.111891683964
392140,-112.555480949235
393130,-112.502416423871
394120,-113.125603316047
395110,-112.47568328788
396100,-113.793213817264
397090,-113.438417485942
398080,-112.718513515175
399070,-112.892930303025
400060,-112.974436058685
401050,-111.650580661855
402040,-112.624048021658
403030,-112.743143233331
404020,-113.20334638015
405010,-111.619790071778
406000,-112.149607944009
406990,-112.849131689055
407980,-109.389904210224
408970,-112.232607969931
409960,-113.59285626615
410950,-113.849658471575
411940,-113.152108812993
412930,-113.046568649652
413920,-115.308192114257
414910,-112.638551661646
415900,-112.430182295415
416890,-114.677230260977
417880,-113.124021332594
418870,-114.434838736761
419860,-113.650982623637
420850,-112.330973887979
421840,-113.128346835688
422830,-113.201798699561
423820,-114.171392825926
424810,-113.7601951306
425800,-114.745464551485
426790,-113.702769456615
427780,-115.530738901067
428770,-114.440950505825
429760,-113.980575915098
430750,-114.443970388394
431740,-115.460895381147
432730,-115.978284485602
433720,-113.950373753253
434710,-115.744120493938
435700,-114.277214986452
436690,-115.530193378061
437680,-114.282414061866
438670,-115.953995727035
439660,-115.079676892298
440650,-115.496548338556
441640,-116.441152070188
442630,-115.194974435532
443620,-115.955314138438
444610,-115.138853003087
445600,-114.734437454802
446590,-115.48670427796
447580,-116.02866995206
448570,-117.594187210067
449560,-117.131488832944
450550,-115.505191442109
451540,-116.218772650734
452530,-117.792370639599
453520,-116.814223467408
454510,-117.70822154722
455500,-116.63672151198
456490,-117.499268946044
457480,-116.95723146226
458470,-117.147978527035
459460,-116.919479287702
460450,-117.1824160825
461440,-115.435596518571
462430,-117.397370514235
463420,-117.797765718232
464410,-116.365575615346
465400,-118.590033650077
466390,-116.455945577273
467380,-116.808466422645
468370,-117.478685782734
469360,-118.132975957057
470350,-119.28012369902
471340,-117.754064343762
472330,-118.379078930521
473320,-117.490292200855
474310,-116.704953626984
475300,-118.824543708205
476290,-118.771220050012
477280,-118.861274549265
478270,-118.23285253678
479260,-118.373826427027
480250,-118.640196417231
481240,-119.836613105541
482230,-119.03207280517
483220,-120.281234952488
484210,-119.115505138438
485200,-120.085822136281
486190,-117.721530144182
487180,-119.800364597849
488170,-119.083010276836
489160,-118.688847273237
490150,-117.891595729391
491140,-117.907102481261
492130,-117.887844501561
493120,-118.41588103067
494110,-119.243390623568
495100,-118.764124646951
496090,-117.137291611691
497080,-119.240090048025
498070,-119.526211055983
499060,-118.701777837459
500050,-119.942950589677
501040,-119.383363057662
502030,-122.611983041852
503020,-120.23426158705
504010,-121.487910795901
505000,-119.840916442871
505990,-119.960488124751
506980,-120.313734910439
507970,-120.606106200738
508960,-120.106048220489
509950,-119.137386713166
510940,-118.738307084351
511930,-119.072249235565
512920,-119.187287695071
513910,-119.464969923633
514900,-120.097508004577
515890,-121.063710476146
516880,-119.434216533594
517870,-119.368490478077
518860,-119.567290329264
519850,-120.467546171275
520840,-119.677589465202
521830,-120.975384257134
522820,-120.612592510744
523810,-119.232564198453
524800,-120.339203216851
525790,-119.736197636899
526780,-120.233967706284
527770,-119.894264736847
528760,-120.42641111012
529750,-119.719457039864
530740,-118.947727809591
531730,-121.128848336476
532720,-120.771686640935
533710,-120.571963341812
534700,-120.389835860888
535690,-121.24864321562
536680,-120.843722288924
537670,-120.507081042028
538660,-122.322520514505
539650,-120.751145054839
540640,-121.014033623585
541630,-120.717833929561
