Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.2736
Start Frequency,10000
Stop Frequency,1000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-111.93098993814
10990,-110.118281698972
11980,-109.788833708085
12970,-110.048834090209
13960,-109.909406751975
14950,-110.79490646005
15940,-110.577177559085
16930,-109.388692185723
17920,-109.578293236715
18910,-109.811006596653
19900,-108.839289464981
20890,-109.98358377734
21880,-110.351312087628
22870,-111.21223110199
23860,-109.344767452905
24850,-107.907256033838
25840,-109.841353239066
26830,-109.795637085314
27820,-108.715887641211
28810,-108.238195274755
29800,-107.944587648613
30790,-108.310942160044
31780,-107.40595500933
32770,-108.561198869469
33760,-107.686411842756
34750,-106.752686736984
35740,-107.843496564139
36730,-108.578793326958
37720,-106.808399306586
38710,-108.016118892167
39700,-106.802378108177
40690,-107.240301400994
41680,-108.823555812235
42670,-107.670861924119
43660,-106.431457884539
44650,-108.567652057738
45640,-105.721060247689
46630,-106.442658867306
47620,-108.395770118091
48610,-107.394055246069
49600,-107.102695645501
50590,-108.077914558207
51580,-106.254451154647
52570,-107.342829445294
53560,-107.919858666607
54550,-107.119845619311
55540,-105.811793596738
56530,-106.782647016567
57520,-107.473779858957
58510,-107.238643001292
59500,-106.801299561838
60490,-105.369090248429
61480,-106.781546812886
62470,-107.172890598953
63460,-108.019418412478
64450,-108.805910521535
65440,-107.385014574893
66430,-107.226253978856
67420,-106.842317372131
68410,-106.980364039817
69400,-108.258128347183
70390,-107.736825246739
71380,-107.670039709451
72370,-106.515464068942
73360,-106.265969923556
74350,-108.301022509202
75340,-106.710225426967
76330,-107.28235456331
77320,-106.416950034327
78310,-108.424158564788
79300,-105.59659056781
80290,-107.581983889089
81280,-107.177387676752
82270,-106.854157048809
83260,-106.709860048336
84250,-107.802962421225
85240,-107.886118669791
86230,-107.430617895839
87220,-106.77790034864
88210,-107.439838664535
89200,-108.531368624832
90190,-107.501365731836
91180,-107.681855796985
92170,-106.305683126232
93160,-107.778689248982
94150,-109.688048117764
95140,-107.309369659469
96130,-106.576910385591
97120,-106.804187671915
98110,-108.711592864869
99100,-107.655412151159
100090,-107.289983040132
101080,-106.968235481297
102070,-108.357938583291
103060,-106.61784008413
104050,-107.500568442741
105040,-108.745267384598
106030,-108.123953997286
107020,-107.576581880047
108010,-109.129638436104
109000,-107.698330053373
109990,-108.223098724606
110980,-108.873726774184
111970,-108.259903625565
112960,-108.048048068905
113950,-108.085762136525
114940,-108.584403705009
115930,-105.961156064031
116920,-107.807625509805
117910,-108.395748482173
118900,-109.488666107438
119890,-109.124312208561
120880,-108.609332459219
121870,-108.135414653997
122860,-109.938976259391
123850,-108.317698781226
124840,-108.132626713686
125830,-108.926641527234
126820,-108.147608047157
127810,-108.672335517246
128800,-107.65308934121
129790,-108.354899340238
130780,-107.960096627948
131770,-109.820699808015
132760,-109.090500752866
133750,-108.962085052758
134740,-108.779055320918
135730,-108.071832893628
136720,-109.03239569731
137710,-108.918868656745
138700,-108.354546320068
139690,-109.710298539412
140680,-107.837523843513
141670,-109.205312609581
142660,-108.276743721959
143650,-107.52899985864
144640,-108.207482247332
145630,-109.024409394801
146620,-108.18032671838
147610,-108.634234031643
148600,-109.795546102948
149590,-110.368865396567
150580,-110.002726625521
151570,-109.569320115089
152560,-108.927213868494
153550,-109.529602830252
154540,-110.24880602602
155530,-109.50608814392
156520,-109.605929546222
157510,-109.060990675425
158500,-110.272378207493
159490,-110.425687881253
160480,-109.652234076206
161470,-109.563110988611
162460,-109.495346796654
163450,-108.922077731112
164440,-110.42027088152
165430,-110.10895475653
166420,-110.974682411007
167410,-109.347189660903
168400,-108.566217284297
169390,-110.473408157324
170380,-112.953153685459
171370,-110.501784477808
172360,-111.133956631492
173350,-109.57925700015
174340,-106.469936782595
175330,-109.789805736566
176320,-108.956434774712
177310,-109.999285062555
178300,-109.504922250319
179290,-110.444535963697
180280,-110.373306213243
181270,-108.362473091816
182260,-110.415244933538
183250,-109.750247028959
184240,-111.93311050401
185230,-111.400706618156
186220,-109.632481460128
187210,-112.022155249829
188200,-112.669453725564
189190,-110.925511473923
190180,-110.440385226876
191170,-110.746440528106
192160,-110.163275935307
193150,-110.648292427302
194140,-111.024553270365
195130,-112.489915671721
196120,-110.959950956559
197110,-111.608254934133
198100,-113.472230128388
199090,-111.708743748969
200080,-111.416536769333
201070,-111.869364009691
202060,-111.19100815176
203050,-111.276288756063
204040,-111.650147019164
205030,-112.221730248488
206020,-111.815980020931
207010,-112.028343893227
208000,-112.488834089183
208990,-112.16654574564
209980,-110.676220684268
210970,-112.259180378407
211960,-111.26822079164
212950,-111.383907353077
213940,-112.225533669162
214930,-112.62022541714
215920,-111.212730935319
216910,-111.602693007803
217900,-114.162158268526
218890,-112.046148712576
219880,-111.823849405211
220870,-113.610227455193
221860,-111.077652096874
222850,-110.638569502078
223840,-111.391199201921
224830,-110.572349244116
225820,-112.25198275023
226810,-112.401844596736
227800,-112.881767847173
228790,-111.273388797143
229780,-112.335023759045
230770,-112.209837379244
231760,-112.674328114879
232750,-113.794508701846
233740,-112.117880785736
234730,-113.1931728834
235720,-112.675446525714
236710,-111.383068044494
237700,-112.298630614482
238690,-112.885684784129
239680,-111.317532830572
240670,-111.790915166442
241660,-112.381203128906
242650,-114.892009456528
243640,-111.003449794081
244630,-111.866828343621
245620,-112.150177092001
246610,-112.87138091811
247600,-112.744215674191
248590,-112.766935987541
249580,-113.904549728049
250570,-111.839101718647
251560,-112.968767134493
252550,-111.905443832793
253540,-112.846130403628
254530,-113.113708595428
255520,-112.313725641707
256510,-112.968293895243
257500,-113.888922630436
258490,-113.658252486728
259480,-113.311501228869
260470,-113.249117202644
261460,-112.717297910584
262450,-113.171348589102
263440,-112.458965178118
264430,-113.645865775939
265420,-113.268763820661
266410,-113.115139276593
267400,-113.461173146262
268390,-112.250894065013
269380,-113.928416097281
270370,-112.790648058771
271360,-112.463655838307
272350,-113.154736111857
273340,-114.247466667151
274330,-112.315165207083
275320,-112.886487369996
276310,-114.078266916569
277300,-113.64329512157
278290,-113.408618274822
279280,-114.21298291612
280270,-113.583729862453
281260,-113.693115517467
282250,-114.632671209803
283240,-113.804316407204
284230,-113.859368788655
285220,-115.602724226792
286210,-112.756406063027
287200,-113.289881828813
288190,-115.339221934018
289180,-113.952954349451
290170,-111.876835862102
291160,-113.82467484323
292150,-113.709378856932
293140,-114.132524256656
294130,-113.134638442284
295120,-114.613013029533
296110,-114.242864457123
297100,-115.299266030009
298090,-113.638106114097
299080,-113.365075646093
300070,-114.802718553778
301060,-113.814237356271
302050,-112.700671292527
303040,-113.334839185232
304030,-114.471181593099
305020,-113.674067015327
306010,-114.672554734273
307000,-114.22257518554
307990,-115.87704376283
308980,-114.655999887257
309970,-113.297434024033
310960,-113.12387945967
311950,-113.058324010345
312940,-113.089758635146
313930,-113.245322153212
314920,-112.60751480661
315910,-114.085686919339
316900,-112.892569366196
317890,-113.93128382622
318880,-113.871845627858
319870,-112.065204224031
320860,-112.954267916234
321850,-114.666902165966
322840,-112.629102709578
323830,-114.67193939699
324820,-113.631551820354
325810,-112.366705200745
326800,-112.928940077382
327790,-113.493395870443
328780,-113.54437150477
329770,-115.995217699779
330760,-113.226045928128
331750,-113.156522054189
332740,-114.767276921267
333730,-113.78500983249
334720,-114.684646160532
335710,-114.242366084798
336700,-114.142900759089
337690,-114.22860463392
338680,-113.164628375308
339670,-114.602217063574
340660,-113.691298989493
341650,-114.031741234619
342640,-114.730708763322
343630,-114.10023817208
344620,-113.562357865151
345610,-112.594933023078
346600,-113.268328528372
347590,-113.631955290534
348580,-112.981537153559
349570,-111.275253892487
350560,-113.219046359023
351550,-113.314426737187
352540,-113.824001690388
353530,-113.796032608153
354520,-112.666761928674
355510,-113.382555831105
356500,-112.41699065245
357490,-111.490821589938
358480,-113.095384909114
359470,-112.138273762861
360460,-111.742140657312
361450,-112.662667891262
362440,-111.278499607516
363430,-112.609573382019
364420,-112.305590314544
365410,-112.451271167713
366400,-112.688468173649
367390,-113.056707371417
368380,-113.056679332972
369370,-113.680462903943
370360,-112.687182401033
371350,-113.772469065545
372340,-112.94628520493
373330,-112.918624713618
374320,-113.979070794823
375310,-113.6712920982
376300,-111.524340527783
377290,-113.185648711486
378280,-114.228978826257
379270,-111.899661616939
380260,-111.657649062382
381250,-113.264088356337
382240,-113.031431289002
383230,-112.379415202263
384220,-111.216296799643
385210,-111.307425371668
386200,-110.85799631713
387190,-112.305127182444
388180,-111.589930577538
389170,-112.186826071858
390160,-113.683493075766
391150,-113.270722966567
392140,-113.142272600849
393130,-113.407348881682
394120,-110.665448266807
395110,-112.564608438289
396100,-112.029391124227
397090,-113.278498398532
398080,-112.254883604152
399070,-111.994043773619
400060,-113.467598936502
401050,-112.86563049603
402040,-112.802033610249
403030,-111.70810519946
404020,-113.871053987975
405010,-109.538738623635
406000,-111.491703303159
406990,-112.612768982176
407980,-108.185086447748
408970,-113.581811899436
409960,-112.512558345803
410950,-112.415948235918
411940,-113.590754039059
412930,-113.180295341351
413920,-113.659310099975
414910,-112.971709288846
415900,-113.647407993406
416890,-112.460842269093
417880,-113.777029104004
418870,-114.433506674849
419860,-112.501460857321
420850,-113.796487730613
421840,-113.09034312771
422830,-113.285292287254
423820,-113.469361785567
424810,-113.811529344951
425800,-114.743923257567
426790,-115.689866188363
427780,-113.62085910022
428770,-116.830220186979
429760,-115.099198668446
430750,-114.080438443915
431740,-113.987528625249
432730,-115.950399898422
433720,-112.319370475984
434710,-114.760153119938
435700,-115.672392546266
436690,-114.994396372895
437680,-114.593962107926
438670,-115.628046779054
439660,-114.84351533542
440650,-115.747287223945
441640,-115.414188893559
442630,-115.42262026122
443620,-115.142626105487
444610,-116.293294045828
445600,-115.131647033268
446590,-116.590143864118
447580,-116.625611273091
448570,-115.276055081674
449560,-115.768499943731
450550,-114.923514975745
451540,-117.043464349986
452530,-115.200878669097
453520,-116.644813751647
454510,-116.085039193292
455500,-116.924787744565
456490,-117.63570387391
457480,-117.576090077262
458470,-117.699139975095
459460,-116.195258703804
460450,-116.01305682841
461440,-117.157221153846
462430,-116.60736267669
463420,-117.953365762318
464410,-118.621543723984
465400,-116.898993117365
466390,-116.829886551457
467380,-117.481026453046
468370,-119.0928958958
469360,-117.726963189192
470350,-117.938720957092
471340,-117.856064054147
472330,-118.48408148596
473320,-117.937201519235
474310,-116.726647566644
475300,-117.89182719995
476290,-117.026459103361
477280,-119.992252190246
478270,-117.245617441257
479260,-118.083437259595
480250,-117.304792856444
481240,-117.15676151619
482230,-118.270345353799
483220,-117.71977247201
484210,-117.505800480392
485200,-118.441352772045
486190,-119.489068505306
487180,-118.5757152965
488170,-118.800030534888
489160,-118.252357337762
490150,-118.37965054865
491140,-118.623820266737
492130,-117.851224343835
493120,-118.960971457068
494110,-118.179872162535
495100,-119.967395282129
496090,-119.187938166341
497080,-117.78844106923
498070,-118.825421491684
499060,-117.325199672321
500050,-119.725218522541
501040,-118.908196500041
502030,-118.730073969867
503020,-119.626802996922
504010,-120.332536809757
505000,-118.473490111682
505990,-120.860246161773
506980,-119.992609874573
507970,-119.607630190563
508960,-119.636635681921
509950,-120.334397733463
510940,-119.25122985527
511930,-120.363020551809
512920,-119.858370268466
513910,-120.973976476665
514900,-120.634822439482
515890,-119.401890089236
516880,-119.171025673409
517870,-121.038937327012
518860,-120.885239185234
519850,-120.694509661189
520840,-119.930601500514
521830,-119.843298937375
522820,-119.561977230316
523810,-120.598248987957
524800,-120.546761787891
525790,-120.281987197057
526780,-121.498117290342
527770,-119.244743333365
528760,-120.334127567827
529750,-119.866280736912
530740,-120.683083815792
531730,-119.409873031325
532720,-119.817516842546
533710,-120.156488673255
534700,-120.251225230785
535690,-119.964137358764
536680,-121.028542929469
537670,-120.808981564199
538660,-120.630406974893
539650,-121.058774893192
540640,-122.263407399915
541630,-121.258599694953
