Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.4862
Start Frequency,10000
Stop Frequency,2000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000,-109.923345479176
11990,-110.894379894268
13980,-109.775729157782
15970,-110.392983759975
17960,-110.481415130824
19950,-110.511933970744
21940,-108.52486238849
23930,-108.903747186498
25920,-108.874220568091
27910,-108.497659494469
29900,-109.279084473789
31890,-108.451059067648
33880,-108.944419460717
35870,-106.791228851925
37860,-109.183235843966
39850,-107.901040242508
41840,-106.195295910826
43830,-109.792599240144
45820,-107.531193876212
47810,-107.291524961217
49800,-105.633094069006
51790,-107.411040312923
53780,-97.2059709351376
55770,-107.585985337987
57760,-106.015637601131
59750,-107.496671859395
61740,-107.171618511004
63730,-106.47785159382
65720,-107.456622349026
67710,-106.771948511977
69700,-106.773084457732
71690,-107.044232948893
73680,-107.260163683738
75670,-108.035456579048
77660,-107.90328769734
79650,-107.152487448197
81640,-107.543108009705
83630,-108.215131995323
85620,-107.926849550916
87610,-107.333109972222
89600,-107.330099134837
91590,-107.046249634282
93580,-107.240306102584
95570,-108.065880767565
97560,-108.020295585588
99550,-109.904271099985
101540,-107.110396116871
103530,-108.851711666513
105520,-107.405536490604
107510,-108.353821726556
109500,-108.394521377491
111490,-108.424958383346
113480,-107.801308358323
115470,-107.502056629585
117460,-109.584316696628
119450,-109.248758741267
121440,-108.079141276856
123430,-108.139770755819
125420,-108.456633917695
127410,-109.401994545299
129400,-109.574958999093
131390,-108.444938943605
133380,-108.553569127322
135370,-109.201931828947
137360,-108.890049461749
139350,-109.298899083254
141340,-108.0097096329
143330,-108.292140180402
145320,-109.325800282918
147310,-109.490889125489
149300,-108.390702831044
151290,-110.82955227781
153280,-110.516685344179
155270,-108.997044628844
157260,-109.563476205997
159250,-109.592309810873
161240,-109.9036837363
163230,-109.67944145581
165220,-109.27525355931
167210,-109.442286746922
169200,-109.657730151159
171190,-109.292704989769
173180,-110.003766380211
175170,-108.490753293347
177160,-110.144560293966
179150,-110.526357476176
181140,-108.113737239369
183130,-109.815548124468
185120,-109.595527944278
187110,-110.941706493533
189100,-110.535695143018
191090,-110.99027026161
193080,-112.347878123159
195070,-110.937854350318
197060,-111.59362119954
199050,-111.437409519328
201040,-112.648808287514
203030,-111.061568504362
205020,-111.53917043135
207010,-111.119057702735
209000,-112.641552841976
210990,-112.033532773101
212980,-112.830232107212
214970,-111.416918854726
216960,-111.413000213204
218950,-112.61378561559
220940,-112.628647644975
222930,-111.475801311307
224920,-112.601418194612
226910,-111.252386167533
228900,-111.946687777593
230890,-112.537253249085
232880,-111.382930564534
234870,-112.895986879458
236860,-112.86371934289
238850,-113.575583811402
240840,-113.361363921527
242830,-113.747201447004
244820,-113.592255713177
246810,-112.200447777617
248800,-113.270869289349
250790,-112.59701171167
252780,-113.607848832858
254770,-113.787565062784
256760,-113.74189743852
258750,-113.51710632827
260740,-113.121645187532
262730,-112.812128943028
264720,-112.209872735345
266710,-113.529790564629
268700,-113.284744116457
270690,-114.456973364175
272680,-113.433367480658
274670,-113.684496992752
276660,-114.305729322135
278650,-112.943863419788
280640,-113.062512378814
282630,-113.753871373631
284620,-113.582497911109
286610,-113.744079804759
288600,-114.267235550687
290590,-114.320629764968
292580,-114.59009197004
294570,-113.948172837368
296560,-111.629138119729
298550,-113.815145234817
300540,-113.611448387216
302530,-114.560607571858
304520,-114.375542857677
306510,-113.343423791309
308500,-114.797881556717
310490,-114.59315414883
312480,-113.119196289752
314470,-112.050478202033
316460,-112.652681461717
318450,-112.692560054419
320440,-113.053968483027
322430,-112.791943990275
324420,-113.913925939317
326410,-113.917456236394
328400,-112.358855848263
330390,-114.60934824179
332380,-115.674528109665
334370,-112.615159869079
336360,-114.127727540347
338350,-114.2437384076
340340,-114.10130892473
342330,-115.036127071622
344320,-114.683076927395
346310,-112.803705577517
348300,-113.18678767375
350290,-112.315662577102
352280,-113.382303084279
354270,-113.315267996423
356260,-112.311166325388
358250,-113.00026559743
360240,-113.021977407722
362230,-112.958245749532
364220,-110.859183539702
366210,-113.11498068243
368200,-113.256930250574
370190,-113.207134787554
372180,-113.140950128009
374170,-112.756650715615
376160,-112.649355144724
378150,-113.389256432598
380140,-113.430397903717
382130,-112.942639406828
384120,-112.502525918212
386110,-110.233709067905
388100,-113.153902407647
390090,-112.928626396112
392080,-112.163067472897
394070,-112.303490480511
396060,-113.511039375475
398050,-112.724402717579
400040,-112.2464428612
402030,-112.057225754181
404020,-112.384740843119
406010,-113.273354788332
408000,-109.504281284188
409990,-112.420023503927
411980,-113.927322791385
413970,-113.204208920322
415960,-113.645437793018
417950,-112.185068126143
419940,-113.777920685085
421930,-113.929170073143
423920,-113.989620525072
425910,-115.442638754974
427900,-114.052025606282
429890,-115.468981958321
431880,-114.782315402729
433870,-113.666698573644
435860,-115.245608959563
437850,-116.216062607766
439840,-115.142168877622
441830,-116.103083182072
443820,-116.088983701083
445810,-115.69901466169
447800,-116.087630306631
449790,-117.190428478651
451780,-116.222823708334
453770,-117.579027224065
455760,-116.621713928756
457750,-116.603198347415
459740,-116.173817930166
461730,-116.740381138635
463720,-117.304189019412
465710,-116.849142822879
467700,-118.536166442991
469690,-117.306405301069
471680,-117.221342191832
473670,-118.989416985934
475660,-118.736991786345
477650,-118.70629585131
479640,-119.983768740566
481630,-119.160931532343
483620,-118.483575826843
485610,-119.160545337036
487600,-118.520557001869
489590,-119.039069832142
491580,-118.401961624341
493570,-117.366008281479
495560,-117.697317297608
497550,-119.665382742083
499540,-118.883116460001
501530,-119.963308469536
503520,-118.018509933985
505510,-119.318717324914
507500,-119.240033073916
509490,-118.146081895559
511480,-119.616018952231
513470,-119.94396424484
515460,-121.649839043928
517450,-119.743552247947
519440,-119.467363082432
521430,-120.952611232295
523420,-119.009108656569
525410,-119.634251066046
527400,-120.42354358497
529390,-120.889631655865
531380,-121.249919892148
533370,-118.844439657789
535360,-121.033162032552
537350,-120.288883613494
539340,-120.381759681029
541330,-121.283555742813
543320,-120.163818763349
545310,-121.238394373274
547300,-121.611625159678
549290,-119.27800046166
551280,-120.594891097512
553270,-121.807507379603
555260,-120.832734055769
557250,-121.425054713495
559240,-121.256074759713
561230,-122.211978374249
563220,-120.27458565203
565210,-120.79950350118
567200,-121.740446980163
569190,-121.337741581336
571180,-122.026162306758
573170,-121.254344691502
575160,-121.058706244638
577150,-122.573769521545
579140,-121.233384014492
581130,-121.843631189948
583120,-120.719761542877
585110,-120.901918501169
587100,-121.990154806928
589090,-121.419828449381
591080,-121.533181094031
593070,-121.195464904104
595060,-121.38528214803
597050,-122.773765548498
599040,-121.133030229881
601030,-121.219372642344
603020,-122.280753633151
605010,-122.9171042803
607000,-119.817533471504
608990,-123.034171839589
610980,-122.058808281009
612970,-122.366397021842
614960,-122.946372527597
616950,-123.14937794647
618940,-123.260499671307
620930,-122.210351641511
622920,-122.593416724235
624910,-122.783815190982
626900,-121.416801208411
628890,-120.659381985087
630880,-122.401613320407
632870,-122.607081337222
634860,-121.721466179007
636850,-122.016842160959
638840,-122.430968444926
640830,-121.829442699994
642820,-121.520239569541
644810,-122.666760372459
646800,-123.591954102385
648790,-123.054943167342
650780,-122.814722356853
652770,-123.950458795217
654760,-123.364488517344
656750,-123.268507704202
658740,-123.097992157757
660730,-123.648460346027
662720,-122.863042546896
664710,-122.318287055166
666700,-122.812012055881
668690,-122.681691868303
670680,-123.995648628216
672670,-123.139884485603
674660,-124.022279615471
676650,-123.093101842677
678640,-123.238229803488
680630,-123.416011484349
682620,-122.501724217537
684610,-123.681647104525
686600,-122.236342175369
688590,-122.130535227761
690580,-123.324192372153
692570,-123.173792632602
694560,-123.056312050419
696550,-122.496258605823
698540,-123.58024424365
700530,-123.062838316269
702520,-123.88463591339
704510,-122.833561177393
706500,-123.001003098172
708490,-123.000250971015
710480,-123.157400334192
712470,-123.764219843323
714460,-122.732449138305
716450,-125.630231290006
718440,-123.945181199794
720430,-124.736502932329
722420,-123.577792513546
724410,-123.558341901786
726400,-122.92890066372
728390,-122.717185980097
730380,-122.95190998818
732370,-122.867073513344
734360,-124.52672241653
736350,-123.038515560081
738340,-123.871507956776
740330,-124.3975327491
742320,-125.17568386681
744310,-123.242731212489
746300,-124.606584076377
748290,-123.895018857749
750280,-122.763579301553
752270,-123.137148421137
754260,-123.197252777227
756250,-123.391453926065
758240,-122.385854358801
760230,-123.49404298107
762220,-124.177188143344
764210,-122.771279089639
766200,-123.304159916242
768190,-123.30545489672
770180,-123.466019610101
772170,-121.674163594894
774160,-122.685886927822
776150,-124.43879246048
778140,-124.377446850588
780130,-123.647584193841
782120,-125.39563815215
784110,-124.664345754296
786100,-123.348532308127
788090,-124.432186529207
790080,-123.780943003995
792070,-124.849867267846
794060,-125.19481488387
796050,-125.617586890922
798040,-124.495899388598
800030,-124.303285040391
802020,-123.636102694351
804010,-123.772337031656
806000,-125.793296250366
807990,-123.636029676516
809980,-124.246580671972
811970,-124.839463069869
813960,-124.436876330969
815950,-122.033907955804
817940,-124.706825857819
819930,-121.849237231905
821920,-124.088503621672
823910,-124.736333428862
825900,-124.438152758177
827890,-123.449052388626
829880,-126.417670873216
831870,-125.25077461135
833860,-124.876369356523
835850,-124.553134572638
837840,-123.583535002051
839830,-123.679152765177
841820,-123.216971037746
843810,-124.112032117197
845800,-124.018160266546
847790,-125.15029384698
849780,-124.626814567949
851770,-123.650514869182
853760,-123.276813883239
855750,-125.24696556086
857740,-124.212951331707
859730,-124.701959899255
861720,-125.083319336485
863710,-124.15199568539
865700,-125.2419343044
867690,-123.670299027338
869680,-126.187836053278
871670,-124.916716674227
873660,-121.684169517013
875650,-124.377049250144
877640,-124.95549974431
879630,-123.937030370008
881620,-124.531626757673
883610,-124.92015362321
885600,-124.997073135188
887590,-123.773252553706
889580,-124.663759475372
891570,-125.412366931595
893560,-124.042944081322
895550,-124.818776801298
897540,-125.839748279025
899530,-125.810888209774
901520,-123.19723579131
903510,-125.518919163796
905500,-124.234422194587
907490,-125.681108490912
909480,-124.750356931412
911470,-125.219073864589
913460,-126.028378938873
915450,-126.697618547148
917440,-124.988030701633
919430,-125.597045609287
921420,-125.556778068132
923410,-124.842821948206
925400,-121.189288573452
927390,-125.385414481716
929380,-124.464251957054
931370,-125.168225743943
933360,-123.751117225828
935350,-126.323828810936
937340,-121.292442558069
939330,-125.76243919786
941320,-124.538087361532
943310,-125.321716643364
945300,-126.169349410885
947290,-124.591266332795
949280,-126.64624123969
951270,-125.299795445894
953260,-125.123117888007
955250,-124.486977071261
957240,-123.335615995664
959230,-124.214365841434
961220,-126.054975456436
963210,-124.695455650939
965200,-124.663390184777
967190,-125.443518814403
969180,-125.484975285535
971170,-126.254110780445
973160,-124.678468311023
975150,-124.862814861527
977140,-126.106780184602
979130,-125.163626187074
981120,-126.430728324446
983110,-119.428860550758
985100,-123.381315871843
987090,-125.568093658124
989080,-125.436593585815
991070,-122.780875508755
993060,-124.436592770394
995050,-125.809366406373
997040,-125.260871127557
999030,-124.364633688061
1001020,-125.582111514415
1003010,-125.157442487627
1005000,-125.952885142544
1006990,-124.674256681959
1008980,-126.334792000532
1010970,-125.674107124215
1012960,-124.453409786948
1014950,-127.259036473861
1016940,-125.542917655166
1018930,-125.651485768623
1020920,-125.604184012029
1022910,-126.257797205956
1024900,-126.15091316856
1026890,-125.004718630029
1028880,-125.229744037659
1030870,-126.304366846128
1032860,-126.029756583674
1034850,-124.482161399275
1036840,-125.578676043562
1038830,-124.20247139032
1040820,-118.148856440135
1042810,-125.374142547596
1044800,-124.503269701085
1046790,-124.088949836924
1048780,-121.397155741119
1050770,-126.494828716579
1052760,-125.128392005993
1054750,-124.394740193756
1056740,-125.454231780958
1058730,-125.552430434574
1060720,-127.178963518798
1062710,-125.88137015687
1064700,-125.139311732583
1066690,-125.52378463019
1068680,-124.737181670456
1070670,-126.446311559433
1072660,-126.457498697198
