Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.1682
Start Frequency,1500000
Stop Frequency,2000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1500000,-128.482756342029
1500500,-128.633591829004
1501000,-128.699814086852
1501500,-127.795831521411
1502000,-128.727282994115
1502500,-127.793859319179
1503000,-128.752239448712
1503500,-128.241241157917
1504000,-128.054010359006
1504500,-127.742213480435
1505000,-128.868793062858
1505500,-127.650961126493
1506000,-128.784745935432
1506500,-128.381117040529
1507000,-127.870258202168
1507500,-127.620962476532
1508000,-127.933999689251
1508500,-127.925996911015
1509000,-128.887679248519
1509500,-128.510504111937
1510000,-129.168504122319
1510500,-128.706210412085
1511000,-128.43117217494
1511500,-127.641286620255
1512000,-128.117946486966
1512500,-127.440769832511
1513000,-127.712677637099
1513500,-127.84055229656
1514000,-127.930545834088
1514500,-127.554165879823
1515000,-128.260885014554
1515500,-126.003371843118
1516000,-124.373579800381
1516500,-125.382640888671
1517000,-126.693303957452
1517500,-127.115196411636
1518000,-127.93451806457
1518500,-127.043467507495
1519000,-128.005251195361
1519500,-127.309049215365
1520000,-126.898935747166
1520500,-125.170264477948
1521000,-121.162122786599
1521500,-118.792444112594
1522000,-119.787276549793
1522500,-123.032798941798
1523000,-125.358401910463
1523500,-127.031365628649
1524000,-126.926529621072
1524500,-128.155729043572
1525000,-128.030671756254
1525500,-127.384984243636
1526000,-128.541826005989
1526500,-128.199576919274
1527000,-128.254198715337
1527500,-128.442076987023
1528000,-127.940598202786
1528500,-128.508924683678
1529000,-127.88436336829
1529500,-128.432539296274
1530000,-128.760857159395
1530500,-128.639863854072
1531000,-128.007636369901
1531500,-128.674480208289
1532000,-127.582795622708
1532500,-127.024872113531
1533000,-127.252185294794
1533500,-127.938532351887
1534000,-128.391574287782
1534500,-128.182526485348
1535000,-128.429623198124
1535500,-127.883101950143
1536000,-128.38823123607
1536500,-128.197057870908
1537000,-128.86873241951
1537500,-128.93145868902
1538000,-128.428589416484
1538500,-128.306918910857
1539000,-128.605933912851
1539500,-128.516627860044
1540000,-128.316282767984
1540500,-128.180603029024
1541000,-128.769180088302
1541500,-128.317615156177
1542000,-128.159650013143
1542500,-128.76505803312
1543000,-128.598145487314
1543500,-128.264790012765
1544000,-127.141994755655
1544500,-128.212517316732
1545000,-127.72635196837
1545500,-125.123917935096
1546000,-123.910496560657
1546500,-125.976039811811
1547000,-127.506929758084
1547500,-128.603027213329
1548000,-128.673225537423
1548500,-128.335277380676
1549000,-128.545373551947
1549500,-128.534930900316
1550000,-128.45707872895
1550500,-129.318493534719
1551000,-128.145950435441
1551500,-128.880772855133
1552000,-128.98492955675
1552500,-128.611709450648
1553000,-128.579471058954
1553500,-128.270103426845
1554000,-129.323382096662
1554500,-128.800368415587
1555000,-128.835476733838
1555500,-128.283302681654
1556000,-128.64121508558
1556500,-129.527358202207
1557000,-129.240172792369
1557500,-129.251512914998
1558000,-128.86570904569
1558500,-129.25826776284
1559000,-129.732657475554
1559500,-129.006707782083
1560000,-128.960556836506
1560500,-128.446535846145
1561000,-128.505279605778
1561500,-129.07358146317
1562000,-128.548196235855
1562500,-128.240943070383
1563000,-128.974388207043
1563500,-129.646963594137
1564000,-128.890815413044
1564500,-128.864809644021
1565000,-128.617415969952
1565500,-128.038450326132
1566000,-129.160452427724
1566500,-128.115022723606
1567000,-128.448009228675
1567500,-128.917870433516
1568000,-129.075244119854
1568500,-129.402423137726
1569000,-128.920463086661
1569500,-128.407490391656
1570000,-128.877715246642
1570500,-128.564972005544
1571000,-128.3132474698
1571500,-128.784517703081
1572000,-128.783559601455
1572500,-129.234583887502
1573000,-128.201668314551
1573500,-128.312716984315
1574000,-126.730758815797
1574500,-125.665876701345
1575000,-127.258077607837
1575500,-127.892883258555
1576000,-127.219406413935
1576500,-127.562104937765
1577000,-124.201690081744
1577500,-120.806326971592
1578000,-119.660108221925
1578500,-121.899732990257
1579000,-125.176197434551
1579500,-126.812857372104
1580000,-127.739101862975
1580500,-127.981335842658
1581000,-128.299568659097
1581500,-129.134029723023
1582000,-129.034791158109
1582500,-127.585029518429
1583000,-128.11564479426
1583500,-128.984008716121
1584000,-129.519646821885
1584500,-128.688610776451
1585000,-128.698584143682
1585500,-128.683619843719
1586000,-129.1766383128
1586500,-128.876788266963
1587000,-128.194611374544
1587500,-128.735893281688
1588000,-128.519653575565
1588500,-128.27018470083
1589000,-129.089699251447
1589500,-129.252741838084
1590000,-128.866407543185
1590500,-128.087593228633
1591000,-128.978042965014
1591500,-128.891235065888
1592000,-129.144431918451
1592500,-128.607165749361
1593000,-129.091594600639
1593500,-128.873687791799
1594000,-129.063411437487
1594500,-129.20891431851
1595000,-129.614103192507
1595500,-128.905227958092
1596000,-128.816333266363
1596500,-129.373827799214
1597000,-128.581975507525
1597500,-128.321896915379
1598000,-129.195227285922
1598500,-128.756635788193
1599000,-129.044285411067
1599500,-128.649017672351
1600000,-128.091899762911
1600500,-127.549041045571
1601000,-127.267862014144
1601500,-127.929965711148
1602000,-128.851595956276
1602500,-129.375368794534
1603000,-129.981642297368
1603500,-128.93340907401
1604000,-129.646449805147
1604500,-129.18734470043
1605000,-129.011890070766
1605500,-128.76501990252
1606000,-129.3768654295
1606500,-129.14283767029
1607000,-129.351831477043
1607500,-128.879958552666
1608000,-128.746059846157
1608500,-128.492357060597
1609000,-129.865243446174
1609500,-129.208569012275
1610000,-129.561993595649
1610500,-129.103523928052
1611000,-130.150857396858
1611500,-130.246158622493
1612000,-129.304877103312
1612500,-128.752127816224
1613000,-130.05899981317
1613500,-129.789326759422
1614000,-129.864556454074
1614500,-129.44293240882
1615000,-129.399813109561
1615500,-129.380188251402
1616000,-129.27677017043
1616500,-129.068514978722
1617000,-129.498273586666
1617500,-129.095324406295
1618000,-129.571218554327
1618500,-129.407853113201
1619000,-129.077103817543
1619500,-129.217490561039
1620000,-128.994960056313
1620500,-129.009531538016
1621000,-128.923238227252
1621500,-129.243154051747
1622000,-129.41922292158
1622500,-129.281252485513
1623000,-129.156158409396
1623500,-128.962079605033
1624000,-129.461341343686
1624500,-129.317341416693
1625000,-128.788994222273
1625500,-129.347277473453
1626000,-129.040673950082
1626500,-128.773390177071
1627000,-129.874508230963
1627500,-129.896091806056
1628000,-128.962720088451
1628500,-129.337715377863
1629000,-128.830153795455
1629500,-129.049937613872
1630000,-129.251889734955
1630500,-128.711455834477
1631000,-128.889430824666
1631500,-128.23932043457
1632000,-127.835447219903
1632500,-127.311782821297
1633000,-126.239267474512
1633500,-124.1406237784
1634000,-121.011272098488
1634500,-121.408354465843
1635000,-122.842242376206
1635500,-125.723553738867
1636000,-126.982108158708
1636500,-127.976137942743
1637000,-127.900291360618
1637500,-128.373051044525
1638000,-128.45932426058
1638500,-128.732411332333
1639000,-129.975091423246
1639500,-129.247780316777
1640000,-129.233751361047
1640500,-129.420604036266
1641000,-129.184451733759
1641500,-129.376159810919
1642000,-129.051726704383
1642500,-128.165188878924
1643000,-129.065296359291
1643500,-128.9464533286
1644000,-128.934452719951
1644500,-129.541958752068
1645000,-129.723774153861
1645500,-129.519099643068
1646000,-129.859756172309
1646500,-129.561603377844
1647000,-129.08925545853
1647500,-129.621331318212
1648000,-128.864808795992
1648500,-128.392373584911
1649000,-128.973779286667
1649500,-129.027897860085
1650000,-129.805357726043
1650500,-129.480865435776
1651000,-129.469813714221
1651500,-129.027615657755
1652000,-128.812219583794
1652500,-129.507972454682
1653000,-128.980891353321
1653500,-129.375468203115
1654000,-129.174058628981
1654500,-129.306328301686
1655000,-129.250952800521
1655500,-127.451656691907
1656000,-127.152624088998
1656500,-126.951598502709
1657000,-128.294995907199
1657500,-129.232604218758
1658000,-129.240396174463
1658500,-128.889843291308
1659000,-129.699120391618
1659500,-128.934976148334
1660000,-129.56397342485
1660500,-129.078519917343
1661000,-129.007659045813
1661500,-130.145900278703
1662000,-129.220891011362
1662500,-129.299035703671
1663000,-129.249147205265
1663500,-129.621514266349
1664000,-129.3697233049
1664500,-129.594388599774
1665000,-129.660802299456
1665500,-129.672094150298
1666000,-129.476365275793
1666500,-128.746971317121
1667000,-130.354437394648
1667500,-129.163632523589
1668000,-130.063223882285
1668500,-130.348573308648
1669000,-129.697353770463
1669500,-128.956834585863
1670000,-129.457595194017
1670500,-130.311557716547
1671000,-129.603682143467
1671500,-129.364251557407
1672000,-129.586008915629
1672500,-129.483356357573
1673000,-129.306284231307
1673500,-129.718923079615
1674000,-129.63544921975
1674500,-129.479740894789
1675000,-129.690670618703
1675500,-129.216832266086
1676000,-130.290013713924
1676500,-129.146471365158
1677000,-129.928294924238
1677500,-129.830079500583
1678000,-129.907712660355
1678500,-129.8543980994
1679000,-130.153636659193
1679500,-129.988104567101
1680000,-130.152027910647
1680500,-129.767991338027
1681000,-129.554838651514
1681500,-129.627168005327
1682000,-130.015358300022
1682500,-130.746626766073
1683000,-130.215762634297
1683500,-129.258875114577
1684000,-129.207158089994
1684500,-129.384753787461
1685000,-129.491539084823
1685500,-129.909385650436
1686000,-129.639789878597
1686500,-128.449296081701
1687000,-129.150688064813
1687500,-129.033550487885
1688000,-128.29531997018
1688500,-128.154533570417
1689000,-128.054509703966
1689500,-126.811695820618
1690000,-123.707492813665
1690500,-121.022136532015
1691000,-122.925271565538
1691500,-125.012643096034
1692000,-127.230030794814
1692500,-128.774596559971
1693000,-128.722026995807
1693500,-128.09694520095
1694000,-128.350259354985
1694500,-128.064483498654
1695000,-129.002733534807
1695500,-129.038476214752
1696000,-128.607078721438
1696500,-128.691643578226
1697000,-128.605724680065
1697500,-128.942499768369
1698000,-129.151481669764
1698500,-129.773158836084
1699000,-129.061376747779
1699500,-128.738545107684
1700000,-129.519263258643
1700500,-129.69148761856
1701000,-129.66022488285
1701500,-129.769357461248
1702000,-130.540994991839
1702500,-129.245991362713
1703000,-129.725767137402
1703500,-129.185799833343
1704000,-129.997928481338
1704500,-129.339300980759
1705000,-130.260857511398
1705500,-129.756305729436
1706000,-129.597534393374
1706500,-129.373119471568
1707000,-129.747212784961
1707500,-129.618629557288
1708000,-129.588630903893
1708500,-129.61441895011
1709000,-129.777594668728
1709500,-129.969008869714
1710000,-129.081481772652
1710500,-129.306775756534
1711000,-129.067390478459
1711500,-127.970108127144
1712000,-128.67271021795
1712500,-129.075923414204
1713000,-129.273556301382
1713500,-129.293859495535
1714000,-129.954044394253
1714500,-129.982037221496
1715000,-129.862860480263
1715500,-129.608973925743
1716000,-129.440803070227
1716500,-129.775460161431
1717000,-129.371476721974
1717500,-129.708986602004
1718000,-129.945958589366
1718500,-129.110034179323
1719000,-129.458318848872
1719500,-130.423073208144
1720000,-129.191475683273
1720500,-129.231353270617
1721000,-129.912199765873
1721500,-130.223072371675
1722000,-129.851657948624
1722500,-129.982759921883
1723000,-130.340706175125
1723500,-129.928415965062
1724000,-130.757385745473
1724500,-130.660845605268
1725000,-130.425543427179
1725500,-129.627218301949
1726000,-129.677892555298
1726500,-130.771332671219
1727000,-129.942065135634
1727500,-129.591597040412
1728000,-129.836494271811
1728500,-129.952586186436
1729000,-130.29310513582
1729500,-130.793282800993
1730000,-130.033063473342
1730500,-130.837540098237
1731000,-130.950554268482
1731500,-130.500236919789
1732000,-130.299332574957
1732500,-130.417981743343
1733000,-129.770354306664
1733500,-129.94558976553
1734000,-129.831236201469
1734500,-130.12127970103
1735000,-129.817203858452
1735500,-129.562464024274
1736000,-129.641801150731
1736500,-130.179064175319
1737000,-129.582264190015
1737500,-129.182634187681
1738000,-130.102824782354
1738500,-129.916867976496
1739000,-129.929424426801
1739500,-130.136732089375
1740000,-129.742170989154
1740500,-129.809305937956
1741000,-129.356255598858
1741500,-129.300092558696
1742000,-130.177777282832
1742500,-129.177196466346
1743000,-130.074041179869
1743500,-129.31381132191
1744000,-129.756505634066
1744500,-129.257936097642
1745000,-129.414413215031
1745500,-128.653007290603
1746000,-127.556947611975
