Trace
Swept SA
A.12.15,N9000A
507 ,01
Segment,0
Number of Points,1001
Sweep Time,0.274266666667
Start Frequency,4000000
Stop Frequency,5000000
Average Count,0
Average Type,LogPower(Video)
RBW,30
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
4000000,-134.126982506708
4001000,-133.27215448292
4002000,-134.389745846197
4003000,-134.108841076125
4004000,-134.313006620534
4005000,-134.862163226455
4006000,-135.396431985834
4007000,-135.840965944223
4008000,-135.238684099169
4009000,-135.906757156398
4010000,-135.874893990453
4011000,-135.100808690855
4012000,-135.841383461739
4013000,-136.031502397714
4014000,-135.362386173909
4015000,-135.926661833439
4016000,-135.70711324496
4017000,-134.936094053769
4018000,-135.617308163521
4019000,-135.195793567086
4020000,-135.627867218978
4021000,-135.818277523395
4022000,-134.930211298075
4023000,-135.560339458808
4024000,-136.14597528077
4025000,-135.713174331212
4026000,-136.114311605339
4027000,-135.440071431181
4028000,-135.270737218645
4029000,-135.185990243541
4030000,-134.932307564285
4031000,-135.373749698649
4032000,-135.641040154913
4033000,-135.443645653705
4034000,-134.93670614246
4035000,-135.287010475006
4036000,-135.572868579683
4037000,-134.985930630465
4038000,-135.187860288619
4039000,-134.715752747906
4040000,-134.923687971217
4041000,-135.942799430421
4042000,-136.601735133268
4043000,-135.064402037459
4044000,-134.566469704991
4045000,-135.440145979644
4046000,-136.309726538116
4047000,-135.677477593403
4048000,-135.830684816566
4049000,-135.603135260203
4050000,-134.520925940708
4051000,-135.532243550097
4052000,-135.62281117952
4053000,-135.684419967603
4054000,-135.430271928954
4055000,-134.494859343758
4056000,-134.282471959486
4057000,-134.408948162695
4058000,-133.462410126897
4059000,-134.148818239817
4060000,-134.159719015019
4061000,-135.909385015502
4062000,-135.615908834511
4063000,-134.750913313693
4064000,-134.844864806283
4065000,-135.010937936795
4066000,-135.750153330693
4067000,-135.566127066971
4068000,-134.774875908092
4069000,-135.781851757458
4070000,-135.539049036887
4071000,-135.286622993189
4072000,-135.614380616587
4073000,-135.855569408302
4074000,-135.652685147254
4075000,-135.192527003799
4076000,-135.127619753554
4077000,-135.828242141326
4078000,-135.770234361482
4079000,-136.176003725828
4080000,-134.921758223316
4081000,-135.655365491756
4082000,-136.026017482164
4083000,-134.828256150103
4084000,-135.583997318718
4085000,-135.034709778175
4086000,-135.400479637779
4087000,-135.123996222903
4088000,-135.248856937892
4089000,-134.754370143583
4090000,-134.609866266769
4091000,-136.002766111603
4092000,-135.339869607648
4093000,-135.29438087758
4094000,-136.232874180334
4095000,-136.206980352077
4096000,-135.622254260826
4097000,-135.951022425974
4098000,-135.310779506448
4099000,-134.64302980393
4100000,-136.74868457625
4101000,-135.927603729847
4102000,-135.239065345782
4103000,-135.229503290313
4104000,-135.547109572455
4105000,-135.52212901417
4106000,-136.474420068303
4107000,-135.103548457717
4108000,-134.816800717709
4109000,-134.678569279463
4110000,-135.085187330017
4111000,-135.227156120635
4112000,-134.70551056743
4113000,-133.974311121445
4114000,-135.013164034821
4115000,-134.257078365498
4116000,-134.018215315289
4117000,-134.970483361903
4118000,-135.147229854391
4119000,-135.008622020597
4120000,-135.879106394421
4121000,-136.037702081774
4122000,-135.618473165038
4123000,-135.660844596796
4124000,-136.222149675131
4125000,-135.578549900764
4126000,-136.111277433133
4127000,-135.581442387087
4128000,-135.596160042467
4129000,-135.556141080379
4130000,-135.59033583137
4131000,-136.301409517951
4132000,-135.545045674426
4133000,-135.26549472744
4134000,-136.160236936639
4135000,-135.685089909517
4136000,-136.453575111071
4137000,-135.970474948949
4138000,-135.487972718256
4139000,-135.427196782531
4140000,-135.78662369302
4141000,-135.514302698686
4142000,-136.093250597385
4143000,-135.424412344711
4144000,-136.295240483137
4145000,-136.002427368343
4146000,-135.495652268929
4147000,-135.696885847188
4148000,-136.297444728955
4149000,-135.982772609905
4150000,-135.298770557275
4151000,-135.182524211003
4152000,-135.310236836317
4153000,-135.584494097206
4154000,-135.579356646839
4155000,-135.3977296672
4156000,-136.112094314522
4157000,-135.484554486446
4158000,-135.766487040013
4159000,-135.223151891938
4160000,-136.180750866772
4161000,-135.513207086319
4162000,-134.966940647668
4163000,-136.630627651669
4164000,-135.847545788422
4165000,-135.794116388362
4166000,-135.068889961181
4167000,-134.257030092026
4168000,-134.501637012441
4169000,-133.725220559822
4170000,-134.255922100864
4171000,-133.753117269975
4172000,-134.862384704424
4173000,-135.27279049324
4174000,-135.494726502056
4175000,-134.613226503654
4176000,-135.344493039755
4177000,-135.734140041154
4178000,-136.150994852755
4179000,-134.959299720686
4180000,-135.699836023399
4181000,-135.839936756476
4182000,-135.647966285279
4183000,-135.458345089253
4184000,-134.657082222322
4185000,-135.619781438755
4186000,-135.480530405477
4187000,-136.138086987522
4188000,-135.492860584442
4189000,-136.487152530027
4190000,-137.199179153026
4191000,-135.615845150608
4192000,-135.954143106453
4193000,-136.021065692736
4194000,-135.639570493059
4195000,-135.483555052599
4196000,-136.052302028242
4197000,-135.289802620061
4198000,-136.157485991076
4199000,-135.175811284509
4200000,-135.647128941396
4201000,-135.7383193101
4202000,-136.033398898403
4203000,-135.78304364626
4204000,-135.543206967351
4205000,-135.756798706178
4206000,-135.685241828323
4207000,-136.824492713599
4208000,-135.185093528235
4209000,-135.380408067571
4210000,-135.359102777304
4211000,-134.68821132078
4212000,-135.623920919532
4213000,-135.665902164947
4214000,-135.847293579192
4215000,-135.455421112407
4216000,-135.68728323473
4217000,-136.9909635214
4218000,-134.889036623058
4219000,-135.041904976901
4220000,-136.357729894871
4221000,-135.981274481867
4222000,-135.935326691107
4223000,-135.384642772757
4224000,-135.606177907648
4225000,-134.874455854121
4226000,-134.974352554317
4227000,-134.185797946984
4228000,-134.512367867647
4229000,-134.592116444767
4230000,-135.533746113084
4231000,-135.353484691239
4232000,-134.894853990072
4233000,-135.445438904996
4234000,-135.428912084344
4235000,-135.948589822877
4236000,-136.742790607371
4237000,-136.480874886609
4238000,-136.217888345671
4239000,-135.888899369303
4240000,-135.602470075359
4241000,-136.882850483888
4242000,-136.390778412497
4243000,-135.496984573245
4244000,-135.460337239175
4245000,-136.536676784488
4246000,-136.535920998664
4247000,-135.469242518371
4248000,-136.741649129182
4249000,-135.557689993376
4250000,-135.509992823501
4251000,-136.440126365867
4252000,-135.444473849181
4253000,-136.022972823109
4254000,-135.962895380447
4255000,-136.058729263403
4256000,-137.078093494742
4257000,-136.172980538512
4258000,-135.794392508788
4259000,-136.29391827873
4260000,-135.488695499967
4261000,-136.952472917099
4262000,-136.351753858293
4263000,-135.795157703673
4264000,-135.100141724537
4265000,-135.231733629339
4266000,-135.77630294138
4267000,-136.57313207839
4268000,-135.508566666055
4269000,-135.8414319257
4270000,-135.145794211714
4271000,-135.746395731695
4272000,-136.220911602871
4273000,-135.373163491198
4274000,-135.801788565435
4275000,-135.789820795333
4276000,-134.264182534
4277000,-136.039812790954
4278000,-135.582016144763
4279000,-134.636288459139
4280000,-135.75585469707
4281000,-134.895450458805
4282000,-135.364545767654
4283000,-134.90231742122
4284000,-134.934396571502
4285000,-135.340971939739
4286000,-134.84567072428
4287000,-136.332049042888
4288000,-135.734612967564
4289000,-135.94953596423
4290000,-135.57267797511
4291000,-135.338283353292
4292000,-136.135577096217
4293000,-136.546446943105
4294000,-136.138126511976
4295000,-135.853375765602
4296000,-135.633963024997
4297000,-135.682709622698
4298000,-135.627715834174
4299000,-136.347819121528
4300000,-135.511687175886
4301000,-136.018702670629
4302000,-135.984187809298
4303000,-136.302543848457
4304000,-136.033758279783
4305000,-136.063180779263
4306000,-135.649919844471
4307000,-135.717246525104
4308000,-135.624180053118
4309000,-134.985163476354
4310000,-136.14826706403
4311000,-136.181308188728
4312000,-135.169951601875
4313000,-135.655604859175
4314000,-135.499640535821
4315000,-136.128682779525
4316000,-134.996437246904
4317000,-135.875893383939
4318000,-136.398816178348
4319000,-136.1773205974
4320000,-136.044966041681
4321000,-135.485171891323
4322000,-136.306340803846
4323000,-136.12178514594
4324000,-135.616185380179
4325000,-136.708994491601
4326000,-135.934284805891
4327000,-136.094089101598
4328000,-136.418135727534
4329000,-136.35165496949
4330000,-135.881889801571
4331000,-135.6713766459
4332000,-135.783368038981
4333000,-135.442311988515
4334000,-135.137492670305
4335000,-135.55945815214
4336000,-136.014923109777
4337000,-135.030150365781
4338000,-133.955333168049
4339000,-134.868982563883
4340000,-134.836648717805
4341000,-135.220544299149
4342000,-135.268150287473
4343000,-135.701254261112
4344000,-136.385066315669
4345000,-135.299024939471
4346000,-135.384489389662
4347000,-136.077650967091
4348000,-135.931580075154
4349000,-135.137459181689
4350000,-136.303434592952
4351000,-136.541631113319
4352000,-136.306864703047
4353000,-135.315641771103
4354000,-135.82848553337
4355000,-135.90742649807
4356000,-135.988983059302
4357000,-135.480965255916
4358000,-136.038425546884
4359000,-135.633024284199
4360000,-135.858457223919
4361000,-135.828759477425
4362000,-137.062110314709
4363000,-135.675079838003
4364000,-135.893302653049
4365000,-136.409329876738
4366000,-136.643475869165
4367000,-135.454744324253
4368000,-136.096493403193
4369000,-136.575416334934
4370000,-135.648162782174
4371000,-135.519146222777
4372000,-136.150275649966
4373000,-136.914152387272
4374000,-135.647336036171
4375000,-135.809447561811
4376000,-137.336522208543
4377000,-136.545476206316
4378000,-135.235586510418
4379000,-136.026906263732
4380000,-134.789816305972
4381000,-135.596854124423
4382000,-136.458234259597
4383000,-136.484683897193
4384000,-135.352945644345
4385000,-136.254325439373
4386000,-136.568641720529
4387000,-136.791505318107
4388000,-136.088394767798
4389000,-135.981617066403
4390000,-136.468447066659
4391000,-135.284917295752
4392000,-135.810747857682
4393000,-134.936462201664
4394000,-134.853947458517
4395000,-135.297529134966
4396000,-135.423734404509
4397000,-134.063029983383
4398000,-135.04027681426
4399000,-136.111913156454
4400000,-135.820352811681
4401000,-135.634525336699
4402000,-136.436464145765
4403000,-136.420636372359
4404000,-136.642355423715
4405000,-135.568147271219
4406000,-135.568764099107
4407000,-135.998978080514
4408000,-136.956004186643
4409000,-136.260144348905
4410000,-136.372146637026
4411000,-136.564075913252
4412000,-135.556279210365
4413000,-135.134137768162
4414000,-136.343700131904
4415000,-136.662483646178
4416000,-136.785860814181
4417000,-136.650428620995
4418000,-136.250975223244
4419000,-135.915236519886
4420000,-136.476237939776
4421000,-136.789024144766
4422000,-135.946322983846
4423000,-135.614778874484
4424000,-136.272005929667
4425000,-136.073730572799
4426000,-136.420119938699
4427000,-135.404104339534
4428000,-135.857606677657
4429000,-136.202254009378
4430000,-135.131449606798
4431000,-136.321019881444
4432000,-135.196936324355
4433000,-136.352818567226
4434000,-136.610949131401
4435000,-134.624645317212
4436000,-136.400389007908
4437000,-137.329044177843
4438000,-136.235912483682
4439000,-135.578967672529
4440000,-136.589197912314
4441000,-135.854187640323
4442000,-135.189462209451
4443000,-135.625678050077
4444000,-136.19252929561
4445000,-135.630144593255
4446000,-136.145966843643
4447000,-136.017313095835
4448000,-134.555918572862
4449000,-135.318733459948
4450000,-135.748083059556
4451000,-135.902757922383
4452000,-135.474877744267
4453000,-134.82541436191
4454000,-134.80500510561
4455000,-136.016292286205
4456000,-135.280927863295
4457000,-136.626542890918
4458000,-136.823435057836
4459000,-136.836187377227
4460000,-136.34896526508
4461000,-136.339571001795
4462000,-136.396604487593
4463000,-135.98512355059
4464000,-135.905826771864
4465000,-135.558423123996
4466000,-136.080853172688
4467000,-136.890090299422
4468000,-135.895898579315
4469000,-135.83689501939
4470000,-136.635368515812
4471000,-136.725747150666
4472000,-135.71143356571
4473000,-136.799957813881
4474000,-135.691950955246
4475000,-136.377797950937
4476000,-136.056092390476
4477000,-136.312218608548
4478000,-136.442996805873
4479000,-135.741475032909
4480000,-136.341218746543
4481000,-135.939057664447
4482000,-136.05017369785
4483000,-135.607073198596
4484000,-136.374405220596
4485000,-136.834873589797
4486000,-135.42529849499
4487000,-135.637608520843
4488000,-136.620869765392
4489000,-136.262651099913
4490000,-135.407982537778
4491000,-136.111900305911
4492000,-136.798206272962
